百山,百名山,名,標高,住所,住所２
,☆,鷲ヶ頭山,436,愛媛県今治市,
,☆,高森山,635,愛媛県西予市,愛媛県宇和島市
★,,御在所山,669,愛媛県大洲市,
★,,出石山,812,愛媛県大洲市,
★,,障子山,885,愛媛県伊予市,愛媛県砥部町
★,,牛ノ峯,896,愛媛県伊予市,愛媛県内子町
★,☆,翠波峰,900,愛媛県四国中央市,
,☆,壺神山,971,愛媛県大洲市,
★,☆,高縄山,986,愛媛県松山市,
★,☆,譲ヶ葉森,1016,愛媛県宇和島市,
★,☆,楢原山,1041,愛媛県今治市,
★,☆,塩塚峰,1043,愛媛県四国中央市,徳島県三好市
★,☆,篠山,1065,愛媛県愛南町,高知県宿毛市
,☆,笹ヶ峰,1127,愛媛県四国中央市,高知県大豊町
★,☆,鬼ヶ城山,1151,愛媛県宇和島市,
★,☆,明神ヶ森,1217,愛媛県松山市,愛媛県東温市
,☆,三本杭,1226,愛媛県宇和島市,
★,☆,高月山,1229,愛媛県鬼北町,愛媛県宇和島市
,☆,東三方ヶ森,1233,愛媛県西条市,愛媛県東温市
,☆,豊受山,1247,愛媛県四国中央市,
★,☆,皿ヶ嶺,1280,愛媛県久万高原町,愛媛県東温市
★,,カガマシ山,1343,愛媛県四国中央市,高知県大豊町
★,☆,大野ヶ原,1403,愛媛県西予市,高知県梼原町
,☆,佐々連尾山,1404,愛媛県四国中央市,高知県本山町
★,☆,赤星山,1453,愛媛県四国中央市,
★,☆,石墨山,1456,愛媛県久万高原町,
,☆,五段高原,1456,愛媛県久万高原町,高知県梼原町
★,☆,天狗ノ森,1485,愛媛県久万高原町,高知県津野町
★,☆,大川嶺,1525,愛媛県久万高原町,愛媛県内子町
★,☆,中津明神山,1541,愛媛県久万高原町,高知県仁淀川町
★,☆,西赤石山,1626,愛媛県新居浜市,
★,☆,二ツ岳,1647,愛媛県四国中央市,愛媛県新居浜市
,☆,堂ヶ森,1689,愛媛県西条市,愛媛県久万高原町
★,☆,平家平,1693,愛媛県新居浜市,高知県大川村
★,☆,東赤石山,1707,愛媛県四国中央市,愛媛県新居浜市
★,☆,岩黒山,1746,愛媛県西条市,愛媛県久万高原町
★,☆,伊予富士,1756,愛媛県西条市,高知県いの町
★,☆,寒風山,1763,愛媛県西条市,高知県いの町
★,☆,笹ヶ峰,1860,愛媛県西条市,高知県いの町
★,☆,筒上山,1860,愛媛県久万高原町,高知県いの町
★,☆,西黒森,1861,愛媛県西条市,高知県いの町
★,☆,瓶ヶ森,1897,愛媛県西条市,高知県いの町
★,☆,二ノ森,1929,愛媛県西条市,愛媛県久万高原町
★,☆,石鎚山,1982,愛媛県西条市,
