No,山名,標高,登頂回数,YAMAP link,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
1,関ヶ森,592,1,https://yamap.com/activities/15239274,,松山市,2022,,1月,,,,,,,
2,観音山,518,1,https://yamap.com/activities/15239274,,松山市,2022,,1月,,,,,,,
3,高森山,724,1,https://yamap.com/activities/15336083,,東温市,2022,,1月,,,,,,,
4,岩伽羅山,696,1,https://yamap.com/activities/15336083,,東温市,2022,,1月,,,,,,,★
5,衣掛山,463,1,https://yamap.com/activities/15336083,,東温市,2022,,1月,,,,,,,
6,吉山(吉山城址),262,1,https://yamap.com/activities/15336083,,東温市,2022,,1月,,,,,,,
7,尾ノ峰,193,1,https://yamap.com/activities/15415794,,松山市,2022,,1月,,,,,,,
8,新城山,161,1,https://yamap.com/activities/15415794,,松山市,2022,,1月,,,,,,,
9,腰折山,213,1,https://yamap.com/activities/15415794,,松山市,2022,,1月,,,,,,,★
10,恵良山,302,1,https://yamap.com/activities/15415794,,松山市,2022,,1月,,,,,,,★
11,皿ヶ森,633,1,https://yamap.com/activities/15430410,,東温市,2022,〇,1月,,,,,,,
12,経座ヶ森,735,1,https://yamap.com/activities/15430410,,東温市,2022,〇,1月,,,,,,,★
13,谷上山,455,1,https://yamap.com/activities/15569162,,伊予市,2022,,2月,,〇,,,,,★
14,権現山,479,1,https://yamap.com/activities/15569162,,伊予市,2022,,2月,,,,,,,
15,白滝山,504,1,https://yamap.com/activities/15569162,,伊予市,2022,,2月,,,,,,,
16,障子山,885,1,https://yamap.com/activities/15569162,,伊予市,2022,,2月,,,,,★,,★
17,伽藍山,414,1,https://yamap.com/activities/15598504,,伊方町,2022,,2月,,,,,,,
18,塩ヶ森,526,1,https://yamap.com/activities/15624334,,東温市,2022,,2月,,,,,,,★
19,番駄ヶ森,605,1,https://yamap.com/activities/15624334,,東温市,2022,,2月,,,,,,,
20,ケタ山,659,1,https://yamap.com/activities/15624334,,東温市,2022,,2月,,,,,,,
21,大磨山,648,1,https://yamap.com/activities/15624334,,東温市,2022,,2月,,,,,,,
22,鍵山（象ヶ森）,804,1,https://yamap.com/activities/15624334,,東温市,2022,〇,2月,,,,,,,
23,天神山,200,1,https://yamap.com/activities/16209216,,松山市,2022,,2月,,,,,,,
24,御幸寺山,165,1,https://yamap.com/activities/15707049,,松山市,2022,,2月,,,,,,,
25,愛宕山,115,1,https://yamap.com/activities/15715627,,松山市,2022,,2月,,,,,,,
26,常光寺山,124,1,https://yamap.com/activities/15715627,,松山市,2022,,2月,,,,,,,
27,杉立山,669,1,https://yamap.com/activities/15773753,,松山市,2022,〇,2月,,,,,,,★
28,岩柄山,507,1,https://yamap.com/activities/15773753,,松山市,2022,〇,2月,,,,,,,
29,高山,463,1,https://yamap.com/activities/15773753,,松山市,2022,,2月,,,,,,,
30,勝岡山,453,1,https://yamap.com/activities/15773753,,松山市,2022,,2月,,,,,,,
31,西山,172,1,https://yamap.com/activities/15799454,,松山市,2022,,2月,,,,,,,
32,岩子山,181,1,https://yamap.com/activities/15799454,,松山市,2022,,2月,,,,,,,
33,経ヶ森,200,1,https://yamap.com/activities/15799454,,松山市,2022,,2月,,〇,〇,,,,
34,護摩ヶ森,170,1,https://yamap.com/activities/15799454,,松山市,2022,,2月,,,,,,,
35,御岳山,438,1,https://yamap.com/activities/15847055,,東温市,2022,,2月,,,,,,,
36,石槌山,252,1,https://yamap.com/activities/15848700,,東温市,2022,,2月,,,,,,,
37,日王山,109,1,https://yamap.com/activities/15886152,,松山市,2022,,2月,,,,,,,
38,重茂山,291,1,https://yamap.com/activities/15918738,,今治市,2022,,2月,,,,,,,
39,花木山,53,1,https://yamap.com/activities/15920024,,今治市,2022,,2月,,,,,,,
40,ヌタノサコ,514,1,https://yamap.com/activities/15945836,,松山市,2022,,3月,,,,,,,
41,城山,592,1,https://yamap.com/activities/15983117,,砥部町,2022,,3月,,,,,,,
42,水梨山,729,1,https://yamap.com/activities/15983117,,砥部町,2022,〇,3月,,,,,,,
43,向山,683,1,https://yamap.com/activities/15983117,,砥部町,2022,〇,3月,,,,,,,
44,稔山,917,1,https://yamap.com/activities/16050141,,東温市,2022,〇,3月,,,,,,,★
45,菊ヶ森,151,1,https://yamap.com/activities/16079603,,松山市,2022,,3月,,,,,,,
46,道後山,224,1,https://yamap.com/activities/16081025,,松山市,2022,,3月,,,,,,,
47,倉谷山,420,2,https://yamap.com/activities/16124915,,松山市,2022,,3月,,,,,,,
48,芝ヶ峠,282,2,https://yamap.com/activities/16124915,,松山市,2022,,3月,,,,,,,
49,大久保山,175,1,https://yamap.com/activities/16209216,,松山市,2022,,3月,,,,,,,
50,八里ヶ峠,182,1,https://yamap.com/activities/16209216,,松山市,2022,,3月,,,,,,,
51,中坂山,98,1,https://yamap.com/activities/16209216,,松山市,2022,,3月,,,,,,,
52,天神山,47,1,https://yamap.com/activities/15707049,,松山市,2022,,3月,,,,,,,
53,室岡山,42,1,https://yamap.com/activities/16209216,,松山市,2022,,3月,,,,,,,
54,潮見山,123,1,https://yamap.com/activities/16209216,,松山市,2022,,3月,,,,,,,
55,明神山,161,1,https://yamap.com/activities/16281691,,松山市,2022,,3月,,,,,,,
56,潮見山,214,1,https://yamap.com/activities/16281691,,松山市,2022,,3月,,,,,,,
57,十門山(十門城址),683,1,https://yamap.com/activities/16310772,,東温市,2022,〇,3月,,,,,,,
58,ヨソ山,928,2,https://yamap.com/activities/16310772,,西条市,2022,〇,1月,,,,,,,★
