山名,標高,登頂回数,島
妙見山 (島根),172 m,1,
城名樋山 (島根),120 m,1,
横尾山 (島根),572 m,1,島後
勝山 (島根),218 m,1,島後
崎山 (島根),203 m,1,島後
岳山 (島根),361 m,1,島後
空峰山 (島根),322 m,1,島後
小鍬子山 (島根),251 m,1,島後
唯山 (島根),227 m,1,中ノ島
角山 (島根),126 m,1,中ノ島
金光寺山 (島根),162 m,1,中ノ島
熊野山 (島根),143 m,1,中ノ島
高峯 (島根),203 m,1,中ノ島
家督山 (島根),243 m,1,中ノ島
焼火山 (島根),452 m,1,西ノ島
茶せん山 (島根),222 m,1,西ノ島
高崎山 (島根),435 m,1,西ノ島
アカハゲ山 (島根),325 m,1,知夫里島
大峯山 (島根),153 m,1,知夫里島
高平山 (島根),143 m,1,知夫里島
鯛ノ巣山 (島根),"1,026 m",1,
金峯山 (島根),199 m,1,島後
城山 (島根),123 m,1,島後
大峯山 (島根),506 m,1,島後
愛宕山 (島根),233 m,1,島後
愛宕山 (島根),270 m,1,島後
高田山 (島根),315 m,1,島後
葛尾山 (島根),591 m,1,島後
"大万木山 (島根, 広島)","1,218 m",3,
栃山 (島根),664 m,1,
万ヶ丸山 (島根),473 m,1,
極楽山 (島根),476 m,1,
天台ヶ峰南峰 (島根),461 m,1,
弥山 (島根),492 m,1,
奉納山 (島根),72 m,1,
"烏帽子山 (島根, 広島)","1,225 m",3,
比婆山 (広島),"1,264 m",2,
池ノ段 (広島),"1,273 m",1,
立烏帽子山 (広島),"1,299 m",1,
竜王山 (広島),"1,256 m",1,
草ノ城山 (島根),976 m,1,
愛宕山 (島根),192 m,1,
大床山 (島根),110 m,1,島後
大満寺山 (島根),608 m,2,島後
鷲ヶ峰 (島根),553 m,1,島後
稲積山 (島根),79 m,1,
吉和冠山 (広島),"1,339 m",1,
額々山 (島根),"1,279 m",1,
"寂地山 (島根, 山口)","1,337 m",1,
"土滝山 (広島, 山口)","1,280 m",1,
白滝山 (広島),227 m,1,
天狗山（浅間山） (広島),207 m,1,
"猿政山 (島根, 広島)","1,268 m",1,
兜山 (島根),844 m,1,
沖の郷山 (島根),957 m,2,
男三瓶山（三瓶山） (島根),"1,126 m",2,
"牛曳山 (島根, 広島)","1,144 m",1,
"蛇の目山 (島根, 広島)",973 m,1,
"伊良谷山 (島根, 広島)","1,149 m",1,
"毛無山 (島根, 広島)","1,144 m",1,
"旧羅漢山 (島根, 広島)","1,334 m",1,
"恐羅漢山 (島根, 広島)","1,346 m",1,
丸山 (島根),56 m,1,
安蔵寺山 (島根),"1,263 m",1,
"天狗石山 (島根, 広島)","1,192 m",1,
"三ッ石山 (島根, 広島)","1,163 m",1,
"同形山（阿佐山北峰・西ドーゲン） (島根, 広島)","1,217 m",1,
"阿佐山 (島根, 広島)","1,218 m",1,
赤雁山 (島根),886 m,1,
子三瓶山 (島根),961 m,1,
孫三瓶山 (島根),903 m,1,
大平山 (島根),852 m,1,
女三瓶山 (島根),950 m,1,
兜山 (島根),920 m,1,
"女亀山 (島根, 広島)",830 m,1,
琴引山（弥山） (島根),"1,013 m",1,
"吾妻山 (島根, 広島)","1,238 m",1,
"船通山 (鳥取, 島根)","1,142 m",1,
等検境 (島根),916 m,1,
"鉄屋山 (島根, 広島)","1,051 m",1,
"毛無山 (島根, 広島)","1,003 m",1,
,"1,360 m",1,
