municipality_a_code,municipality_a_name,municipality_b_code,municipality_b_name,shared_boundary_length_m,source
"38201","松山市","38202","今治市",23807.547,"ksj_administrative_area_N03"
"38201","松山市","38215","東温市",33187.322,"ksj_administrative_area_N03"
"38201","松山市","38386","久万高原町",7730.425,"ksj_administrative_area_N03"
"38201","松山市","38401","松前町",8290.62,"ksj_administrative_area_N03"
"38201","松山市","38402","砥部町",18191.963,"ksj_administrative_area_N03"
"38202","今治市","38206","西条市",18884.713,"ksj_administrative_area_N03"
"38202","今治市","38215","東温市",4307.842,"ksj_administrative_area_N03"
"38203","宇和島市","38214","西予市",18618.494,"ksj_administrative_area_N03"
"38203","宇和島市","38484","松野町",5369.663,"ksj_administrative_area_N03"
"38203","宇和島市","38488","鬼北町",31114.851,"ksj_administrative_area_N03"
"38203","宇和島市","38506","愛南町",34932.616,"ksj_administrative_area_N03"
"38204","八幡浜市","38207","大洲市",21021.733,"ksj_administrative_area_N03"
"38204","八幡浜市","38214","西予市",21081.741,"ksj_administrative_area_N03"
"38204","八幡浜市","38442","伊方町",6671.393,"ksj_administrative_area_N03"
"38205","新居浜市","38206","西条市",18274.07,"ksj_administrative_area_N03"
"38205","新居浜市","38213","四国中央市",31366.162,"ksj_administrative_area_N03"
"38206","西条市","38215","東温市",22545.467,"ksj_administrative_area_N03"
"38206","西条市","38386","久万高原町",15318.995,"ksj_administrative_area_N03"
"38207","大洲市","38210","伊予市",11488.548,"ksj_administrative_area_N03"
"38207","大洲市","38214","西予市",54265.32,"ksj_administrative_area_N03"
"38207","大洲市","38422","内子町",47351.731,"ksj_administrative_area_N03"
"38210","伊予市","38401","松前町",11875.295,"ksj_administrative_area_N03"
"38210","伊予市","38402","砥部町",27811.699,"ksj_administrative_area_N03"
"38210","伊予市","38422","内子町",23688.473,"ksj_administrative_area_N03"
"38214","西予市","38386","久万高原町",3717.527,"ksj_administrative_area_N03"
"38214","西予市","38422","内子町",7268.2,"ksj_administrative_area_N03"
"38214","西予市","38488","鬼北町",27086.985,"ksj_administrative_area_N03"
"38215","東温市","38386","久万高原町",19293.315,"ksj_administrative_area_N03"
"38386","久万高原町","38402","砥部町",8024.739,"ksj_administrative_area_N03"
"38386","久万高原町","38422","内子町",28370.51,"ksj_administrative_area_N03"
"38401","松前町","38402","砥部町",633.523,"ksj_administrative_area_N03"
"38402","砥部町","38422","内子町",13692.971,"ksj_administrative_area_N03"
"38484","松野町","38488","鬼北町",19398.929,"ksj_administrative_area_N03"
