gpx_basename,gpx_path,gpx_filename_datetime_raw,filename_as_jst_date,filename_as_utc_to_jst_date,candidate_dates_jst,timezone_ambiguity,timezone_sensitive,match_status,confidence,candidate_count,candidate_yamap_activity_ids,candidate_dates_matched,candidate_titles,needs_review,notes
yamap_2022-01-15_08_17.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-15_08_17.gpx,2022-01-15 08:17,2022-01-15,2022-01-15,2022-01-15(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15239274,2022-01-15,関ヶ森・観音山・倉谷山・芝ヶ峠,true,
yamap_2022-01-22_09_04.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-22_09_04.gpx,2022-01-22 09:04,2022-01-22,2022-01-22,2022-01-22(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15336083,2022-01-22,高森山・岩伽羅山・衣掛山・吉山(吉山城址),true,
yamap_2022-01-28_12_28.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-28_12_28.gpx,2022-01-28 12:28,2022-01-28,2022-01-28,2022-01-28(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15415794,2022-01-28,尾ノ峰・新城山・腰折山・恵良山,true,
yamap_2022-01-29_08_35.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-29_08_35.gpx,2022-01-29 08:35,2022-01-29,2022-01-29,2022-01-29(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15430410,2022-01-29,皿ヶ森・経座ヶ森・ヨソ山,true,
yamap_2022-02-06_08_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-06_08_26.gpx,2022-02-06 08:26,2022-02-06,2022-02-06,2022-02-06(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15569162,2022-02-06,谷上山・権現山・白滝山・障子山,true,
yamap_2022-02-09_10_01.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-09_10_01.gpx,2022-02-09 10:01,2022-02-09,2022-02-09,2022-02-09(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15598504,2022-02-09,佐田岬と伽藍山,true,
yamap_2022-02-11_08_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-11_08_26.gpx,2022-02-11 08:26,2022-02-11,2022-02-11,2022-02-11(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15624334,2022-02-11,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,true,
yamap_2022-02-15_10_36.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-15_10_36.gpx,2022-02-15 10:36,2022-02-15,2022-02-15,2022-02-15(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15707049,2022-02-15,天神山・御幸寺山,true,
yamap_2022-02-16_11_57.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-16_11_57.gpx,2022-02-16 11:57,2022-02-16,2022-02-16,2022-02-16(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15715627,2022-02-16,愛宕山・常光寺山,true,
yamap_2022-02-23_08_42.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-23_08_42.gpx,2022-02-23 08:42,2022-02-23,2022-02-23,2022-02-23(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15799454,2022-02-23,西山・経ヶ森・岩子山・護摩ヶ森,true,
yamap_2022-02-26_07_43.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-26_07_43.gpx,2022-02-26 07:43,2022-02-26,2022-02-26,2022-02-26(filename_datetime_is_jst),true,false,multiple_date_candidates,low,3,15847055;15848700;15852431,2022-02-26;2022-02-26;2022-02-26,御岳山;石槌山;モニタリング調査ライン,true,
yamap_2022-02-27_10_22.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-27_10_22.gpx,2022-02-27 10:22,2022-02-27,2022-02-27,2022-02-27(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15886152,2022-02-27,日王山,true,
yamap_2022-02-28_13_13.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-28_13_13.gpx,2022-02-28 13:13,2022-02-28,2022-02-28,2022-02-28(filename_datetime_is_jst),true,false,multiple_date_candidates,low,2,15918738;15920024,2022-02-28;2022-02-28,重茂山;花木山,true,
yamap_2022-03-03_10_47.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-03_10_47.gpx,2022-03-03 10:47,2022-03-03,2022-03-03,2022-03-03(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15945836,2022-03-03,奥之城山・ヌタノサコ,true,
yamap_2022-03-05_09_44.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-05_09_44.gpx,2022-03-05 09:44,2022-03-05,2022-03-05,2022-03-05(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,15983117,2022-03-05,城山・水梨山・向山,true,
yamap_2022-03-09_10_20.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-09_10_20.gpx,2022-03-09 10:20,2022-03-09,2022-03-09,2022-03-09(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16050141,2022-03-09,稔山,true,
yamap_2022-03-12_08_31.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-12_08_31.gpx,2022-03-12 08:31,2022-03-12,2022-03-12,2022-03-12(filename_datetime_is_jst),true,false,multiple_date_candidates,low,3,16079603;16081025;16104803,2022-03-12;2022-03-12;2022-03-12,菊ヶ森;道後山;鞍馬山・貴船山【鞍馬駅▶️貴船口駅】🌟🌟,true,
yamap_2022-03-12_09_19.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-12_09_19.gpx,2022-03-12 09:19,2022-03-12,2022-03-12,2022-03-12(filename_datetime_is_jst),true,false,multiple_date_candidates,low,3,16079603;16081025;16104803,2022-03-12;2022-03-12;2022-03-12,菊ヶ森;道後山;鞍馬山・貴船山【鞍馬駅▶️貴船口駅】🌟🌟,true,
yamap_2022-03-13_09_49.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-13_09_49.gpx,2022-03-13 09:49,2022-03-13,2022-03-13,2022-03-13(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16124915,2022-03-13,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,true,
yamap_2022-03-20_07_06.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-20_07_06.gpx,2022-03-20 07:06,2022-03-20,2022-03-20,2022-03-20(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16209216,2022-03-20,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,true,
yamap_2022-03-23_07_38.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-23_07_38.gpx,2022-03-23 07:38,2022-03-23,2022-03-23,2022-03-23(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16281691,2022-03-23,明神山・潮見山,true,
yamap_2022-03-25_12_12.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-25_12_12.gpx,2022-03-25 12:12,2022-03-25,2022-03-25,2022-03-25(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16310772,2022-03-25,十門山(十門城址)・ヨソ山,true,
yamap_2022-04-06_09_25.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-06_09_25.gpx,2022-04-06 09:25,2022-04-06,2022-04-06,2022-04-06(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16497216,2022-04-06,忽那山,true,
yamap_2022-04-08_09_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-08_09_33.gpx,2022-04-08 09:33,2022-04-08,2022-04-08,2022-04-08(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16527154,2022-04-08,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,true,
yamap_2022-04-09_14_44.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-09_14_44.gpx,2022-04-09 14:44,2022-04-09,2022-04-09,2022-04-09(filename_datetime_is_jst),true,false,multiple_date_candidates,low,2,16544605;16566166,2022-04-09;2022-04-09,白山　桜山-2022-04-09;大月山・高縄山,true,
yamap_2022-04-15_11_52.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-15_11_52.gpx,2022-04-15 11:52,2022-04-15,2022-04-15,2022-04-15(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16663708,2022-04-15,皿ヶ嶺・引地山,true,
yamap_2022-04-16_07_39.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-16_07_39.gpx,2022-04-16 07:39,2022-04-16,2022-04-16,2022-04-16(filename_datetime_is_jst),true,false,single_date_candidate,medium,1,16678030,2022-04-16,東三方ヶ森,true,
yamap_2022-04-22_11_13.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-22_11_13.gpx,2022-04-22 11:13,2022-04-22,2022-04-22,2022-04-22(filename_datetime_is_jst),true,false,multiple_date_candidates,low,5,16788269;16791907;16791908;16794762;16795124,2022-04-22;2022-04-22;2022-04-22;2022-04-22;2022-04-22,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,true,
yamap_2022-04-22_12_22.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-22_12_22.gpx,2022-04-22 12:22,2022-04-22,2022-04-22,2022-04-22(filename_datetime_is_jst),true,false,multiple_date_candidates,low,5,16788269;16791907;16791908;16794762;16795124,2022-04-22;2022-04-22;2022-04-22;2022-04-22;2022-04-22,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,true,
yamap_2022-04-22_14_13.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-22_14_13.gpx,2022-04-22 14:13,2022-04-22,2022-04-22,2022-04-22(filename_datetime_is_jst),true,false,multiple_date_candidates,low,5,16788269;16791907;16791908;16794762;16795124,2022-04-22;2022-04-22;2022-04-22;2022-04-22;2022-04-22,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,true,
