gpx_basename,gpx_path,gpx_track_name,gpx_filename_datetime_raw,timezone_sensitive,date_match_status,enriched_match_status,enriched_confidence,candidate_count,best_yamap_activity_id,best_yamap_title,best_activity_date,best_title_similarity_score,review_reason_codes,candidate_summary,notes
yamap_2022-01-15_08_17.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,2022-01-15 08:17,false,single_date_candidate,single_high_confidence_candidate,high,1,15239274,関ヶ森・観音山・倉谷山・芝ヶ峠,2022-01-15,1.0000,,"15239274:関ヶ森・観音山・倉谷山・芝ヶ峠(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-01-22_09_04.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),2022-01-22 09:04,false,single_date_candidate,single_high_confidence_candidate,high,1,15336083,高森山・岩伽羅山・衣掛山・吉山(吉山城址),2022-01-22,1.0000,,"15336083:高森山・岩伽羅山・衣掛山・吉山(吉山城址)(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-01-28_12_28.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,2022-01-28 12:28,false,single_date_candidate,single_high_confidence_candidate,high,1,15415794,尾ノ峰・新城山・腰折山・恵良山,2022-01-28,1.0000,,"15415794:尾ノ峰・新城山・腰折山・恵良山(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-01-29_08_35.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,2022-01-29 08:35,false,single_date_candidate,single_high_confidence_candidate,high,1,15430410,皿ヶ森・経座ヶ森・ヨソ山,2022-01-29,1.0000,,"15430410:皿ヶ森・経座ヶ森・ヨソ山(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-02-06_08_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,2022-02-06 08:26,false,single_date_candidate,single_high_confidence_candidate,high,1,15569162,谷上山・権現山・白滝山・障子山,2022-02-06,1.0000,,"15569162:谷上山・権現山・白滝山・障子山(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-02-09_10_01.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-09_10_01.gpx,佐田岬と伽藍山,2022-02-09 10:01,false,single_date_candidate,single_high_confidence_candidate,high,1,15598504,佐田岬と伽藍山,2022-02-09,1.0000,,"15598504:佐田岬と伽藍山(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-02-11_08_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,2022-02-11 08:26,false,single_date_candidate,single_high_confidence_candidate,high,1,15624334,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,2022-02-11,1.0000,,"15624334:塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-02-15_10_36.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-15_10_36.gpx,天神山・御幸寺山,2022-02-15 10:36,false,single_date_candidate,single_high_confidence_candidate,high,1,15707049,天神山・御幸寺山,2022-02-15,1.0000,,"15707049:天神山・御幸寺山(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-02-16_11_57.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-16_11_57.gpx,愛宕山・常光寺山,2022-02-16 11:57,false,single_date_candidate,single_high_confidence_candidate,high,1,15715627,愛宕山・常光寺山,2022-02-16,1.0000,,"15715627:愛宕山・常光寺山(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
yamap_2022-02-23_08_42.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,2022-02-23 08:42,false,single_date_candidate,single_high_confidence_candidate,high,1,15799454,西山・経ヶ森・岩子山・護摩ヶ森,2022-02-23,1.0000,,"15799454:西山・経ヶ森・岩子山・護摩ヶ森(score:1.0000,rank:1)",Single candidate proposed with similarity score 1.
