mountain_no,mountain_name,current_review_category,distance_gemini_to_gpx_candidate_m,gpx_support_tier,name_evidence_tier,municipality_compatibility,elevation_diff_csv_to_proposed_m,distance_csv_to_proposed_m,review_reason_codes,passes_S0,passes_S1,passes_S2,passes_S3,passes_S4,passes_S5,best_candidate_policy,explanation
3,高森山,auto_supported_not_canonical,0,strict_gpx_support,name_exact_track_contains,municipality_boundary_compatible,4.7,,,true,true,true,true,true,true,S0,passes S0
58,ヨソ山,manual_review_required,754.1,distant_gpx_support,name_exact_track_contains,municipality_adjacent,251.3,,csv_elevation_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(754.1m)>150m; csv_elevation_mismatch(abs_diff=251.3m>200m)
72,伊之子山,manual_review_required,731.8,distant_gpx_support,name_missing,municipality_boundary_compatible,11.5,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(731.8m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
75,筒上山,manual_review_required,857.7,distant_gpx_support,name_missing,municipality_exact,340.1,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(857.7m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=340.1m>200m)
78,笠取山,manual_review_required,716.5,distant_gpx_support,name_exact_track_contains,municipality_exact,29.9,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(716.5m)>150m
80,うなめご,auto_supported_not_canonical,101.7,strong_gpx_support,name_exact_track_contains,municipality_boundary_compatible,33.8,,,true,true,true,true,true,true,S0,passes S0
81,前々司山,manual_review_required,592.9,distant_gpx_support,name_exact_track_contains,municipality_adjacent,-23.5,,municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(592.9m)>150m
82,陣ヶ森,manual_review_required,218.7,medium_gpx_support,name_missing,municipality_boundary_compatible,-106.4,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(218.7m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
93,南尖峰,manual_review_required,652.1,distant_gpx_support,name_missing,municipality_exact,462.1,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(652.1m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=462.1m>200m)
100,立石山,quick_review_recommended,331.5,weak_gpx_support,name_exact_track_contains,municipality_unknown,5.3,,,false,false,false,false,false,false,none,distance_gemini_to_gpx(331.5m)>150m; municipality_comp(municipality_unknown)_invalid
101,鷲ヶ頭山,quick_review_recommended,363.8,weak_gpx_support,name_exact_track_contains,municipality_unknown,-0.9,,,false,false,false,false,false,false,none,distance_gemini_to_gpx(363.8m)>150m; municipality_comp(municipality_unknown)_invalid
102,安神山,manual_review_required,903.5,distant_gpx_support,name_exact_track_contains,municipality_unknown,111,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(903.5m)>150m; municipality_comp(municipality_unknown)_invalid
105,鞍瀬ノ頭,manual_review_required,970.2,distant_gpx_support,name_missing,municipality_boundary_compatible,587,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(970.2m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=587m>200m)
106,二ノ森,manual_review_required,658.6,distant_gpx_support,name_missing,municipality_boundary_compatible,673.1,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(658.6m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=673.1m>200m)
108,西ノ冠岳,manual_review_required,932.4,distant_gpx_support,name_missing,municipality_exact,207.5,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(932.4m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=207.5m>200m)
109,西黒森,manual_review_required,996.7,distant_gpx_support,name_missing,municipality_boundary_compatible,199.4,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(996.7m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
110,小富士,manual_review_required,722.3,distant_gpx_support,name_missing,municipality_unknown,193,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(722.3m)>150m; name_tier(name_missing)_not_strong; municipality_comp(municipality_unknown)_invalid; name_mismatch_or_warning
114,世田山,manual_review_required,969,distant_gpx_support,name_missing,municipality_boundary_compatible,240.6,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(969m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=240.6m>200m)
115,笠松山,manual_review_required,347.9,weak_gpx_support,name_missing,municipality_boundary_compatible,258.6,,csv_elevation_mismatch;name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(347.9m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=258.6m>200m)
