dimension,value,count,pct
review_category,auto_supported_not_canonical,2,2.47
review_category,conflict_case,12,14.81
review_category,manual_review_required,59,72.84
review_category,quick_review_recommended,8,9.88
gpx_support_tier,distant_gpx_support,50,61.73
gpx_support_tier,medium_gpx_support,8,9.88
gpx_support_tier,strict_gpx_support,1,1.23
gpx_support_tier,strong_gpx_support,4,4.94
gpx_support_tier,weak_gpx_support,18,22.22
name_evidence_tier,name_exact_activity_title_contains,2,2.47
name_evidence_tier,name_exact_track_contains,24,29.63
name_evidence_tier,name_missing,54,66.67
name_evidence_tier,name_token_containment_strong,1,1.23
municipality_compatibility,municipality_adjacent,15,18.52
municipality_compatibility,municipality_boundary_compatible,16,19.75
municipality_compatibility,municipality_exact,41,50.62
municipality_compatibility,municipality_outside_prefecture,1,1.23
municipality_compatibility,municipality_unknown,8,9.88
review_reason_code,csv_elevation_mismatch,24,29.63
review_reason_code,gpx_distant_support,42,51.85
review_reason_code,multiple_strong_candidates_conflict,11,13.58
review_reason_code,municipality_adjacent_warning,15,18.52
review_reason_code,municipality_outside_prefecture,1,1.23
review_reason_code,name_mismatch,54,66.67
review_reason_code,none,9,11.11
distance_bucket,0-50m,1,1.23
distance_bucket,150-300m,8,9.88
distance_bucket,300-500m,18,22.22
distance_bucket,50-150m,4,4.94
distance_bucket,500-1000m,50,61.73
elevation_difference_bucket,0-50m,36,44.44
elevation_difference_bucket,100-200m,12,14.81
elevation_difference_bucket,200-500m,19,23.46
elevation_difference_bucket,50-100m,9,11.11
elevation_difference_bucket,>500m,5,6.17
activity_title_support,false,55,67.9
activity_title_support,true,26,32.1
candidate_sharing_count,1,57,70.37
candidate_sharing_count,2,16,19.75
candidate_sharing_count,3,3,3.7
candidate_sharing_count,5,5,6.17
