proposed_summit_candidate_id,assigned_mountain_count,mountain_nos,mountain_names,source_gpx_basename,track_name,min_distance_gemini_to_gpx_candidate_m,max_distance_gemini_to_gpx_candidate_m,review_categories,reason_codes,diagnostic_note
summit-candidate:e7ae682a07af2e10,1,3,高森山,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),0,0,auto_supported_not_canonical,,Candidate assigned to only one mountain.
summit-candidate:a94564816fd4afff,1,58,ヨソ山,yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,754.1,754.1,manual_review_required,"csv_elevation_mismatch,municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:b1d864fd1fcc9dcb,1,72,伊之子山,yamap_2023-01-03_07_36.gpx,福見山・河原樋山・真松嶺・柿王寺森,731.8,731.8,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:22e40e9eb117a033,5,75;93;233;234;435,筒上山;南尖峰;天狗岳;石鎚山;東ノ冠岳,yamap_2024-05-03_08_45.gpx,面河山,129.4,857.7,manual_review_required;manual_review_required;manual_review_required;manual_review_required;manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support;csv_elevation_mismatch,name_mismatch,gpx_distant_support;csv_elevation_mismatch,name_mismatch;csv_elevation_mismatch,name_mismatch;csv_elevation_mismatch,name_mismatch",Candidate shared by 5 mountains. Likely candidate extraction limitation or generic name.
summit-candidate:1ebd63d8e2790409,1,78,笠取山,yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,716.5,716.5,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:e7e4429a39f6359f,1,80,うなめご,yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,101.7,101.7,auto_supported_not_canonical,,Candidate assigned to only one mountain.
summit-candidate:ea6bebee79234da7,1,81,前々司山,yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,592.9,592.9,manual_review_required,"municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:25e47e34740282d2,1,82,陣ヶ森,yamap_2022-10-28_06_21.gpx,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,218.7,218.7,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:50aa5073a99759cf,1,100,立石山,yamap_2022-06-18_14_26.gpx,立石山,331.5,331.5,quick_review_recommended,,Candidate assigned to only one mountain.
summit-candidate:159deb385560c198,1,101,鷲ヶ頭山,yamap_2022-06-20_12_02.gpx,安神山・鷲ヶ頭山,363.8,363.8,quick_review_recommended,,Candidate assigned to only one mountain.
summit-candidate:a92a94d8b5e0fb90,1,102,安神山,yamap_2022-06-20_12_02.gpx,安神山・鷲ヶ頭山,903.5,903.5,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:242762a3c600ff91,1,105,鞍瀬ノ頭,yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,970.2,970.2,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:124ae25a51aa9a64,1,106,二ノ森,yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,658.6,658.6,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:bb644412fd9a132c,1,108,西ノ冠岳,yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,932.4,932.4,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:df6b60d513f5518e,1,109,西黒森,yamap_2024-07-06_10_01.gpx,子持権現山・男山・瓶ヶ森,996.7,996.7,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
