mountain_no,mountain_name,review_category,needs_human_review,proposed_summit_candidate_id,source_gpx_basename,source_gpx_path,distance_gemini_to_gpx_candidate_m,gpx_support_tier,confidence,review_reason_codes,name_evidence_tier,name_evidence_sources,municipality_compatibility,candidate_primary_municipality,candidate_municipality_matches,elevation_diff_csv_to_proposed_m,distance_csv_to_proposed_m,track_name,activity_titles_joined_count,activity_title_contains_mountain_name,candidate_shared_count
3,高森山,auto_supported_not_canonical,false,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-22_09_04.gpx,0,strict_gpx_support,0.956,,name_exact_track_contains,gpx_track_name,municipality_boundary_compatible,,松山市;東温市,4.7,,高森山・岩伽羅山・衣掛山・吉山(吉山城址),1,true,1
58,ヨソ山,manual_review_required,true,summit-candidate:a94564816fd4afff,yamap_2022-03-25_12_12.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-25_12_12.gpx,754.1,distant_gpx_support,0.6525,csv_elevation_mismatch;municipality_adjacent_warning;gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_adjacent,東温市,東温市,251.3,,十門山(十門城址)・ヨソ山,1,true,1
72,伊之子山,manual_review_required,true,summit-candidate:b1d864fd1fcc9dcb,yamap_2023-01-03_07_36.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-01-03_07_36.gpx,731.8,distant_gpx_support,0.628,name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,松山市;東温市,11.5,,福見山・河原樋山・真松嶺・柿王寺森,1,false,1
75,筒上山,manual_review_required,true,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-05-03_08_45.gpx,857.7,distant_gpx_support,0.6205,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_exact,久万高原町,久万高原町,340.1,,面河山,1,false,5
78,笠取山,manual_review_required,true,summit-candidate:1ebd63d8e2790409,yamap_2022-05-02_09_06.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-05-02_09_06.gpx,716.5,distant_gpx_support,0.756,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_exact,久万高原町,久万高原町,29.9,,大川嶺・笠取山・ウバホド山,1,true,1
80,うなめご,auto_supported_not_canonical,false,summit-candidate:e7e4429a39f6359f,yamap_2022-05-05_13_29.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-05-05_13_29.gpx,101.7,strong_gpx_support,0.896,,name_exact_track_contains,gpx_track_name,municipality_boundary_compatible,,久万高原町;東温市,33.8,,陣ヶ森・前々司山・うなめご,1,true,1
81,前々司山,manual_review_required,true,summit-candidate:ea6bebee79234da7,yamap_2022-05-05_13_29.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-05-05_13_29.gpx,592.9,distant_gpx_support,0.697,municipality_adjacent_warning;gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_adjacent,久万高原町,久万高原町,-23.5,,陣ヶ森・前々司山・うなめご,1,true,1
82,陣ヶ森,manual_review_required,true,summit-candidate:25e47e34740282d2,yamap_2022-10-28_06_21.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-28_06_21.gpx,218.7,medium_gpx_support,0.716,name_mismatch,name_missing,,municipality_boundary_compatible,,久万高原町;東温市,-106.4,,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,1,false,1
93,南尖峰,manual_review_required,true,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-05-03_08_45.gpx,652.1,distant_gpx_support,0.6205,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_exact,久万高原町,久万高原町,462.1,,面河山,1,false,5
100,立石山,quick_review_recommended,true,summit-candidate:50aa5073a99759cf,yamap_2022-06-18_14_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-06-18_14_26.gpx,331.5,weak_gpx_support,0.748,,name_exact_track_contains,gpx_track_name,municipality_unknown,上島町,上島町,5.3,,立石山,3,true,1
101,鷲ヶ頭山,quick_review_recommended,true,summit-candidate:159deb385560c198,yamap_2022-06-20_12_02.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-06-20_12_02.gpx,363.8,weak_gpx_support,0.7705,,name_exact_track_contains,gpx_track_name,municipality_unknown,今治市,今治市,-0.9,,安神山・鷲ヶ頭山,1,true,1
102,安神山,manual_review_required,true,summit-candidate:a92a94d8b5e0fb90,yamap_2022-06-20_12_02.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-06-20_12_02.gpx,903.5,distant_gpx_support,0.6715,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_unknown,今治市,今治市,111,,安神山・鷲ヶ頭山,1,true,1
105,鞍瀬ノ頭,manual_review_required,true,summit-candidate:242762a3c600ff91,yamap_2022-05-15_06_10.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-05-15_06_10.gpx,970.2,distant_gpx_support,0.6105,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,久万高原町;西条市,587,,割石東山・青滝山・堂ヶ森,3,false,1
106,二ノ森,manual_review_required,true,summit-candidate:124ae25a51aa9a64,yamap_2022-05-15_06_10.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-05-15_06_10.gpx,658.6,distant_gpx_support,0.6105,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,西条市;久万高原町,673.1,,割石東山・青滝山・堂ヶ森,3,false,1
108,西ノ冠岳,manual_review_required,true,summit-candidate:bb644412fd9a132c,yamap_2022-05-15_06_10.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-05-15_06_10.gpx,932.4,distant_gpx_support,0.616,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_exact,久万高原町,久万高原町,207.5,,割石東山・青滝山・堂ヶ森,3,false,1
109,西黒森,manual_review_required,true,summit-candidate:df6b60d513f5518e,yamap_2024-07-06_10_01.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-07-06_10_01.gpx,996.7,distant_gpx_support,0.6205,name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,西条市,199.4,,子持権現山・男山・瓶ヶ森,1,false,1
