proposed_summit_candidate_id,assigned_mountain_count,mountain_nos,mountain_names,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,min_distance_gemini_to_gpx_candidate_m,max_distance_gemini_to_gpx_candidate_m,review_categories,reason_codes,name_evidence_tiers,municipality_compatibilities,activity_titles_joined,activity_titles,classification,recommended_handling,diagnostic_note
summit-candidate:22e40e9eb117a033,5,75;93;233;234;435,筒上山;南尖峰;天狗岳;石鎚山;東ノ冠岳,yamap_2024-05-03_08_45.gpx,面河山,33.7513188,133.1115977,1519.8633333333335,129.4,857.7,manual_review_required;manual_review_required;manual_review_required;manual_review_required;manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support;csv_elevation_mismatch,name_mismatch,gpx_distant_support;csv_elevation_mismatch,name_mismatch;csv_elevation_mismatch,name_mismatch;csv_elevation_mismatch,name_mismatch",name_missing;name_missing;name_missing;name_missing;name_missing,municipality_exact;municipality_exact;municipality_exact;municipality_exact;municipality_exact,面河山,面河山,candidate_extraction_too_coarse,Adjust candidate detection parameters (tighter merge distance and prominence thresholds) to isolate local summits.,Shared by 5 mountains. Tighter search parameters are required to identify separate peaks.
summit-candidate:1ed32ce6414c2781,3,114;115;477,世田山;笠松山;笠松山東峰,yamap_2022-12-25_13_36.gpx,医王山,33.9801287,133.0507842,98.37666666666667,347.9,969,manual_review_required;manual_review_required;manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support;csv_elevation_mismatch,name_mismatch;csv_elevation_mismatch,name_mismatch,gpx_distant_support",name_missing;name_missing;name_missing,municipality_boundary_compatible;municipality_boundary_compatible;municipality_boundary_compatible,医王山,医王山;高山;塔ノ峰;海山;近見山;唐子山;永納山(永納山城址);佐々久山,needs_manual_interpretation,Perform manual verification on map check queue.,Requires manual map check to determine correct coordinate.
summit-candidate:45f49d8fd831427c,2,185;186,岩子山;垣生山,yamap_2023-01-06_11_33.gpx,岩子山・垣生山・津田山・弁天山,33.8362547,132.7147629,110.77666666666669,237,797.9,quick_review_recommended;manual_review_required,;gpx_distant_support,name_exact_track_contains;name_exact_track_contains,municipality_exact;municipality_exact,岩子山・垣生山・津田山・弁天山,岩子山・垣生山・津田山・弁天山,likely_traverse_multi_peak_context,Implement name-aware track segmentation or split track by timestamp to associate coordinates per peak.,"Track name '岩子山・垣生山・津田山・弁天山' contains multiple peaks, showing traverse context."
summit-candidate:d43fade4de3e33c8,2,208;209,宝ヶ峯;淡路ヶ峠,yamap_2023-03-05_11_09.gpx,宝ヶ峯・淡路ヶ峠,33.8346163,132.8126367,278.9166666666667,63,676.6,conflict_case;conflict_case,multiple_strong_candidates_conflict;multiple_strong_candidates_conflict,name_exact_track_contains;name_exact_track_contains,municipality_exact;municipality_exact,宝ヶ峯・淡路ヶ峠,宝ヶ峯・淡路ヶ峠,likely_traverse_multi_peak_context,Implement name-aware track segmentation or split track by timestamp to associate coordinates per peak.,"Track name '宝ヶ峯・淡路ヶ峠' contains multiple peaks, showing traverse context."
summit-candidate:d03c84134ca0989d,2,210;214,福見山;左谷ノ森,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),33.8192567,132.8731185,306.31,203.6,512.5,manual_review_required;manual_review_required,"csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning;csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning,gpx_distant_support",name_missing;name_missing,municipality_adjacent;municipality_adjacent,高森山・岩伽羅山・衣掛山・吉山(吉山城址),高森山・岩伽羅山・衣掛山・吉山(吉山城址),likely_traverse_multi_peak_context,Implement name-aware track segmentation or split track by timestamp to associate coordinates per peak.,"Track name '高森山・岩伽羅山・衣掛山・吉山(吉山城址)' contains multiple peaks, showing traverse context."
summit-candidate:27c1036d4aa2230e,2,266;287,郭公岳;小屋ヶ森,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,33.1812975,132.6194355,1167.5519282683324,259.5,435.5,manual_review_required;quick_review_recommended,name_mismatch;municipality_adjacent_warning,name_missing;name_exact_track_contains,municipality_exact;municipality_adjacent,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,likely_traverse_multi_peak_context,Implement name-aware track segmentation or split track by timestamp to associate coordinates per peak.,"Track name '鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山' contains multiple peaks, showing traverse context."
summit-candidate:9186201ca03b041d,2,267;268,東高月山;高月山,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,33.1727703,132.6401559,1160.4399999999998,586.4,650.2,manual_review_required;manual_review_required,"name_mismatch,municipality_adjacent_warning,gpx_distant_support;name_mismatch,municipality_adjacent_warning,gpx_distant_support",name_missing;name_missing,municipality_adjacent;municipality_adjacent,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,likely_traverse_multi_peak_context,Implement name-aware track segmentation or split track by timestamp to associate coordinates per peak.,"Track name '御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森' contains multiple peaks, showing traverse context."
summit-candidate:9d447faef6efe2ab,2,284;445,斎藤山;梁瀬山,yamap_2022-10-27_13_37.gpx,冨士山,33.5090382,132.5604,335.74500437341317,671.9,841.8,manual_review_required;manual_review_required,"name_mismatch,gpx_distant_support;name_mismatch,gpx_distant_support",name_missing;name_missing,municipality_exact;municipality_exact,冨士山,冨士山,needs_manual_interpretation,Perform manual verification on map check queue.,Requires manual map check to determine correct coordinate.
summit-candidate:91ebf1d99654d5b2,2,290;478,長尾森;尻割山,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,33.1848651,132.6159575,1162.2731411431716,437.2,440.6,manual_review_required;conflict_case,"name_mismatch,municipality_adjacent_warning;name_mismatch,multiple_strong_candidates_conflict",name_missing;name_missing,municipality_adjacent;municipality_exact,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,likely_traverse_multi_peak_context,Implement name-aware track segmentation or split track by timestamp to associate coordinates per peak.,"Track name '鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山' contains multiple peaks, showing traverse context."
summit-candidate:61304308f9a58d0d,2,341;343,秋葉山;明神山,yamap_2026-01-11_07_50.gpx,黒岩岳,33.654334,132.6895797,694.3566666666667,236.3,406.8,manual_review_required;manual_review_required,name_mismatch;name_mismatch,name_missing;name_missing,municipality_exact;municipality_exact,黒岩岳,黒岩岳;陣が森岳,needs_manual_interpretation,Perform manual verification on map check queue.,Requires manual map check to determine correct coordinate.
