source_gpx_basename,track_name,activity_titles,mountain_names_in_track_or_title,csv_mountain_nos_matched_by_name,csv_mountain_names_matched_by_name,summit_candidate_count_for_gpx,summit_candidate_ids_for_gpx,assigned_mountain_nos_using_gpx,assigned_mountain_names_using_gpx,coverage_status,diagnostic_note
yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,関ヶ森・観音山・倉谷山・芝ヶ峠,関ヶ森;観音山;倉谷山;芝ヶ峠;観音山,1;2;47;48;277,関ヶ森;観音山;倉谷山;芝ヶ峠;観音山,4,summit-candidate:a0c35720552a78c8;summit-candidate:cb62a56e70cedbce;summit-candidate:feca346909b97b92;summit-candidate:c284068144ec2cfd,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (5).
yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),高森山・岩伽羅山・衣掛山・吉山(吉山城址),高森山;岩伽羅山;衣掛山;吉山(吉山城址);高森;高森山;高森山;高森山,3;4;5;6;245;390;459;467,高森山;岩伽羅山;衣掛山;吉山(吉山城址);高森;高森山;高森山;高森山,2,summit-candidate:e7ae682a07af2e10;summit-candidate:d03c84134ca0989d,3;210;214,高森山;福見山;左谷ノ森,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (8).
yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,尾ノ峰・新城山・腰折山・恵良山,尾ノ峰;新城山;腰折山;恵良山,7;8;9;10,尾ノ峰;新城山;腰折山;恵良山,4,summit-candidate:36e3ac8003e8b5d0;summit-candidate:ac7a1ebef52ea30c;summit-candidate:d6b806525709cc22;summit-candidate:40260be41579ab8f,,,candidate_count_matches_named_peaks,Candidate count (4) matches the number of named peaks in track/title.
yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,皿ヶ森・経座ヶ森・ヨソ山,皿ヶ森;経座ヶ森;ヨソ山,11;12;58,皿ヶ森;経座ヶ森;ヨソ山,2,summit-candidate:59c561a08189d6b9;summit-candidate:7c532ef1be71a4d1,497,面木山,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,谷上山・権現山・白滝山・障子山,谷上山;権現山;白滝山;障子山;権現山;権現山;権現山;権現山;権現山;権現山;権現山,13;14;15;16;159;189;198;263;465;480;494,谷上山;権現山;白滝山;障子山;権現山;権現山;権現山;権現山;権現山;権現山;権現山,5,summit-candidate:0eff3d1ea2b48d73;summit-candidate:c94d8d76133fda1a;summit-candidate:2c817617699a0a45;summit-candidate:ea5f711625df386b;summit-candidate:a0ef25e9a532b62e,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (5) is less than named peaks (11).
yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,塩ヶ森;番駄ヶ森;ケタ山;大磨山;鍵山（象ヶ森）,18;19;20;21;22,塩ヶ森;番駄ヶ森;ケタ山;大磨山;鍵山（象ヶ森）,5,summit-candidate:0c210f0edfbda06f;summit-candidate:a637fbc518f58ac5;summit-candidate:24dc6cf37ce4e715;summit-candidate:d4dc6f2bbe1f994f;summit-candidate:c2491268ea5645b7,,,candidate_count_matches_named_peaks,Candidate count (5) matches the number of named peaks in track/title.
yamap_2022-02-15_10_36.gpx,天神山・御幸寺山,天神山・御幸寺山,天神山;御幸寺山;天神山,23;24;52,天神山;御幸寺山;天神山,2,summit-candidate:543b4550a3ef3e87;summit-candidate:e4808690532bb46c,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2022-02-16_11_57.gpx,愛宕山・常光寺山,愛宕山・常光寺山,愛宕山;常光寺山;愛宕山,25;26;476,愛宕山;常光寺山;愛宕山,2,summit-candidate:22b4a5a5c856bf4d;summit-candidate:d9391b001d4bc442,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,西山・経ヶ森・岩子山・護摩ヶ森,西山;岩子山;経ヶ森;護摩ヶ森;岩子山;西山,31;32;33;34;185;321,西山;岩子山;経ヶ森;護摩ヶ森;岩子山;西山,2,summit-candidate:bdfa250c89c1ca90;summit-candidate:23c112538ef91e0d,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (6).
yamap_2022-02-26_07_43.gpx,御岳山,御岳山;石槌山;モニタリング調査ライン,御岳山;石槌山,35;36,御岳山;石槌山,2,summit-candidate:54cf4155ab259d9d;summit-candidate:80fb4ff56016a4dd,,,candidate_count_matches_named_peaks,Candidate count (2) matches the number of named peaks in track/title.
yamap_2022-02-28_13_13.gpx,花木山,花木山;重茂山,重茂山;花木山,38;39,重茂山;花木山,1,summit-candidate:fbd725fc8006e2c8,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,奥之城山・ヌタノサコ,ヌタノサコ;奥之城山,40;232,ヌタノサコ;奥之城山,3,summit-candidate:ea33d870d4700a56;summit-candidate:7d7066baad9d7077;summit-candidate:0ec3be2fa2295b82,357,尉之山,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (3) exceeds named peaks (2).
yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,城山・水梨山・向山,城山;水梨山;向山;城山;城山,41;42;43;279;339,城山;水梨山;向山;城山;城山,5,summit-candidate:c1f175d0616be696;summit-candidate:07834c521328cc1d;summit-candidate:0a765b89058b256b;summit-candidate:cf1e11202c4f4280;summit-candidate:edd15dad4a862cba,,,candidate_count_matches_named_peaks,Candidate count (5) matches the number of named peaks in track/title.
yamap_2022-03-12_08_31.gpx,菊ヶ森,菊ヶ森;道後山;鞍馬山・貴船山【鞍馬駅▶️貴船口駅】🌟🌟,菊ヶ森;道後山;菊ヶ森,45;46;227,菊ヶ森;道後山;菊ヶ森,1,summit-candidate:ab8cf0f07d2a219d,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-03-12_09_19.gpx,道後山,道後山;菊ヶ森;鞍馬山・貴船山【鞍馬駅▶️貴船口駅】🌟🌟,菊ヶ森;道後山;菊ヶ森,45;46;227,菊ヶ森;道後山;菊ヶ森,1,summit-candidate:7c680b0eed0187fa,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,倉谷山;芝ヶ峠;宝ヶ峯;淡路ヶ峠,47;48;208;209,倉谷山;芝ヶ峠;宝ヶ峯;淡路ヶ峠,3,summit-candidate:aba609f471e97e4a;summit-candidate:079ae30d76fb11c2;summit-candidate:b9e78d4a587ceaa0,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (3) is less than named peaks (4).
