mountain_no,mountain_name,selected_grounding_lat,selected_grounding_lon,source_gpx_basename,gpx_file_exists,has_matching_activity_link
1,関ヶ森,,,,false,false
2,観音山,,,,false,false
3,高森山,33.8423734,132.8811963,yamap_2022-01-22_09_04.gpx,true,true
4,岩伽羅山,,,,false,false
5,衣掛山,,,,false,false
6,吉山(吉山城址),,,,false,false
7,尾ノ峰,,,,false,false
8,新城山,,,,false,false
9,腰折山,,,,false,false
10,恵良山,,,,false,false
11,皿ヶ森,,,,false,false
12,経座ヶ森,,,,false,false
13,谷上山,,,,false,false
14,権現山,,,,false,false
15,白滝山,,,,false,false
16,障子山,,,,false,false
17,伽藍山,,,,false,false
18,塩ヶ森,,,,false,false
19,番駄ヶ森,,,,false,false
20,ケタ山,,,,false,false
21,大磨山,,,,false,false
22,鍵山（象ヶ森）,,,,false,false
23,天神山,,,,false,false
24,御幸寺山,,,,false,false
25,愛宕山,,,,false,false
26,常光寺山,,,,false,false
27,杉立山,,,,false,false
28,岩柄山,,,,false,false
29,高山,,,,false,false
30,勝岡山,,,,false,false
31,西山,,,,false,false
32,岩子山,,,,false,false
33,経ヶ森,,,,false,false
34,護摩ヶ森,,,,false,false
35,御岳山,,,,false,false
36,石槌山,,,,false,false
37,日王山,,,,false,false
38,重茂山,,,,false,false
39,花木山,,,,false,false
40,ヌタノサコ,,,,false,false
41,城山,,,,false,false
42,水梨山,,,,false,false
43,向山,,,,false,false
44,稔山,,,,false,false
45,菊ヶ森,,,,false,false
46,道後山,,,,false,false
47,倉谷山,,,,false,false
48,芝ヶ峠,,,,false,false
49,大久保山,33.7225,132.646944,,false,false
50,八里ヶ峠,33.743611,132.695833,,false,false
51,中坂山,,,,false,false
52,天神山,33.729167,133.053889,,false,false
53,室岡山,33.731667,133.061944,,false,false
54,潮見山,33.7275,133.049444,,false,false
55,明神山,33.738056,133.045,,false,false
56,潮見山,,,,false,false
57,十門山(十門城址),,,,false,false
58,ヨソ山,33.854444,132.903889,yamap_2022-03-25_12_12.gpx,true,true
59,忽那山,,,,false,false
60,鬼ヶ城山,,,,false,false
61,三本杭,,,,false,false
62,八面山,,,,false,false
63,大久保山,33.844167,133.315556,,false,false
64,大月山,,,,false,false
65,引地山,33.725556,132.868611,,false,false
66,東三方ヶ森,33.911389,132.934167,,false,false
67,甲が森,,,,false,false
68,三滝山,,,,false,false
69,雨包山,,,,false,false
70,源氏ヶ駄場（薊野峰）,,,,false,false
71,碁石ヶ森,33.393889,132.656944,,false,false
72,伊之子山,33.876389,132.887222,yamap_2023-01-03_07_36.gpx,true,true
73,御在所山,33.355,132.6975,,false,false
74,岩黒山,33.754444,133.123889,,false,false
75,筒上山,33.743611,133.111944,yamap_2024-05-03_08_45.gpx,true,true
76,手箱山,33.738889,133.117778,,false,false
77,大川嶺,33.565,132.915,,false,false
78,笠取山,33.564722,132.932778,yamap_2022-05-02_09_06.gpx,true,true
79,ウバホド山,33.560278,132.951944,,false,false
80,うなめご,33.729722,132.923889,yamap_2022-05-05_13_29.gpx,true,true
81,前々司山,33.732222,132.936667,yamap_2022-05-05_13_29.gpx,true,true
82,陣ヶ森,33.733611,132.951111,yamap_2022-10-28_06_21.gpx,true,true
83,寒川山,33.955556,133.518611,,false,false
84,豊受山,33.947222,133.473056,,false,false
85,赤星山,,,,false,false
86,七々木山,33.935556,133.493056,,false,false
87,鋸山,33.931389,133.513889,,false,false
88,翠波峰,33.938889,133.551667,,false,false
89,平石山,33.945556,133.578611,,false,false
90,割石東山,,,,false,false
91,青滝山,33.647222,132.951111,,false,false
92,堂ヶ森,,,,false,false
93,南尖峰,33.751944,133.118611,yamap_2024-05-03_08_45.gpx,true,true
94,自念子ノ頭,,,,false,false
95,勝山,,,,false,false
96,姫草,33.376944,132.695278,,false,false
97,牛城,33.381389,132.709444,,false,false
98,積善山,,,,false,false
99,鉢巻山,34.285833,133.181667,,false,false
100,立石山,34.279722,133.176111,yamap_2022-06-18_14_26.gpx,true,true
101,鷲ヶ頭山,34.237222,133.018333,yamap_2022-06-20_12_02.gpx,true,true
102,安神山,34.235833,133.003333,yamap_2022-06-20_12_02.gpx,true,true
103,篠山,32.965556,132.6625,,false,false
104,横山(横山城址),,,,false,false
105,鞍瀬ノ頭,33.754722,133.029444,yamap_2022-05-15_06_10.gpx,true,true
106,二ノ森,33.753333,133.042222,yamap_2022-05-15_06_10.gpx,true,true
107,面河の頭,33.748333,133.056944,,false,false
108,西ノ冠岳,33.748889,133.061111,yamap_2022-05-15_06_10.gpx,true,true
109,西黒森,33.771944,133.183889,yamap_2024-07-06_10_01.gpx,true,true
110,小富士,33.882778,132.684167,yamap_2022-10-11_15_15.gpx,true,true
111,龍石山,,,,false,false
112,子持山,,,,false,false
113,大峰ヶ台,,,,false,false
114,世田山,33.9875,133.056389,yamap_2022-12-25_13_36.gpx,true,true
115,笠松山,33.9781945,133.05374999999998,yamap_2022-12-25_13_36.gpx,true,true
116,北三方ヶ森,33.931944,132.895556,,false,false
117,大友山,33.8825,132.813889,,false,false
118,湯築山,33.845833,132.785278,,false,false
119,寒風山,33.811389,133.255556,,false,false
120,ちち山,33.834167,133.292222,,false,false
121,笹ヶ峰,33.831944,133.273611,,false,false
122,松軒山,32.951111,132.553889,,false,false
123,三山,34.2575,133.226389,,false,false
124,伊勢山,,,,false,false
125,久司山,,,,false,false
126,石灰山,34.351111,133.226389,,false,false
127,古法皇山,,,,false,false
128,狩江権現山,33.285556,132.475833,,false,false
129,極山,33.364444,132.478889,,false,false
130,高文殊山,,,,false,false
131,三本榎,,,,false,false
132,鏡山,34.225556,132.997222,,false,false
133,戸祇御前山,,,,false,false
134,雄甲山,33.9575,132.813889,,false,false
135,雌甲山,33.951111,132.811111,,false,false
136,泉ガ森,33.197222,132.658333,,false,false
137,東山,33.714444,132.902222,,false,false
138,前赤石山,,,,false,false
139,黒崎山,,,,false,false
140,高戸山,33.8825,132.684167,,false,false
141,犬吠山,33.891111,132.685556,,false,false
142,泰の山,33.897222,132.682222,,false,false
143,中三方ヶ森,,,,false,false
144,古権現山,,,,false,false
145,楢原山,,,,false,false
146,西港山,,,,false,false
147,大丸山,33.8825,132.713889,,false,false
148,港山,33.864722,132.709444,,false,false
149,すくも山,33.918611,133.155556,,false,false
150,愛ノ山,33.978889,133.064444,,false,false
151,冨士山,,,,false,false
152,割石峠山,33.722222,132.918611,,false,false
153,石墨山,33.725833,132.981111,,false,false
154,法師山,33.729167,132.992222,,false,false
155,白猪山,33.735278,132.955556,,false,false
156,梅ヶ谷山,33.728611,132.973611,,false,false
157,樽谷山,33.731389,132.969444,,false,false
158,根無山,33.729444,132.964167,,false,false
159,権現山,33.824722,133.415278,,false,false
160,黒岳,33.846667,133.344444,,false,false
161,エビラ山,33.859444,133.375556,,false,false
162,二ッ岳,33.861111,133.391667,,false,false
163,鹿島山,,,,false,false
164,出石山,33.535833,132.435278,,false,false
165,綱繰山,33.821111,133.400556,,false,false
166,獅子舞の鼻,33.821111,133.351389,,false,false
167,冠山,33.818333,133.353333,,false,false
168,遠ヶ森,33.914444,132.846944,,false,false
169,扇山,,,,false,false
170,高山,34.113056,132.946389,,false,false
171,塔ノ峰,34.111111,132.9575,,false,false
172,海山,34.111111,132.966944,,false,false
173,近見山,,,,false,false
174,唐子山,,,,false,false
175,医王山,33.911389,133.069167,,false,false
176,永納山(永納山城址),33.985833,133.024722,yamap_2022-08-26_08_45.gpx,true,true
177,佐々久山,33.931944,133.090556,,false,false
178,土亀山,33.901111,132.775833,yamap_2023-01-28_14_27.gpx,true,true
179,天山,33.823611,132.778056,,false,false
180,東山,33.811389,133.364444,,false,false
181,星岡山,33.818889,132.791667,yamap_2022-12-31_15_00.gpx,true,true
182,河原樋山,33.708789,132.813878,,false,false
183,真松嶺,33.719623,132.805391,,false,false
184,柿王寺森,33.724167,132.803889,,false,false
185,岩子山,33.834167,132.715278,yamap_2023-01-06_11_33.gpx,true,true
186,垣生山,33.829167,132.716111,yamap_2023-01-06_11_33.gpx,true,true
187,津田山,33.825556,132.713889,,false,false
188,弁天山,33.821389,132.711944,,false,false
189,権現山,,,,false,false
190,黒瀬山（黒瀬城址）,33.359167,132.523889,,false,false
191,岡山（岡城址）,33.364444,132.531389,,false,false
192,鉢ヶ森（鉢ヶ森城址）,,,,false,false
193,護摩ヶ森（護摩ヶ森城址）,,,,false,false
194,我合山（我合城址）,33.355556,132.518611,yamap_2023-01-08_14_24.gpx,true,true
195,由良山,33.111111,132.441944,,false,false
196,大森山,33.483611,132.321389,,false,false
197,見晴山,33.4475,132.203611,,false,false
198,権現山,33.445278,132.197222,,false,false
199,遠見山,33.344444,132.013611,yamap_2022-02-09_10_01.gpx,true,true
200,石神山,33.464444,132.235556,,false,false
201,金比羅山,,,,false,false
202,鳥越山,33.913889,132.684167,yamap_2022-10-14_13_42.gpx,true,true
203,谷田山,33.901111,132.695278,,false,false
204,金毘羅山,33.897222,132.691389,,false,false
205,佐古田山,33.905556,132.699722,,false,false
206,古城山,33.954722,132.801667,yamap_2022-10-03_14_57.gpx,true,true
207,尾崎山,33.963333,132.8075,,false,false
208,宝ヶ峯,33.834167,132.812222,yamap_2023-03-05_11_09.gpx,true,true
209,淡路ヶ峠,33.830278,132.8075,yamap_2023-03-05_11_09.gpx,true,true
210,福見山,33.818889,132.875278,yamap_2022-01-22_09_04.gpx,true,true
211,明神ヶ森,33.836667,132.895556,,false,false
212,南三方ヶ森,33.876389,132.918611,,false,false
213,魚谷森,33.830556,132.887222,,false,false
214,左谷ノ森,33.821944,132.868611,yamap_2022-01-22_09_04.gpx,true,true
215,真城ヶ台,,,,false,false
216,千羽ヶ岳,,,,false,false
217,皿ヶ嶺,33.722602,132.894389,yamap_2022-04-15_11_52.gpx,true,true
218,えんとつ山,33.905634,133.278335,,false,false
219,生子山,33.901111,133.277222,,false,false
220,犬返,33.8825,133.284444,,false,false
221,種子川山,33.881389,133.292222,,false,false
222,西赤石山,33.856944,133.315278,yamap_2022-11-26_04_41.gpx,true,true
223,物住頭,33.851944,133.321389,yamap_2022-11-26_04_41.gpx,true,true
224,上兜山,33.858333,133.297222,,false,false
225,下兜山,,,,false,false
226,黒森山,33.818889,132.923889,,false,false
227,菊ヶ森,33.645556,132.884722,,false,false
228,餓鬼ヶ森,,,,false,false
229,船野山,,,,false,false
230,木久ヶ森,33.895556,133.153889,,false,false
231,黒滝山,33.882778,133.161111,,false,false
232,奥之城山,,,,false,false
233,天狗岳,33.752222,133.115556,yamap_2024-05-03_08_45.gpx,true,true
234,石鎚山,33.751944,133.112778,yamap_2024-05-03_08_45.gpx,true,true
235,善神山,33.823611,132.969444,,false,false
236,前善神山,33.818333,132.966389,,false,false
237,五葉が森,33.951111,132.951111,,false,false
238,冠岳,33.684444,132.915278,yamap_2023-04-09_09_08.gpx,true,true
239,東赤石山,33.870556,133.344167,yamap_2022-10-08_06_12.gpx,true,true
240,八巻山,33.864167,133.333333,,false,false
241,ベツソ山,33.7225,132.658889,,false,false
242,歯朶谷山,33.681667,132.693611,,false,false
243,丸山,,,,false,false
244,二ノ岳,33.664444,132.935556,,false,false
245,高森,33.564722,133.003333,,false,false
246,四辻ノ森,,,,false,false
247,三光ノ辻山,,,,false,false
248,瀬戸黒森,33.044722,132.618611,yamap_2023-11-19_06_46.gpx,true,true
249,羽子山,,,,false,false
250,観音森,,,,false,false
251,三森,,,,false,false
252,総津権現山,,,,false,false
253,秦皇山,33.649722,132.721389,,false,false
254,平岡山(平岡城址),33.682222,132.648333,,false,false
255,竜門山,33.882222,133.018611,,false,false
256,大黒山,33.951111,133.123889,,false,false
257,大空山,,,,false,false
258,御串山,34.249444,132.997222,yamap_2024-01-27_10_11.gpx,true,true
259,宝股山,,,,false,false
260,開山,34.223889,133.0675,,false,false
261,鳥屋ヶ森,,,,false,false
262,熊ガ峰,,,,false,false
263,権現山,,,,false,false
264,大黒山,33.197222,132.613889,yamap_2024-02-24_07_06.gpx,true,true
265,譲ヶ葉森,,,,false,false
266,郭公岳,33.181389,132.622222,yamap_2022-04-08_09_33.gpx,true,true
267,東高月山,33.171389,132.646944,yamap_2024-03-30_07_11.gpx,true,true
268,高月山,33.169167,132.635556,yamap_2024-03-30_07_11.gpx,true,true
269,櫨ヶ森,33.174444,132.628889,,false,false
270,毛山,,,,false,false
271,白石山,,,,false,false
272,観音岳,,,,false,false
273,音無山,,,,false,false
274,天ガ森,,,,false,false
275,夫婦山,,,,false,false
276,白山,33.882222,132.846944,,false,false
277,観音山,,,,false,false
278,国見山,,,,false,false
279,城山,33.841389,132.765556,yamap_2022-06-04_14_13.gpx,true,true
280,御勧請山,33.881111,132.851944,,false,false
281,トギ,33.565556,132.613889,,false,false
282,張木山,33.561111,132.618611,,false,false
283,高手山,33.498333,132.614444,,false,false
284,斎藤山,33.511111,132.551667,yamap_2022-10-27_13_37.gpx,true,true
285,御祝山,33.243333,132.654444,,false,false
286,横ノ森,33.193611,132.621389,,false,false
287,小屋ヶ森,33.184444,132.622222,yamap_2022-04-08_09_33.gpx,true,true
288,串ヶ森,33.195278,132.607778,yamap_2022-04-08_09_33.gpx,true,true
289,目黒鳥屋,33.189444,132.629167,yamap_2024-03-30_07_11.gpx,true,true
