gpx_basename,gpx_path,file_size_bytes,track_name,trackpoint_count,has_elevation,has_time
yamap_2022-01-15_08_17.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-15_08_17.gpx,140819,関ヶ森・観音山・倉谷山・芝ヶ峠,812,false,false
yamap_2022-01-22_09_04.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-22_09_04.gpx,77671,高森山・岩伽羅山・衣掛山・吉山(吉山城址),710,false,false
yamap_2022-01-28_12_28.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-28_12_28.gpx,53380,尾ノ峰・新城山・腰折山・恵良山,487,false,false
yamap_2022-01-29_08_35.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-29_08_35.gpx,65321,皿ヶ森・経座ヶ森・ヨソ山,595,false,false
yamap_2022-02-06_08_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-06_08_26.gpx,101835,谷上山・権現山・白滝山・障子山,912,false,false
yamap_2022-02-09_10_01.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-09_10_01.gpx,45607,佐田岬と伽藍山,406,false,false
yamap_2022-02-11_08_26.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-11_08_26.gpx,64488,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,588,false,false
yamap_2022-02-15_10_36.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-15_10_36.gpx,29406,天神山・御幸寺山,266,false,false
yamap_2022-02-16_11_57.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-16_11_57.gpx,7770,愛宕山・常光寺山,67,false,false
yamap_2022-02-23_08_42.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-23_08_42.gpx,45193,西山・経ヶ森・岩子山・護摩ヶ森,410,false,false
yamap_2022-02-26_07_43.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-26_07_43.gpx,18897,御岳山,170,false,false
yamap_2022-02-27_10_22.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-27_10_22.gpx,3035,日王山,24,false,false
yamap_2022-02-28_13_13.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-28_13_13.gpx,5299,花木山,45,false,false
yamap_2022-03-03_10_47.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-03_10_47.gpx,44028,奥之城山・ヌタノサコ,400,false,false
yamap_2022-03-05_09_44.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-05_09_44.gpx,73785,城山・水梨山・向山,661,false,false
yamap_2022-03-09_10_20.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-09_10_20.gpx,44568,稔山,405,false,false
yamap_2022-03-12_08_31.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-12_08_31.gpx,6017,菊ヶ森,51,false,false
yamap_2022-03-12_09_19.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-12_09_19.gpx,16359,道後山,146,false,false
yamap_2022-03-13_09_49.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-13_09_49.gpx,57441,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,523,false,false
yamap_2022-03-20_07_06.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-20_07_06.gpx,74409,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,427,false,false
yamap_2022-03-23_07_38.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-23_07_38.gpx,20674,明神山・潮見山,185,false,false
