mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
58,ヨソ山,assigned,manual_review_required,33.8503146,132.9103674,676.7066666666667,gpx_summit_candidate,summit-candidate:a94564816fd4afff,yamap_2022-03-25_12_12.gpx,754.1,,251.3,0.6525,true,csv_elevation_mismatch;municipality_adjacent_warning;gpx_distant_support,
72,伊之子山,assigned,manual_review_required,33.8717799,132.8815633,860.4766666666668,gpx_summit_candidate,summit-candidate:b1d864fd1fcc9dcb,yamap_2023-01-03_07_36.gpx,731.8,,11.5,0.628,true,name_mismatch;gpx_distant_support,
75,筒上山,assigned,manual_review_required,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,857.7,,340.1,0.6205,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
78,笠取山,assigned,manual_review_required,33.5604174,132.9270238,1532.1452947696732,gpx_summit_candidate,summit-candidate:1ebd63d8e2790409,yamap_2022-05-02_09_06.gpx,716.5,,29.9,0.756,true,gpx_distant_support,
81,前々司山,assigned,manual_review_required,33.7301727,132.9307483,1276.53,gpx_summit_candidate,summit-candidate:ea6bebee79234da7,yamap_2022-05-05_13_29.gpx,592.9,,-23.5,0.697,true,municipality_adjacent_warning;gpx_distant_support,
82,陣ヶ森,assigned,manual_review_required,33.7336817,132.9534746,1313.3500000000001,gpx_summit_candidate,summit-candidate:25e47e34740282d2,yamap_2022-10-28_06_21.gpx,218.7,,-106.4,0.716,true,name_mismatch,
93,南尖峰,assigned,manual_review_required,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,652.1,,462.1,0.6205,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
102,安神山,assigned,manual_review_required,34.2432829,133.0072567,156.04151443047127,gpx_summit_candidate,summit-candidate:a92a94d8b5e0fb90,yamap_2022-06-20_12_02.gpx,903.5,,111,0.6715,true,gpx_distant_support,
105,鞍瀬ノ頭,assigned,manual_review_required,33.7620048,133.0352237,1301.993333333333,gpx_summit_candidate,summit-candidate:242762a3c600ff91,yamap_2022-05-15_06_10.gpx,970.2,,587,0.6105,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
106,二ノ森,assigned,manual_review_required,33.7589522,133.0444754,1256.8500000000001,gpx_summit_candidate,summit-candidate:124ae25a51aa9a64,yamap_2022-05-15_06_10.gpx,658.6,,673.1,0.6105,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
