mountain_no,mountain_name,review_category,proposed_candidate_id,proposed_candidate_type,canonical_summit_candidate_id,supplemental_candidate_id,supplemental_duplicate_of_canonical_candidate_id,distance_supplemental_to_canonical_m,proposed_lat,proposed_lon,proposed_ele_m,source_gpx_basename,distance_gemini_to_proposed_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
58,ヨソ山,manual_review_required,summit-candidate:a94564816fd4afff,canonical_summit_candidate,summit-candidate:a94564816fd4afff,,,,33.8503146,132.9103674,676.7066666666667,yamap_2022-03-25_12_12.gpx,754.1,,251.3,0.6525,true,csv_elevation_mismatch;municipality_adjacent_warning;gpx_distant_support,
72,伊之子山,manual_review_required,summit-candidate:b1d864fd1fcc9dcb,canonical_summit_candidate,summit-candidate:b1d864fd1fcc9dcb,,,,33.8717799,132.8815633,860.4766666666668,yamap_2023-01-03_07_36.gpx,731.8,,11.5,0.628,true,name_mismatch;gpx_distant_support,
78,笠取山,manual_review_required,summit-candidate:1ebd63d8e2790409,canonical_summit_candidate,summit-candidate:1ebd63d8e2790409,,,,33.5604174,132.9270238,1532.1452947696732,yamap_2022-05-02_09_06.gpx,716.5,,29.9,0.756,true,gpx_distant_support,
81,前々司山,manual_review_required,summit-candidate:ea6bebee79234da7,canonical_summit_candidate,summit-candidate:ea6bebee79234da7,,,,33.7301727,132.9307483,1276.53,yamap_2022-05-05_13_29.gpx,592.9,,-23.5,0.697,true,municipality_adjacent_warning;gpx_distant_support,
93,南尖峰,manual_review_required,summit-candidate:22e40e9eb117a033,canonical_summit_candidate,summit-candidate:22e40e9eb117a033,,,,33.7513188,133.1115977,1519.8633333333335,yamap_2024-05-03_08_45.gpx,652.1,,462.1,0.6205,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
102,安神山,manual_review_required,summit-candidate:a92a94d8b5e0fb90,canonical_summit_candidate,summit-candidate:a92a94d8b5e0fb90,,,,34.2432829,133.0072567,156.04151443047127,yamap_2022-06-20_12_02.gpx,903.5,,111,0.6715,true,gpx_distant_support,
105,鞍瀬ノ頭,manual_review_required,summit-candidate:242762a3c600ff91,canonical_summit_candidate,summit-candidate:242762a3c600ff91,,,,33.7620048,133.0352237,1301.993333333333,yamap_2022-05-15_06_10.gpx,970.2,,587,0.6105,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
108,西ノ冠岳,manual_review_required,summit-candidate:bb644412fd9a132c,canonical_summit_candidate,summit-candidate:bb644412fd9a132c,,,,33.7557226,133.066955,1682.5333333333335,yamap_2022-05-15_06_10.gpx,932.4,,207.5,0.616,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
109,西黒森,manual_review_required,summit-candidate:df6b60d513f5518e,canonical_summit_candidate,summit-candidate:df6b60d513f5518e,,,,33.7802626,133.1879064,1661.57,yamap_2024-07-06_10_01.gpx,996.7,,199.4,0.6205,true,name_mismatch;gpx_distant_support,
110,小富士,manual_review_required,summit-candidate:541ec86327b86307,canonical_summit_candidate,summit-candidate:541ec86327b86307,,,,33.8763934,132.685607,89.01666666666667,yamap_2022-10-11_15_15.gpx,722.3,,193,0.576,true,name_mismatch;gpx_distant_support,
