mountain_no,mountain_name,review_category,proposed_candidate_id,proposed_candidate_type,canonical_summit_candidate_id,supplemental_candidate_id,supplemental_duplicate_of_canonical_candidate_id,distance_supplemental_to_canonical_m,proposed_lat,proposed_lon,proposed_ele_m,source_gpx_basename,distance_gemini_to_proposed_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
75,筒上山,supplemental_fallback_review_required,supplemental-candidate:68ebe8346dd2c39f,supplemental_gemini_near_gpx_point,,supplemental-candidate:68ebe8346dd2c39f,,892.425,33.7433524,133.1127696,1246.0466666666669,yamap_2024-05-03_08_45.gpx,81.6,,614,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
80,うなめご,supplemental_fallback_review_required,supplemental-candidate:6f7b58fbd0e8a863,supplemental_gemini_near_gpx_point,,supplemental-candidate:6f7b58fbd0e8a863,,40.985,33.730385,132.9234645,1248.7033333333334,yamap_2022-05-05_13_29.gpx,83.5,,35.3,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
101,鷲ヶ頭山,supplemental_fallback_review_required,supplemental-candidate:8b12fdde19c483d3,supplemental_gemini_near_gpx_point,,supplemental-candidate:8b12fdde19c483d3,,370.915,34.239642,133.0169478,317.93458804620576,yamap_2022-06-20_12_02.gpx,297.7,,118.1,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
106,二ノ森,supplemental_fallback_review_required,supplemental-candidate:4b93636d7f5f30bf,supplemental_gemini_near_gpx_point,,supplemental-candidate:4b93636d7f5f30bf,,779.251,33.7519483,133.0447628,1005.4500000000002,yamap_2022-05-15_06_10.gpx,280.9,,924.5,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
115,笠松山,supplemental_fallback_review_required,supplemental-candidate:56ce42e5a0215d67,supplemental_gemini_near_gpx_point,,supplemental-candidate:56ce42e5a0215d67,,127.829,33.9799769,133.0521584,45.03,yamap_2022-12-25_13_36.gpx,246.6,,312,0.985,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
199,遠見山,supplemental_fallback_review_required,supplemental-candidate:a0ef76476aafffba,supplemental_gemini_near_gpx_point,,supplemental-candidate:a0ef76476aafffba,,236.847,33.3444401,132.0137458,2.2162921478872355,yamap_2022-02-09_10_01.gpx,12.5,,127.8,0.94,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
202,鳥越山,supplemental_fallback_review_required,supplemental-candidate:189f1381363ed8d5,supplemental_gemini_near_gpx_point,,supplemental-candidate:189f1381363ed8d5,,403.582,33.9141671,132.6846951,96.28666666666668,yamap_2022-10-14_13_42.gpx,57.7,,3.7,0.95,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
208,宝ヶ峯,supplemental_fallback_review_required,supplemental-candidate:5bbd3ae31740d9db,supplemental_gemini_near_gpx_point,,supplemental-candidate:5bbd3ae31740d9db,,39.873,33.8342694,132.812746,274.61999999999995,yamap_2023-03-05_11_09.gpx,49.7,,9.4,0.95,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
209,淡路ヶ峠,supplemental_fallback_review_required,supplemental-candidate:204ea99758e2d9de,supplemental_gemini_near_gpx_point,,supplemental-candidate:204ea99758e2d9de,,518.563,33.8309125,132.8092252,263.2966666666667,yamap_2023-03-05_11_09.gpx,174.3,,9.7,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
210,福見山,supplemental_fallback_review_required,supplemental-candidate:c91c3590c6409347,supplemental_gemini_near_gpx_point,,supplemental-candidate:c91c3590c6409347,,195.934,33.818582,132.8750778,283.7033333333333,yamap_2022-01-22_09_04.gpx,38.8,,767.3,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
