mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
3,高森山,assigned,conflict_case,33.8423734,132.8811963,719.2533333333334,gpx_summit_candidate,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,0,,4.7,0.866,true,municipality_mismatch,
72,伊之子山,assigned,conflict_case,33.8717799,132.8815633,860.4766666666668,gpx_summit_candidate,summit-candidate:b1d864fd1fcc9dcb,yamap_2023-01-03_07_36.gpx,731.8,,11.5,0.538,true,municipality_mismatch;name_compatibility_warning,
80,うなめご,assigned,conflict_case,33.7306327,132.9237927,1250.17,gpx_summit_candidate,summit-candidate:e7e4429a39f6359f,yamap_2022-05-05_13_29.gpx,101.7,,33.8,0.806,true,municipality_mismatch,
82,陣ヶ森,assigned,conflict_case,33.7336817,132.9534746,1313.3500000000001,gpx_summit_candidate,summit-candidate:25e47e34740282d2,yamap_2022-10-28_06_21.gpx,218.7,,-106.4,0.626,true,csv_elevation_mismatch;municipality_mismatch;name_compatibility_warning,
105,鞍瀬ノ頭,assigned,conflict_case,33.7620048,133.0352237,1301.993333333333,gpx_summit_candidate,summit-candidate:242762a3c600ff91,yamap_2022-05-15_06_10.gpx,970.2,,587,0.5205,true,csv_elevation_mismatch;municipality_mismatch;name_compatibility_warning,
106,二ノ森,assigned,conflict_case,33.7589522,133.0444754,1256.8500000000001,gpx_summit_candidate,summit-candidate:124ae25a51aa9a64,yamap_2022-05-15_06_10.gpx,658.6,,673.1,0.5205,true,csv_elevation_mismatch;municipality_mismatch;name_compatibility_warning,
109,西黒森,assigned,conflict_case,33.7802626,133.1879064,1661.57,gpx_summit_candidate,summit-candidate:df6b60d513f5518e,yamap_2024-07-06_10_01.gpx,996.7,,199.4,0.5305,true,csv_elevation_mismatch;municipality_mismatch;name_compatibility_warning,
114,世田山,assigned,conflict_case,33.9801287,133.0507842,98.37666666666667,gpx_summit_candidate,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,969,,240.6,0.516,true,csv_elevation_mismatch;municipality_mismatch;name_compatibility_warning,
115,笠松山,assigned,conflict_case,33.9801287,133.0507842,98.37666666666667,gpx_summit_candidate,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,347.9,,258.6,0.5683,true,csv_elevation_mismatch;municipality_mismatch;name_compatibility_warning,
116,北三方ヶ森,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
117,大友山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
119,寒風山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
120,ちち山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
121,笹ヶ峰,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
122,松軒山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
123,三山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
126,石灰山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
128,狩江権現山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
129,極山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
132,鏡山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
134,雄甲山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
135,雌甲山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
136,泉ガ森,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
137,東山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
140,高戸山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
141,犬吠山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
142,泰の山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
147,大丸山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
