mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
58,ヨソ山,assigned,manual_review_required,33.8503146,132.9103674,676.7066666666667,gpx_summit_candidate,summit-candidate:a94564816fd4afff,yamap_2022-03-25_12_12.gpx,754.1,,251.3,0.6525,true,csv_elevation_mismatch;municipality_adjacent_warning;gpx_distant_support,
75,筒上山,assigned,manual_review_required,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,857.7,,340.1,0.6205,true,csv_elevation_mismatch;name_compatibility_warning;gpx_distant_support,
78,笠取山,assigned,manual_review_required,33.5604174,132.9270238,1532.1452947696732,gpx_summit_candidate,summit-candidate:1ebd63d8e2790409,yamap_2022-05-02_09_06.gpx,716.5,,29.9,0.756,true,gpx_distant_support,
81,前々司山,assigned,manual_review_required,33.7301727,132.9307483,1276.53,gpx_summit_candidate,summit-candidate:ea6bebee79234da7,yamap_2022-05-05_13_29.gpx,592.9,,-23.5,0.697,true,municipality_adjacent_warning;gpx_distant_support,
93,南尖峰,assigned,manual_review_required,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,652.1,,462.1,0.6205,true,csv_elevation_mismatch;name_compatibility_warning;gpx_distant_support,
102,安神山,assigned,manual_review_required,34.2432829,133.0072567,156.04151443047127,gpx_summit_candidate,summit-candidate:a92a94d8b5e0fb90,yamap_2022-06-20_12_02.gpx,903.5,,111,0.6715,true,csv_elevation_mismatch;missing_expected_municipality;gpx_distant_support,
108,西ノ冠岳,assigned,manual_review_required,33.7557226,133.066955,1682.5333333333335,gpx_summit_candidate,summit-candidate:bb644412fd9a132c,yamap_2022-05-15_06_10.gpx,932.4,,207.5,0.616,true,csv_elevation_mismatch;name_compatibility_warning;gpx_distant_support,
110,小富士,assigned,manual_review_required,33.8763934,132.685607,89.01666666666667,gpx_summit_candidate,summit-candidate:541ec86327b86307,yamap_2022-10-11_15_15.gpx,722.3,,193,0.576,true,csv_elevation_mismatch;missing_expected_municipality;name_compatibility_warning;gpx_distant_support,
178,土亀山,assigned,manual_review_required,33.9038632,132.7837316,253.17333333333332,gpx_summit_candidate,summit-candidate:1432f597b5dca157,yamap_2023-01-28_14_27.gpx,790.6,,-203.2,0.6025,true,csv_elevation_mismatch;name_compatibility_warning;gpx_distant_support,
186,垣生山,assigned,manual_review_required,33.8362547,132.7147629,110.77666666666669,gpx_summit_candidate,summit-candidate:45f49d8fd831427c,yamap_2023-01-06_11_33.gpx,797.9,,7.2,0.7705,true,gpx_distant_support,
214,左谷ノ森,assigned,manual_review_required,33.8192567,132.8731185,306.31,gpx_summit_candidate,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,512.5,,625.7,0.5525,true,csv_elevation_mismatch;municipality_adjacent_warning;name_compatibility_warning;gpx_distant_support,
217,皿ヶ嶺,assigned,manual_review_required,33.7157017,132.8951897,1277.043085490437,gpx_summit_candidate,summit-candidate:7a1f0e8b5f9e5cc2,yamap_2022-04-15_11_52.gpx,770.8,,1,0.7205,true,municipality_adjacent_warning;gpx_distant_support,
239,東赤石山,assigned,manual_review_required,33.8754953,133.3399899,1621.9866666666667,gpx_summit_candidate,summit-candidate:5104c47f17101d63,yamap_2022-10-08_06_12.gpx,671.1,,88,0.7455,true,gpx_distant_support,
248,瀬戸黒森,assigned,manual_review_required,33.0409924,132.624637,864.3133333333334,gpx_summit_candidate,summit-candidate:f7593239fa7bdcc9,yamap_2023-11-19_06_46.gpx,698.2,,111.7,0.726,true,csv_elevation_mismatch;gpx_distant_support,
258,御串山,assigned,manual_review_required,34.2470088,132.9890515,62.803333333333335,gpx_summit_candidate,summit-candidate:02d59cd1260af017,yamap_2024-01-27_10_11.gpx,798.3,,3.2,0.716,true,missing_expected_municipality;gpx_distant_support,
267,東高月山,assigned,manual_review_required,33.1727703,132.6401559,1160.4399999999998,gpx_summit_candidate,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,650.2,,20.6,0.597,true,municipality_adjacent_warning;name_compatibility_warning;gpx_distant_support,
268,高月山,assigned,manual_review_required,33.1727703,132.6401559,1160.4399999999998,gpx_summit_candidate,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,586.4,,68.6,0.5955,true,municipality_adjacent_warning;name_compatibility_warning;gpx_distant_support,
284,斎藤山,assigned,manual_review_required,33.5090382,132.5604,335.74500437341317,gpx_summit_candidate,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,841.8,,123.3,0.6125,true,csv_elevation_mismatch;name_compatibility_warning;gpx_distant_support,
289,目黒鳥屋,assigned,manual_review_required,33.1850023,132.6371878,1201.04,gpx_summit_candidate,summit-candidate:12c27f259b66de80,yamap_2024-03-30_07_11.gpx,895,,-44,0.6925,true,municipality_adjacent_warning;gpx_distant_support,
295,五代ヶ森,assigned,manual_review_required,33.728215,133.1156537,1375.6266666666668,gpx_summit_candidate,summit-candidate:b73a23fa4b3abc39,yamap_2023-09-06_13_30.gpx,742.5,,335.4,0.616,true,csv_elevation_mismatch;name_compatibility_warning;gpx_distant_support,
323,二の森,assigned,manual_review_required,33.8209712,133.1775059,1361.2233333333334,gpx_summit_candidate,summit-candidate:a61fd78e4e062683,yamap_2023-10-22_06_44.gpx,809.6,,-321.2,0.5525,true,csv_elevation_mismatch;municipality_adjacent_warning;name_compatibility_warning;gpx_distant_support,
376,高取山,assigned,manual_review_required,34.140513,133.0475658,211.73666666666668,gpx_summit_candidate,summit-candidate:b9ae103da9e3136b,yamap_2025-02-09_12_21.gpx,999.1,,40.3,0.6015,true,missing_expected_municipality;name_compatibility_warning;gpx_distant_support,
429,別子山,assigned,manual_review_required,33.8295378,133.3706113,1446.9966666666667,gpx_summit_candidate,summit-candidate:b2662116bd1858b6,yamap_2025-10-05_08_42.gpx,671.4,,-73,0.632,true,name_compatibility_warning;gpx_distant_support,
