mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
1,関ヶ森,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
2,観音山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
4,岩伽羅山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
5,衣掛山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
6,吉山(吉山城址),unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
7,尾ノ峰,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
8,新城山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
9,腰折山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
10,恵良山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
11,皿ヶ森,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
12,経座ヶ森,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
13,谷上山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
14,権現山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
15,白滝山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
16,障子山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
17,伽藍山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
18,塩ヶ森,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
19,番駄ヶ森,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
20,ケタ山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
21,大磨山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
22,鍵山（象ヶ森）,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
23,天神山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
24,御幸寺山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
25,愛宕山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
26,常光寺山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
27,杉立山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
28,岩柄山,unassigned,no_assignment,,,,,,,,,,0,true,no_usable_grounding,No usable Gemini coordinates and no strong fallback candidate available.
