mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
100,立石山,assigned,quick_review_recommended,34.280645,133.1726806,133.6903994266386,gpx_summit_candidate,summit-candidate:50aa5073a99759cf,yamap_2022-06-18_14_26.gpx,331.5,,5.3,0.748,true,missing_expected_municipality,
101,鷲ヶ頭山,assigned,quick_review_recommended,34.2396526,133.0209828,436.9143046126708,gpx_summit_candidate,summit-candidate:159deb385560c198,yamap_2022-06-20_12_02.gpx,363.8,,-0.9,0.7705,true,missing_expected_municipality,
181,星岡山,assigned,quick_review_recommended,33.8164872,132.787544,69.03333333333333,gpx_summit_candidate,summit-candidate:5c9365b2a5a9c97f,yamap_2022-12-31_15_00.gpx,465.2,,6,0.816,true,,
185,岩子山,assigned,quick_review_recommended,33.8362547,132.7147629,110.77666666666669,gpx_summit_candidate,summit-candidate:45f49d8fd831427c,yamap_2023-01-06_11_33.gpx,237,,0.2,0.8525,true,,
194,我合山（我合城址）,assigned,quick_review_recommended,33.3556223,132.5138567,349.4466666666667,gpx_summit_candidate,summit-candidate:8a7a47d167c1aba6,yamap_2023-01-08_14_24.gpx,441.6,,0.6,0.7615,true,,
199,遠見山,assigned,quick_review_recommended,33.3437391,132.0161535,50.463046185756546,gpx_summit_candidate,summit-candidate:40d5b4863907057a,yamap_2022-02-09_10_01.gpx,248.8,,79.5,0.723,true,name_compatibility_warning,
202,鳥越山,assigned,quick_review_recommended,33.9108676,132.6865172,111.76333333333332,gpx_summit_candidate,summit-candidate:c7de309bf838af87,yamap_2022-10-14_13_42.gpx,399.9,,-11.8,0.6925,true,name_compatibility_warning,
210,福見山,assigned,quick_review_recommended,33.8192567,132.8731185,306.31,gpx_summit_candidate,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,203.6,,744.7,0.666,true,csv_elevation_mismatch;municipality_adjacent_warning;name_compatibility_warning,
223,物住頭,assigned,quick_review_recommended,33.8537021,133.3199199,1457.99,gpx_summit_candidate,summit-candidate:53d0e375c60814f6,yamap_2022-11-26_04_41.gpx,238,,177,0.726,true,csv_elevation_mismatch;name_compatibility_warning,
233,天狗岳,assigned,quick_review_recommended,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,379.5,,462.1,0.6705,true,csv_elevation_mismatch;name_compatibility_warning,
234,石鎚山,assigned,quick_review_recommended,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,129.4,,452.1,0.7705,true,csv_elevation_mismatch;name_compatibility_warning,
266,郭公岳,assigned,quick_review_recommended,33.1812975,132.6194355,1167.5519282683324,gpx_summit_candidate,summit-candidate:27c1036d4aa2230e,yamap_2022-04-08_09_33.gpx,259.5,,-157.6,0.726,true,csv_elevation_mismatch;name_compatibility_warning,
279,城山,assigned,quick_review_recommended,33.844404,132.7665578,129.4799661552467,gpx_summit_candidate,summit-candidate:91cacd7deced8470,yamap_2022-06-04_14_13.gpx,347.8,,114.5,0.6805,true,csv_elevation_mismatch;name_compatibility_warning,
287,小屋ヶ森,assigned,quick_review_recommended,33.1812975,132.6194355,1167.5519282683324,gpx_summit_candidate,summit-candidate:27c1036d4aa2230e,yamap_2022-04-08_09_33.gpx,435.5,,16.4,0.747,true,municipality_adjacent_warning,
290,長尾森,assigned,quick_review_recommended,33.1848651,132.6159575,1162.2731411431716,gpx_summit_candidate,summit-candidate:91ebf1d99654d5b2,yamap_2022-04-08_09_33.gpx,437.2,,17.7,0.647,true,municipality_adjacent_warning;name_compatibility_warning,
341,秋葉山,assigned,quick_review_recommended,33.654334,132.6895797,694.3566666666667,gpx_summit_candidate,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,236.3,,-63.4,0.723,true,name_compatibility_warning,
343,明神山,assigned,quick_review_recommended,33.654334,132.6895797,694.3566666666667,gpx_summit_candidate,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,406.8,,-60.4,0.6775,true,name_compatibility_warning,
350,行道山,assigned,quick_review_recommended,33.7579255,132.7571571,401.8633333333333,gpx_summit_candidate,summit-candidate:cfd366be872f9534,yamap_2024-12-22_06_34.gpx,458.4,,-30.9,0.8105,true,,
375,大頭山,assigned,quick_review_recommended,34.1283255,133.047895,268.5833333333333,gpx_summit_candidate,summit-candidate:d456af62868c5044,yamap_2025-03-10_08_18.gpx,137.5,,-4.6,0.7615,true,missing_expected_municipality;name_compatibility_warning,
392,高山,assigned,quick_review_recommended,33.9769486,132.6147118,105.34333333333332,gpx_summit_candidate,summit-candidate:c9aa57cdeb1b49fa,yamap_2025-03-20_08_27.gpx,186.5,,43.7,0.797,true,missing_expected_municipality,
415,貝渚山,assigned,quick_review_recommended,33.4728129,132.9862432,1452.0633333333335,gpx_summit_candidate,summit-candidate:00dfcd8bd36a1f00,yamap_2025-08-15_11_47.gpx,394.1,,-30.1,0.6925,true,name_compatibility_warning,
435,東ノ冠岳,assigned,quick_review_recommended,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,468.7,,400.1,0.6615,true,csv_elevation_mismatch;name_compatibility_warning,
