mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
1,関ヶ森,summit-candidate:a0c35720552a78c8,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,573.7066666666666,592,18.29,0.7365,1,1,0.102,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"杉立町, 松山市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=関ヶ森(#1); candidate=summit-candidate:a0c35720552a78c8; ref_score=0.7365; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
2,観音山,summit-candidate:cb62a56e70cedbce,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,495.64000000000004,518,22.36,0.7365,1,1,0.102,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"平井町, 松山市, 愛媛県, 791-0243, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=観音山(#2); candidate=summit-candidate:cb62a56e70cedbce; ref_score=0.7365; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
3,高森山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,724,4.75,0.7875,1,1,0.153,true,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"樋口, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=高森山(#3); candidate=summit-candidate:e7ae682a07af2e10; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
4,岩伽羅山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,696,23.25,0.7365,1,2,0.102,false,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"樋口, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=岩伽羅山(#4); candidate=summit-candidate:e7ae682a07af2e10; ref_score=0.7365; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
5,衣掛山,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,463,156.69,0.6345,1,4,0,false,false,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"志津川南一丁目, 志津川, 東温市, 愛媛県, 791-0204, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=衣掛山(#5); candidate=summit-candidate:d03c84134ca0989d; ref_score=0.6345; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
6,吉山(吉山城址),summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,262,44.31,0.6855,1,1,0.051,true,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"志津川南一丁目, 志津川, 東温市, 愛媛県, 791-0204, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=吉山(吉山城址)(#6); candidate=summit-candidate:d03c84134ca0989d; ref_score=0.6855; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
7,尾ノ峰,summit-candidate:36e3ac8003e8b5d0,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,190.94333333333336,193,2.06,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"大浦, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=尾ノ峰(#7); candidate=summit-candidate:36e3ac8003e8b5d0; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
8,新城山,summit-candidate:ac7a1ebef52ea30c,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,156.4466666666667,161,4.55,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2499, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=新城山(#8); candidate=summit-candidate:ac7a1ebef52ea30c; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
9,腰折山,summit-candidate:d6b806525709cc22,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,206.86333333333332,213,6.14,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=腰折山(#9); candidate=summit-candidate:d6b806525709cc22; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
10,恵良山,summit-candidate:40260be41579ab8f,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,299.12666666666667,302,2.87,0.7875,1,1,0.153,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"浅海原, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=恵良山(#10); candidate=summit-candidate:40260be41579ab8f; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
11,皿ヶ森,summit-candidate:59c561a08189d6b9,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,630.2399999999999,633,2.76,0.7875,1,1,0.153,true,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"松瀬川, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=皿ヶ森(#11); candidate=summit-candidate:59c561a08189d6b9; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
