source_gpx_basename,track_name,mountain_count_in_group,summit_candidate_count_in_group,top1_link_count,conflict_count,mountain_names,summit_candidate_ids,suggested_review_order,notes
yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),54,2,4,62,高森山|岩伽羅山|衣掛山|吉山(吉山城址)|恵良山|経座ヶ森|重茂山|水梨山|芝ヶ峠|小富士|三山|古法皇山|冨士山|遠ヶ森|大森山|石神山|宝ヶ峯|生子山|歯朶谷山|高森|羽子山|大黒山|宝股山|鳥屋ヶ森|天ガ森|白山|御勧請山|名石山|スクモ塚|長者森|滝山|亀老山|高穴山|無宗天山|姫政山|高森山|泰ノ山|大里山|五十崎神南山|笠成山|根太山|雨森山|黒岩岳|遠見山|高森山|飯之山|大森山|高森山|笠松山東峰|四本松|峰畑山|水無権現|秋葉山|黒山,summit-candidate:e7ae682a07af2e10|summit-candidate:d03c84134ca0989d,1,mountains=54; candidates=2; conflicts=62
yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,45,2,4,61,尾ノ峰|新城山|腰折山|天神山|御幸寺山|西山|岩子山|経ヶ森|護摩ヶ森|菊ヶ森|道後山|大久保山|八里ヶ峠|明神山|潮見山|鉢巻山|立石山|大峰ヶ台|松軒山|久司山|石灰山|高文殊山|鏡山|雌甲山|愛ノ山|扇山|塔ノ峰|海山|岩子山|護摩ヶ森（護摩ヶ森城址）|金比羅山|古城山|開山|宅並山|西山|本尊山|金子山|八堂山|八幡山|霊仙山|高山|千秋寺山|峠ヶ森|軽ノ山|野津子山,summit-candidate:23c112538ef91e0d|summit-candidate:bdfa250c89c1ca90,2,mountains=45; candidates=2; conflicts=61
yamap_2022-10-28_06_21.gpx,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,73,6,7,60,三本杭|大月山|東三方ヶ森|うなめご|前々司山|豊受山|赤星山|割石東山|青滝山|姫草|牛城|篠山|北三方ヶ森|戸祇御前山|中三方ヶ森|楢原山|割石峠山|石墨山|法師山|白猪山|梅ヶ谷山|樽谷山|根無山|綱繰山|福見山|明神ヶ森|左谷ノ森|皿ヶ嶺|下兜山|餓鬼ヶ森|前善神山|三光ノ辻山|瀬戸黒森|高月山|櫨ヶ森|毛山|西雑誌山|気多山|桂ヶ森|猿越山|銅山峰|西山|二の森|カガマシ山|橡尾山|ハネズル山|壺神山|加塚山|丸石山|野地峰|貝渚山|五段城|三ッ森山|三つ足山|大森山|町木山|塩塚峰|尻割山|権現山|長山|高研山|大ノ森|雨乞山|妙見森|笹峠山|雨霧山|面木山|小森|辻ヶ峰|常住|兵庫山|生之越|玉取山,summit-candidate:16e9de2bedeb2d1c|summit-candidate:5cb1fa3d9dcf60f5|summit-candidate:c2fc382b492cfde4|summit-candidate:25e47e34740282d2|summit-candidate:9f01494435790d72|summit-candidate:45f2c6fc88212acd,3,mountains=73; candidates=6; conflicts=60
yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,64,4,6,58,尾ノ峰|新城山|天神山|御幸寺山|愛宕山|西山|岩子山|経ヶ森|護摩ヶ森|日王山|花木山|菊ヶ森|大久保山|八里ヶ峠|中坂山|天神山|室岡山|潮見山|明神山|潮見山|大久保山|湯築山|松軒山|伊勢山|雌甲山|黒崎山|高戸山|泰の山|西港山|大丸山|愛ノ山|鹿島山|扇山|塔ノ峰|海山|唐子山|医王山|佐々久山|土亀山|天山|星岡山|岩子山|津田山|金比羅山|鳥越山|谷田山|佐古田山|古城山|御串山|開山|宅並山|城山|本尊山|垣生山|金子山|八堂山|要害山|霊仙山|高山|千秋寺山|峠ヶ森|軽ノ山|野津子山|権現山,summit-candidate:5aff666aa93b3a17|summit-candidate:5e94c87cc5fcc87b|summit-candidate:452c10a1db199870|summit-candidate:c2c9094225d1da63,4,mountains=64; candidates=4; conflicts=58
yamap_2023-01-21_12_43.gpx,石神山・金比羅山,76,2,6,50,腰折山|恵良山|権現山|天神山|経ヶ森|石槌山|重茂山|道後山|芝ヶ峠|潮見山|安神山|小富士|三山|石灰山|古法皇山|狩江権現山|高文殊山|鏡山|雄甲山|古権現山|愛ノ山|冨士山|権現山|扇山|近見山|権現山|由良山|大森山|見晴山|権現山|遠見山|石神山|金比羅山|古城山|宝ヶ峯|淡路ヶ峠|生子山|ベツソ山|歯朶谷山|総津権現山|大黒山|宝股山|鳥屋ヶ森|権現山|城山|名石山|子持権現山|宅並山|スクモ塚|長者森|西の山|北山|亀老山|カレイ山|高取山|八幡山|高穴山|高仙山|無宗天山|幻城下城|姫政山|館山|高森山|泰ノ山|大里山|大森山|根太山|峠ヶ森|雨森山|遠見山|飯之山|権現山|大森山|権現山|権現山|大森山,summit-candidate:c6ced2088a2376f5|summit-candidate:47129c06b82cf694,5,mountains=76; candidates=2; conflicts=50
yamap_2023-01-08_14_24.gpx,黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...,79,3,5,42,谷上山|権現山|伽藍山|勝岡山|護摩ヶ森|御岳山|倉谷山|甲が森|積善山|鷲ヶ頭山|横山(横山城址)|世田山|笠松山|大友山|三山|狩江権現山|古権現山|冨士山|権現山|権現山|黒瀬山（黒瀬城址）|岡山（岡城址）|鉢ヶ森（鉢ヶ森城址）|護摩ヶ森（護摩ヶ森城址）|我合山（我合城址）|見晴山|権現山|千羽ヶ岳|船野山|奥之城山|総津権現山|平岡山(平岡城址)|竜門山|大黒山|大空山|鳥屋ヶ森|熊ガ峰|権現山|天ガ森|夫婦山|白山|観音山|国見山|御勧請山|トギ|高手山|斎藤山|青刈山|二反山|薬師山|子持権現山|龍王山|岩が森|高萩山|行道山|水晶ヶ森|尉之山|小山岳|勝山|松葉山（松葉城址）|御篠山|天が森|念仏山|大登山|竜王山|大峰|堂堂山|紅葉山|梁瀬山|高雄山|槇ノ山|遠見山|飯之山|権現山|愛宕山|笠松山東峰|権現山|権現山|鼻欠山,summit-candidate:a660f8ef78c69ab0|summit-candidate:8a7a47d167c1aba6|summit-candidate:a5f51c62e44d0847,6,mountains=79; candidates=3; conflicts=42
yamap_2022-12-25_10_09.gpx,高山,42,1,3,42,新城山|愛宕山|常光寺山|高山|日王山|菊ヶ森|潮見山|明神山|勝山|鉢巻山|立石山|子持山|大峰ヶ台|久司山|高戸山|犬吠山|泰の山|鹿島山|高山|塔ノ峰|海山|近見山|唐子山|医王山|永納山(永納山城址)|佐々久山|岩子山|垣生山|津田山|弁天山|遠見山|えんとつ山|開山|金子山|要害山|霊仙山|若いもん山|高山|千秋寺山|野津子山|権現山|高山寺山,summit-candidate:101c1b0635c0bec0,7,mountains=42; candidates=1; conflicts=42
yamap_2026-02-14_13_33.gpx,権現山,41,1,3,41,権現山|積善山|世田山|笠松山|狩江権現山|古権現山|権現山|権現山|黒瀬山（黒瀬城址）|岡山（岡城址）|護摩ヶ森（護摩ヶ森城址）|我合山（我合城址）|権現山|総津権現山|大空山|熊ガ峰|権現山|天ガ森|夫婦山|観音山|国見山|高手山|青刈山|子持権現山|高萩山|行道山|尉之山|勝山|御篠山|念仏山|大登山|大峰|紅葉山|梁瀬山|高雄山|大畑山|飯之山|権現山|愛宕山|権現山|権現山,summit-candidate:6756239601754708,8,mountains=41; candidates=1; conflicts=41
yamap_2026-04-12_11_03.gpx,権現山,40,1,2,40,権現山|愛宕山|常光寺山|日王山|中坂山|潮見山|勝山|子持山|狩江権現山|高戸山|犬吠山|泰の山|古権現山|大丸山|権現山|鹿島山|唐子山|医王山|永納山(永納山城址)|星岡山|岩子山|垣生山|津田山|弁天山|権現山|権現山|遠見山|鳥越山|谷田山|佐古田山|えんとつ山|総津権現山|権現山|子持権現山|垣生山|要害山|若いもん山|権現山|権現山|権現山,summit-candidate:2011a6c909945d6f,9,mountains=40; candidates=1; conflicts=40
yamap_2022-06-18_14_26.gpx,立石山,38,1,2,38,新城山|愛宕山|常光寺山|日王山|菊ヶ森|潮見山|明神山|勝山|積善山|鉢巻山|立石山|子持山|大峰ヶ台|久司山|高戸山|犬吠山|泰の山|鹿島山|高山|塔ノ峰|海山|唐子山|永納山(永納山城址)|岩子山|垣生山|津田山|弁天山|遠見山|えんとつ山|開山|金子山|要害山|霊仙山|若いもん山|高山|千秋寺山|野津子山|権現山,summit-candidate:50aa5073a99759cf,10,mountains=38; candidates=1; conflicts=38
yamap_2024-10-14_04_48.gpx,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,82,6,6,37,三本杭|引地山|東三方ヶ森|雨包山|伊之子山|陣ヶ森|寒川山|豊受山|鋸山|平石山|割石東山|牛城|笹ヶ峰|中三方ヶ森|古権現山|楢原山|割石峠山|白猪山|梅ヶ谷山|根無山|河原樋山|福見山|明神ヶ森|魚谷森|下兜山|善神山|前善神山|五葉が森|高森|四辻ノ森|三光ノ辻山|三森|秦皇山|大黒山|譲ヶ葉森|郭公岳|高月山|毛山|音無山|御祝山|横ノ森|西雑誌山|気多山|桂ヶ森|打越山|高縄山|銅山峰|二の森|一の森|三ッ足山|カガマシ山|橡尾山|笹ヶ峰|足山|北ヶ森|コクゾ峰|小屋山|丸石山|黒岩山|谷崎山|正木ノ森|黒川山|天満山|霧立山|地蔵山|高森山|剣ノ山|塩塚峰|呉石山|大ノ森|雨乞山|妙見森|雨霧山|面木山|星ヶ森|草屋敷|大熊山|笠松山|蒲山|熊鷹山|櫛ヶ峰|玉取山,summit-candidate:a1b1b7885eeab893|summit-candidate:851dc9683d2d7442|summit-candidate:a53ed6259e132097|summit-candidate:8078eb6cc96c519a|summit-candidate:fecfbf815fc6d5a7|summit-candidate:0886436b79473a6c,11,mountains=82; candidates=6; conflicts=37
