mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
1,"関ヶ森",summit-candidate:a0c35720552a78c8,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.8560644,132.8432176,573.7,18.3,strong,medium,"関ヶ森・観音山・倉谷山・芝ヶ峠"
2,"観音山",summit-candidate:cb62a56e70cedbce,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.8382073,132.8403915,495.6,22.4,strong,medium,"関ヶ森・観音山・倉谷山・芝ヶ峠"
3,"高森山",summit-candidate:e7ae682a07af2e10,1,grounding_supported,0,single_cluster_consensus,0.98,location_uncertain_keep,0.75,33.8423734,132.8811963,719.3,4.8,strong,low,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)"
4,"岩伽羅山",summit-candidate:e7ae682a07af2e10,0.69,grounding_neutral,,no_evidence,,location_uncertain_keep,0.69,33.8423734,132.8811963,719.3,23.3,strong,high,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)"
5,"衣掛山",summit-candidate:d03c84134ca0989d,0.67,grounding_neutral,,no_evidence,,location_strong_match,0.67,33.8192567,132.8731185,306.3,156.7,strong,high,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)"
6,"吉山(吉山城址)",summit-candidate:d03c84134ca0989d,0.73,grounding_neutral,,no_evidence,,location_strong_match,0.73,33.8192567,132.8731185,306.3,44.3,strong,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)"
7,"尾ノ峰",summit-candidate:36e3ac8003e8b5d0,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.9989521,132.785492,190.9,2.1,strong,medium,"尾ノ峰・新城山・腰折山・恵良山"
8,"新城山",summit-candidate:ac7a1ebef52ea30c,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.9926561,132.7813592,156.4,4.6,strong,medium,"尾ノ峰・新城山・腰折山・恵良山"
9,"腰折山",summit-candidate:d6b806525709cc22,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.9932805,132.7899177,206.9,6.1,strong,medium,"尾ノ峰・新城山・腰折山・恵良山"
10,"恵良山",summit-candidate:40260be41579ab8f,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.9922702,132.7992645,299.1,2.9,strong,medium,"尾ノ峰・新城山・腰折山・恵良山"
11,"皿ヶ森",summit-candidate:59c561a08189d6b9,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8233656,132.9413939,630.2,2.8,strong,medium,"皿ヶ森・経座ヶ森・ヨソ山"
12,"経座ヶ森",summit-candidate:59c561a08189d6b9,0.67,grounding_neutral,,no_evidence,,location_strong_match,0.67,33.8233656,132.9413939,630.2,104.8,strong,high,"皿ヶ森・経座ヶ森・ヨソ山"
13,"谷上山",summit-candidate:0eff3d1ea2b48d73,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.7351844,132.7317786,456.9,1.9,strong,medium,"谷上山・権現山・白滝山・障子山"
