mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
1,関ヶ森,summit-candidate:edac81b361bdc70c,yamap_2024-12-01_06_40.gpx,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,591.7966666666667,592,0.2,0.33,9,16,0.05,false,false,low,high,high,resolve_conflict,location_uncertain_keep,松山市,,non_adjacent_municipality,四国中央市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=関ヶ森(#1); candidate=summit-candidate:edac81b361bdc70c; track=""唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山""; score=0.33; name_tier=none; ele_diff=0.2m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:a637fbc518f58ac5,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,600.8033333333334,592,8.8,0.28,10,6,0,false,false,low,low,high,check_location_warning,adjacent_but_deep_inside,松山市,,adjacent_municipality,東温市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,adjacent_but_deep_inside,adjacent_but_deep_inside,"mountain=関ヶ森(#1); candidate=summit-candidate:a637fbc518f58ac5; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.33; name_tier=none; ele_diff=8.8m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:c1f175d0616be696,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,589.8691282114027,592,2.13,0.28,11,6,0.01,false,false,low,low,high,check_location_warning,adjacent_but_deep_inside,松山市,,adjacent_municipality,砥部町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,adjacent_but_deep_inside,adjacent_but_deep_inside,"mountain=関ヶ森(#1); candidate=summit-candidate:c1f175d0616be696; track=""城山・水梨山・向山""; score=0.33; name_tier=none; ele_diff=2.13m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:13aa9354da4eb6d6,yamap_2025-03-30_12_56.gpx,京の森・大迫山,572.4394591518229,592,19.56,0.27,12,14,0,false,false,none,high,high,resolve_conflict,location_uncertain_keep,松山市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=関ヶ森(#1); candidate=summit-candidate:13aa9354da4eb6d6; track=""京の森・大迫山""; score=0.27; name_tier=none; ele_diff=19.56m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:5f3f2f47d84464c4,yamap_2025-03-30_09_12.gpx,一ヶ森,605.2468947172716,592,13.25,0.27,14,19,0.05,false,false,none,high,high,resolve_conflict,location_uncertain_keep,松山市,,non_adjacent_municipality,西予市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=関ヶ森(#1); candidate=summit-candidate:5f3f2f47d84464c4; track=""一ヶ森""; score=0.27; name_tier=none; ele_diff=13.25m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:192b785fe79890e5,yamap_2025-10-26_11_45.gpx,堂所山,592.0266666666666,592,0.03,0.13,16,11,0,false,false,low,deprioritized,high,check_location_warning,municipality_incompatible_strong,松山市,,non_adjacent_municipality,西予市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,municipality_incompatible_strong,"mountain=関ヶ森(#1); candidate=summit-candidate:192b785fe79890e5; track=""堂所山""; score=0.33; name_tier=none; ele_diff=0.03m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:d71483d289d0c575,yamap_2025-01-24_13_34.gpx,御篠山・松葉山（松葉城址）・烏殿,583.88,592,8.12,0.13,17,16,0,false,false,low,deprioritized,high,check_location_warning,municipality_incompatible_strong,松山市,,non_adjacent_municipality,西予市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,municipality_incompatible_strong,"mountain=関ヶ森(#1); candidate=summit-candidate:d71483d289d0c575; track=""御篠山・松葉山（松葉城址）・烏殿""; score=0.33; name_tier=none; ele_diff=8.12m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:f028aab45221cee6,yamap_2025-12-20_07_28.gpx,池ノ城山,599.1233333333333,592,7.12,0.13,18,12,0.06,false,false,low,deprioritized,high,resolve_conflict,municipality_incompatible_strong,松山市,,non_adjacent_municipality,内子町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,shared_candidate,"mountain=関ヶ森(#1); candidate=summit-candidate:f028aab45221cee6; track=""池ノ城山""; score=0.33; name_tier=none; ele_diff=7.12m; loc=mismatch_warning; act_conf=high"
1,関ヶ森,summit-candidate:339138a4e53293da,yamap_2023-03-29_05_31.gpx,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,571.1733333333333,592,20.83,0.07,19,18,0,false,false,none,deprioritized,high,resolve_conflict,municipality_incompatible_strong,松山市,,non_adjacent_municipality,新居浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,shared_candidate,"mountain=関ヶ森(#1); candidate=summit-candidate:339138a4e53293da; track=""えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山""; score=0.27; name_tier=none; ele_diff=20.83m; loc=mismatch_warning; act_conf=high"
2,観音山,summit-candidate:13b7a4bb8154974a,yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,336.02549564153543,518,181.97,0.67,3,5,0,false,false,medium,high,high,resolve_conflict,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=観音山(#2); candidate=summit-candidate:13b7a4bb8154974a; track=""夫婦山・白山・観音山・国見山・城山・御勧請山""; score=0.57; name_tier=strong; ele_diff=181.97m; loc=strong_overlap; act_conf=high"
