mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
1,関ヶ森,summit-candidate:a0c35720552a78c8,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,573.7066666666666,592,18.29,0.79,1,1,0.12,true,true,medium,medium,medium,accept_candidate_after_map_check,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|priority_reduced_strong_match_mutual_top1,clear_mutual_top1,"mountain=関ヶ森(#1); candidate=summit-candidate:a0c35720552a78c8; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=18.29m; loc=strong_overlap; act_conf=high"
1,関ヶ森,summit-candidate:c284068144ec2cfd,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,278.01,592,313.99,0.67,2,2,0,false,true,medium,medium,low,low_priority,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,"mountain=関ヶ森(#1); candidate=summit-candidate:c284068144ec2cfd; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.57; name_tier=strong; ele_diff=313.99m; loc=strong_overlap; act_conf=high"
1,関ヶ森,summit-candidate:cb62a56e70cedbce,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,495.64000000000004,592,96.36,0.67,3,2,0,false,true,medium,medium,low,low_priority,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,"mountain=関ヶ森(#1); candidate=summit-candidate:cb62a56e70cedbce; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.57; name_tier=strong; ele_diff=96.36m; loc=strong_overlap; act_conf=high"
2,観音山,summit-candidate:cb62a56e70cedbce,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,495.64000000000004,518,22.36,0.79,1,1,0.12,true,true,medium,medium,medium,accept_candidate_after_map_check,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|priority_reduced_strong_match_mutual_top1,clear_mutual_top1,"mountain=観音山(#2); candidate=summit-candidate:cb62a56e70cedbce; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=22.36m; loc=strong_overlap; act_conf=high"
2,観音山,summit-candidate:0022a746b396d4c7,yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,264.2867991594412,518,253.71,0.67,2,2,0,false,true,medium,medium,low,low_priority,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,"mountain=観音山(#2); candidate=summit-candidate:0022a746b396d4c7; track=""夫婦山・白山・観音山・国見山・城山・御勧請山""; score=0.57; name_tier=strong; ele_diff=253.71m; loc=strong_overlap; act_conf=high"
2,観音山,summit-candidate:13b7a4bb8154974a,yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,336.02549564153543,518,181.97,0.67,3,5,0,false,false,medium,high,high,resolve_conflict,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=観音山(#2); candidate=summit-candidate:13b7a4bb8154974a; track=""夫婦山・白山・観音山・国見山・城山・御勧請山""; score=0.57; name_tier=strong; ele_diff=181.97m; loc=strong_overlap; act_conf=high"
3,高森山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,724,4.75,0.75,1,1,0.08,true,true,medium,high,high,resolve_conflict,location_uncertain_keep,東温市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=高森山(#3); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.75; name_tier=strong; ele_diff=4.75m; loc=strong_overlap; act_conf=high"
3,高森山,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,724,417.69,0.67,2,3,0.05,false,true,medium,high,high,resolve_conflict,location_strong_match,東温市,,same_municipality,東温市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=高森山(#3); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.57; name_tier=strong; ele_diff=417.69m; loc=strong_overlap; act_conf=high"
3,高森山,summit-candidate:b3cf76c035511afe,yamap_2026-02-22_06_23.gpx,大森山,737.4383606793477,724,13.44,0.62,3,2,0.12,false,true,medium,medium,low,low_priority,location_uncertain_keep,東温市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=高森山(#3); candidate=summit-candidate:b3cf76c035511afe; track=""大森山""; score=0.62; name_tier=strong; ele_diff=13.44m; loc=mismatch_warning; act_conf=high"
4,岩伽羅山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,696,23.25,0.69,1,2,0.02,false,true,medium,high,high,resolve_conflict,location_uncertain_keep,東温市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=岩伽羅山(#4); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.69; name_tier=strong; ele_diff=23.25m; loc=strong_overlap; act_conf=high"
