summit_candidate_id,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,top1_mountain_count,top3_mountain_count,top1_mountain_nos,top1_mountain_names,top3_mountain_nos,top3_mountain_names,max_score,score_spread,suggested_review_bucket,notes
summit-candidate:edac81b361bdc70c,yamap_2024-12-01_06_40.gpx,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,34.0123819,133.6793921,591.7966666666667,7,10,331|332|333|334|335|337|339,五郎丸|高丸|金見山|木峰|天狗森|龍王山|城山,331|332|333|334|335|336|337|338|339|507,五郎丸|高丸|金見山|木峰|天狗森|唐谷山|龍王山|大谷山|城山|牛ヶ首,0.78,0.51,resolve_conflict,top1_count=7; top3_count=10; max_score=0.78
summit-candidate:101c1b0635c0bec0,yamap_2022-12-25_10_09.gpx,高山,34.1144302,132.9156361,131.66666666666666,6,12,170|171|172|176|392|505,高山|塔ノ峰|海山|永納山(永納山城址)|高山|高山寺山,112|170|171|172|173|174|175|176|177|382|392|505,子持山|高山|塔ノ峰|海山|近見山|唐子山|医王山|永納山(永納山城址)|佐々久山|若いもん山|高山|高山寺山,0.85,0.58,resolve_conflict,top1_count=6; top3_count=12; max_score=0.85
summit-candidate:2f7dbee4c5bde53e,yamap_2022-05-07_07_14.gpx,寒川山・鋸山・七々木山・豊受山・赤星山,33.9280045,133.4790952,1251.9766666666667,6,7,83|84|86|87|88|89,寒川山|豊受山|七々木山|鋸山|翠波峰|平石山,83|84|85|86|87|88|89,寒川山|豊受山|赤星山|七々木山|鋸山|翠波峰|平石山,0.85,0.78,resolve_conflict,top1_count=6; top3_count=7; max_score=0.85
summit-candidate:339138a4e53293da,yamap_2023-03-29_05_31.gpx,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,33.9047167,133.3174422,571.1733333333333,6,7,218|219|220|221|224|507,えんとつ山|生子山|犬返|種子川山|上兜山|牛ヶ首,218|219|220|221|224|225|507,えんとつ山|生子山|犬返|種子川山|上兜山|下兜山|牛ヶ首,0.85,0.78,resolve_conflict,top1_count=6; top3_count=7; max_score=0.85
summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,33.1727703,132.6401559,1160.4399999999998,5,6,285|287|288|289|290,御祝山|小屋ヶ森|串ヶ森|目黒鳥屋|長尾森,285|286|287|288|289|290,御祝山|横ノ森|小屋ヶ森|串ヶ森|目黒鳥屋|長尾森,0.85,0.58,resolve_conflict,top1_count=5; top3_count=6; max_score=0.85
summit-candidate:452c10a1db199870,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,33.8773459,132.7614769,76.83333333333333,4,8,51|52|53|118,中坂山|天神山|室岡山|湯築山,49|50|51|52|53|54|118|181,大久保山|八里ヶ峠|中坂山|天神山|室岡山|潮見山|湯築山|星岡山,0.79,0.72,resolve_conflict,top1_count=4; top3_count=8; max_score=0.79
summit-candidate:47129c06b82cf694,yamap_2023-01-21_12_43.gpx,石神山・金比羅山,33.4533154,132.27344,295.1133333333334,4,7,196|197|199|200,大森山|見晴山|遠見山|石神山,196|197|198|199|200|201|372,大森山|見晴山|権現山|遠見山|石神山|金比羅山|亀老山,0.85,0.58,resolve_conflict,top1_count=4; top3_count=7; max_score=0.85
summit-candidate:0bd3d051cdb972fd,yamap_2024-12-08_06_59.gpx,本尊山・秋葉山・立烏帽子山・明神山,33.6988091,132.6831717,632.3133333333334,4,5,340|341|343|511,本尊山|秋葉山|明神山|秋葉山,340|341|342|343|511,本尊山|秋葉山|立烏帽子山|明神山|秋葉山,0.85,0.78,resolve_conflict,top1_count=4; top3_count=5; max_score=0.85
summit-candidate:5c9365b2a5a9c97f,yamap_2022-12-31_15_00.gpx,星岡山,33.8164872,132.787544,69.03333333333333,4,5,137|178|179|181,東山|土亀山|天山|星岡山,118|137|178|179|181,湯築山|東山|土亀山|天山|星岡山,0.85,0.78,resolve_conflict,top1_count=4; top3_count=5; max_score=0.85
summit-candidate:565ba3761956d9b3,yamap_2025-10-11_06_24.gpx,大森山・佐々連尾山・三つ足山,33.8789795,133.544002,1426.5633333333335,4,4,432|433|434|501,三つ足山|大森山|佐々連尾山|大森山,432|433|434|501,三つ足山|大森山|佐々連尾山|大森山,0.85,0.58,resolve_conflict,top1_count=4; top3_count=4; max_score=0.85
summit-candidate:45f49d8fd831427c,yamap_2023-01-06_11_33.gpx,岩子山・垣生山・津田山・弁天山,33.8362547,132.7147629,110.77666666666669,3,9,185|186|187,岩子山|垣生山|津田山,25|32|37|163|179|185|186|187|188,愛宕山|岩子山|日王山|鹿島山|天山|岩子山|垣生山|津田山|弁天山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=9; max_score=0.85
