mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,candidate_center_municipality,mountain_source_municipality,candidate_municipality_stability,location_stability_bucket,municipality_relation,center_distance_to_boundary_m,all_cardinal_1km_same,distance_stable_interior,location_stability_review_priority,review_reason_codes,notes
1,"関ヶ森",20,summit-candidate:a0c35720552a78c8,0.7900,medium,"関ヶ森・観音山・倉谷山・芝ヶ峠","yamap_2022-01-15_08_17.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3133.928,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=関ヶ森(#1); candidate=summit-candidate:a0c35720552a78c8; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=18.29m; loc=strong_overlap; act_conf=high"
2,"観音山",25,summit-candidate:cb62a56e70cedbce,0.7900,medium,"関ヶ森・観音山・倉谷山・芝ヶ峠","yamap_2022-01-15_08_17.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3045.958,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=観音山(#2); candidate=summit-candidate:cb62a56e70cedbce; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=22.36m; loc=strong_overlap; act_conf=high"
3,"高森山",25,summit-candidate:e7ae682a07af2e10,0.7500,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","","東温市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,14.039,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=高森山(#3); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.75; name_tier=strong; ele_diff=4.75m; loc=strong_overlap; act_conf=high"
4,"岩伽羅山",13,summit-candidate:e7ae682a07af2e10,0.6900,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","","東温市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,14.039,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=岩伽羅山(#4); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.69; name_tier=strong; ele_diff=23.25m; loc=strong_overlap; act_conf=high"
5,"衣掛山",16,summit-candidate:d03c84134ca0989d,0.6700,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,303.237,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=衣掛山(#5); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.57; name_tier=strong; ele_diff=156.69m; loc=strong_overlap; act_conf=high"
6,"吉山(吉山城址)",32,summit-candidate:d03c84134ca0989d,0.7300,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,303.237,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=吉山(吉山城址)(#6); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.63; name_tier=strong; ele_diff=44.31m; loc=strong_overlap; act_conf=high"
7,"尾ノ峰",22,summit-candidate:36e3ac8003e8b5d0,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",stable_cardinal_1km_same,location_strong_match,same_municipality,826.361,true,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=尾ノ峰(#7); candidate=summit-candidate:36e3ac8003e8b5d0; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=2.06m; loc=strong_overlap; act_conf=high"
8,"新城山",22,summit-candidate:ac7a1ebef52ea30c,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,630.975,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=新城山(#8); candidate=summit-candidate:ac7a1ebef52ea30c; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=4.55m; loc=strong_overlap; act_conf=high"
9,"腰折山",24,summit-candidate:d6b806525709cc22,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,1418.668,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=腰折山(#9); candidate=summit-candidate:d6b806525709cc22; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=6.14m; loc=strong_overlap; act_conf=high"
10,"恵良山",28,summit-candidate:40260be41579ab8f,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,1910.308,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=恵良山(#10); candidate=summit-candidate:40260be41579ab8f; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=2.87m; loc=strong_overlap; act_conf=high"
