mountain_no,mountain_name,suggested_summit_candidate_id,suggested_candidate_score,suggested_candidate_confidence,suggested_location_stability_bucket,suggested_municipality_relation,suggested_candidate_municipality,source_mountain_municipality,accepted_summit_candidate_id,decision_status,decision_reason,reviewer_notes,needs_followup,map_checked,packet_path,top3_candidate_ids,conflict_group_ids,created_from_stage
1,関ヶ森,summit-candidate:a0c35720552a78c8,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0122_yamap_2022-01-15_08_17.md,summit-candidate:a0c35720552a78c8|summit-candidate:c284068144ec2cfd|summit-candidate:cb62a56e70cedbce,gpx_group_0122|summit_candidate_0291|summit_candidate_0446|summit_candidate_0235|mountain_001,location_stability_review_packets
2,観音山,summit-candidate:cb62a56e70cedbce,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,八幡浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0122_yamap_2022-01-15_08_17.md,summit-candidate:cb62a56e70cedbce|summit-candidate:0022a746b396d4c7|summit-candidate:13b7a4bb8154974a,gpx_group_0122|summit_candidate_0235|summit_candidate_0375|summit_candidate_0063|mountain_002,location_stability_review_packets
3,高森山,summit-candidate:e7ae682a07af2e10,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:e7ae682a07af2e10|summit-candidate:d03c84134ca0989d|summit-candidate:b3cf76c035511afe,gpx_group_0002|summit_candidate_0043|summit_candidate_0038|summit_candidate_0297|mountain_003,location_stability_review_packets
4,岩伽羅山,summit-candidate:e7ae682a07af2e10,0.69,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:e7ae682a07af2e10|summit-candidate:d03c84134ca0989d|summit-candidate:a94564816fd4afff,gpx_group_0002|summit_candidate_0043|summit_candidate_0038|summit_candidate_0225|mountain_004,location_stability_review_packets
5,衣掛山,summit-candidate:d03c84134ca0989d,0.67,medium,boundary_plausible,adjacent_municipality,東温市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:d03c84134ca0989d|summit-candidate:e7ae682a07af2e10|summit-candidate:7880c9d0de83468b,gpx_group_0002|summit_candidate_0038|summit_candidate_0043|summit_candidate_0170|mountain_005,location_stability_review_packets
6,吉山(吉山城址),summit-candidate:d03c84134ca0989d,0.73,medium,boundary_plausible,adjacent_municipality,東温市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:d03c84134ca0989d|summit-candidate:e7ae682a07af2e10|summit-candidate:d456af62868c5044,gpx_group_0002|summit_candidate_0038|summit_candidate_0043|summit_candidate_0239|mountain_006,location_stability_review_packets
7,尾ノ峰,summit-candidate:36e3ac8003e8b5d0,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:36e3ac8003e8b5d0|summit-candidate:d6b806525709cc22|summit-candidate:ac7a1ebef52ea30c,gpx_group_0014|summit_candidate_0124|summit_candidate_0241|summit_candidate_0176|mountain_007,location_stability_review_packets
8,新城山,summit-candidate:ac7a1ebef52ea30c,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:ac7a1ebef52ea30c|summit-candidate:36e3ac8003e8b5d0|summit-candidate:d6b806525709cc22,gpx_group_0014|summit_candidate_0176|summit_candidate_0124|summit_candidate_0241|mountain_008,location_stability_review_packets
9,腰折山,summit-candidate:d6b806525709cc22,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:d6b806525709cc22|summit-candidate:36e3ac8003e8b5d0|summit-candidate:40260be41579ab8f,gpx_group_0014|summit_candidate_0241|summit_candidate_0124|summit_candidate_0050|mountain_009,location_stability_review_packets
10,恵良山,summit-candidate:40260be41579ab8f,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,松山市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:40260be41579ab8f|summit-candidate:36e3ac8003e8b5d0|summit-candidate:ac7a1ebef52ea30c,gpx_group_0014|summit_candidate_0050|summit_candidate_0124|summit_candidate_0176|mountain_010,location_stability_review_packets
11,皿ヶ森,summit-candidate:59c561a08189d6b9,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0060_yamap_2022-01-29_08_35.md,summit-candidate:59c561a08189d6b9|summit-candidate:7c532ef1be71a4d1|summit-candidate:8e8035372e25eb9d,gpx_group_0060|summit_candidate_0085|summit_candidate_0410|summit_candidate_0438|mountain_011,location_stability_review_packets
12,経座ヶ森,summit-candidate:59c561a08189d6b9,0.67,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0060_yamap_2022-01-29_08_35.md,summit-candidate:59c561a08189d6b9|summit-candidate:7c532ef1be71a4d1|summit-candidate:e7ae682a07af2e10,gpx_group_0060|summit_candidate_0085|summit_candidate_0410|summit_candidate_0043|mountain_012,location_stability_review_packets
