mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,top_candidate_ele_m,mountain_elevation_m,top_elevation_diff_m,csv_coordinate_distance_m,location_summary,activity_link_summary,needs_human_review,review_reason_codes,notes
1,関ヶ森,20,summit-candidate:a0c35720552a78c8,0.69,medium,関ヶ森・観音山・倉谷山・芝ヶ峠,yamap_2022-01-15_08_17.gpx,573.71,592,18.29,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=関ヶ森(#1); candidate=summit-candidate:a0c35720552a78c8; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=18.29m; loc=strong_overlap; act_conf=high"
2,観音山,25,summit-candidate:cb62a56e70cedbce,0.69,medium,関ヶ森・観音山・倉谷山・芝ヶ峠,yamap_2022-01-15_08_17.gpx,495.64,518,22.36,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=観音山(#2); candidate=summit-candidate:cb62a56e70cedbce; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=22.36m; loc=strong_overlap; act_conf=high"
3,高森山,25,summit-candidate:e7ae682a07af2e10,0.75,medium,高森山・岩伽羅山・衣掛山・吉山(吉山城址),yamap_2022-01-22_09_04.gpx,719.25,724,4.75,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=高森山(#3); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.75; name_tier=strong; ele_diff=4.75m; loc=strong_overlap; act_conf=high"
4,岩伽羅山,13,summit-candidate:e7ae682a07af2e10,0.69,medium,高森山・岩伽羅山・衣掛山・吉山(吉山城址),yamap_2022-01-22_09_04.gpx,719.25,696,23.25,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=岩伽羅山(#4); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.69; name_tier=strong; ele_diff=23.25m; loc=strong_overlap; act_conf=high"
5,衣掛山,16,summit-candidate:d03c84134ca0989d,0.57,medium,高森山・岩伽羅山・衣掛山・吉山(吉山城址),yamap_2022-01-22_09_04.gpx,306.31,463,156.69,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,"mountain=衣掛山(#5); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.57; name_tier=strong; ele_diff=156.69m; loc=strong_overlap; act_conf=high"
6,吉山(吉山城址),32,summit-candidate:d03c84134ca0989d,0.63,medium,高森山・岩伽羅山・衣掛山・吉山(吉山城址),yamap_2022-01-22_09_04.gpx,306.31,262,44.31,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=吉山(吉山城址)(#6); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.63; name_tier=strong; ele_diff=44.31m; loc=strong_overlap; act_conf=high"
7,尾ノ峰,22,summit-candidate:36e3ac8003e8b5d0,0.75,medium,尾ノ峰・新城山・腰折山・恵良山,yamap_2022-01-28_12_28.gpx,190.94,193,2.06,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=尾ノ峰(#7); candidate=summit-candidate:36e3ac8003e8b5d0; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=2.06m; loc=strong_overlap; act_conf=high"
8,新城山,22,summit-candidate:ac7a1ebef52ea30c,0.75,medium,尾ノ峰・新城山・腰折山・恵良山,yamap_2022-01-28_12_28.gpx,156.45,161,4.55,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=新城山(#8); candidate=summit-candidate:ac7a1ebef52ea30c; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=4.55m; loc=strong_overlap; act_conf=high"
9,腰折山,24,summit-candidate:d6b806525709cc22,0.75,medium,尾ノ峰・新城山・腰折山・恵良山,yamap_2022-01-28_12_28.gpx,206.86,213,6.14,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=腰折山(#9); candidate=summit-candidate:d6b806525709cc22; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=6.14m; loc=strong_overlap; act_conf=high"
10,恵良山,28,summit-candidate:40260be41579ab8f,0.75,medium,尾ノ峰・新城山・腰折山・恵良山,yamap_2022-01-28_12_28.gpx,299.13,302,2.87,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=恵良山(#10); candidate=summit-candidate:40260be41579ab8f; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=2.87m; loc=strong_overlap; act_conf=high"
