mountain_no,mountain_name,grounding_assisted_generation_status,grounding_match_status,summit_candidate_id,grounding_assisted_candidate_score,candidate_lat,candidate_lon,track_name
116,北三方ヶ森,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:80368eea9aabeb96,0.5,33.9503258,132.8887705,北三方ヶ森
117,大友山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:2b56d4ad77a0c4b7,0.63,33.7484344,132.8072111,大友山
119,寒風山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:23eea13de5db5c9f,0.56,33.8116552,133.2616339,寒風山・笹ヶ峰・ちち山
120,ちち山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:453327d51d16e202,0.63,33.8318164,133.2841218,丸山・ちち山・笹ヶ峰
121,笹ヶ峰,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:453327d51d16e202,0.63,33.8318164,133.2841218,丸山・ちち山・笹ヶ峰
122,松軒山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:51a919059b1a6dbb,0.28,33.0306132,132.399974,由良山
123,三山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:35b464661fa62df9,0.56,34.2803533,133.2279632,三山
126,石灰山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:4d0f5f75da9165b8,0.38,34.2665635,133.2120741,石灰山・古法皇山
128,狩江権現山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:32bb5e7e1071e808,0.37,32.9252175,132.4855806,権現山
129,極山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:ef5127a689eaf48a,0.63,33.3425963,132.4607227,極山
132,鏡山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:588c967023117267,0.5,34.2634531,132.9718171,鏡山
134,雄甲山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:82d3009a6c1b2511,0.57,33.9465786,132.799306,雄甲山・雌甲山
135,雌甲山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:82d3009a6c1b2511,0.57,33.9465786,132.799306,雄甲山・雌甲山
136,泉ガ森,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:ff0e7de3b62f5ed8,0.56,33.2597751,132.6071981,泉ガ森
137,東山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:124ae25a51aa9a64,0.38,33.7589522,133.0444754,割石東山・青滝山・堂ヶ森
140,高戸山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:aadeb26cf0359691,0.56,33.9054103,132.6682142,高戸山
141,犬吠山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:cc3fbb2358d0d4fc,0.56,33.9183794,132.6903824,犬吠山
142,泰の山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:c7de309bf838af87,0.56,33.9108676,132.6865172,泰の山
147,大丸山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:a9a2a270fb6273fe,0.57,33.8724674,132.7108146,西港山・大丸山・港山
148,港山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:5f001ac124f82ef6,0.63,33.8685926,132.7153244,西港山・大丸山・港山
149,すくも山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:40d5b4863907057a,0.21,33.3437391,132.0161535,佐田岬と伽藍山
150,愛ノ山,grounding_coordinate_conflict,grounding_unavailable,summit-candidate:f676e5a22f523492,0.57,33.8924606,133.0391092,愛ノ山
