mountain_no,mountain_name,summit_candidate_id,grounding_assisted_candidate_score,grounding_match_status,grounding_distance_m,grounding_elevation_diff_m,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,candidate_rank_for_mountain,track_name,grounding_reason_codes
1,関ヶ森,summit-candidate:a0c35720552a78c8,0.57,grounding_unavailable,,,33.8560644,132.8432176,573.7066666666666,592,1,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:c284068144ec2cfd,0.45,grounding_unavailable,,,33.8245858,132.8164365,278.01,592,2,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:cb62a56e70cedbce,0.45,grounding_unavailable,,,33.8382073,132.8403915,495.64000000000004,592,3,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:feca346909b97b92,0.45,grounding_unavailable,,,33.8376784,132.825374,402.01,592,4,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:6d533e458b56f1d6,0.28,grounding_unavailable,,,33.7246538,132.8569052,583.6133333333333,592,5,真城ヶ台,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:192b785fe79890e5,0.21,grounding_unavailable,,,33.3653822,132.4528183,592.0266666666666,592,6,堂所山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:9cc74b44e1289236,0.21,grounding_unavailable,,,34.0275511,133.6441984,589.3233333333334,592,7,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:a637fbc518f58ac5,0.21,grounding_unavailable,,,33.7736953,132.9019215,600.8033333333334,592,8,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:b6f296c230c1891d,0.21,grounding_unavailable,,,33.8761667,132.9651395,598.0666666666667,592,9,東三方ヶ森,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:c1f175d0616be696,0.21,grounding_unavailable,,,33.6968367,132.7954997,589.8691282114027,592,10,城山・水梨山・向山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:c8607e1f03bb5db1,0.21,grounding_unavailable,,,34.0272665,133.6616846,585.22,592,11,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:d71483d289d0c575,0.21,grounding_unavailable,,,33.384401,132.5180668,583.88,592,12,御篠山・松葉山（松葉城址）・烏殿,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:edac81b361bdc70c,0.21,grounding_unavailable,,,34.0123819,133.6793921,591.7966666666667,592,13,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:f028aab45221cee6,0.21,grounding_unavailable,,,33.6093279,132.8006087,599.1233333333333,592,14,池ノ城山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:13aa9354da4eb6d6,0.15,grounding_unavailable,,,33.5055365,132.6868759,572.4394591518229,592,15,京の森・大迫山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:1fd59e0e67624706,0.15,grounding_unavailable,,,33.6266981,132.6808191,620.0533333333333,592,16,陣が森岳,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:2670057d58a25475,0.15,grounding_unavailable,,,33.9725881,132.924821,616.4333333333334,592,17,丸山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:339138a4e53293da,0.15,grounding_unavailable,,,33.9047167,133.3174422,571.1733333333333,592,18,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:5f3f2f47d84464c4,0.15,grounding_unavailable,,,33.4530897,132.7168465,605.2468947172716,592,19,一ヶ森,grounding_response_without_coordinate
1,関ヶ森,summit-candidate:ab39145b6a448b8d,0.15,grounding_unavailable,,,33.9386003,133.5857961,617.3566666666667,592,20,白木山,grounding_response_without_coordinate
2,観音山,summit-candidate:cb62a56e70cedbce,0.57,grounding_unavailable,,,33.8382073,132.8403915,495.64000000000004,518,1,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
2,観音山,summit-candidate:0022a746b396d4c7,0.45,grounding_unavailable,,,33.8836999,132.7830348,264.2867991594412,518,2,夫婦山・白山・観音山・国見山・城山・御勧請山,grounding_response_without_coordinate
2,観音山,summit-candidate:13b7a4bb8154974a,0.45,grounding_unavailable,,,33.8682654,132.7980997,336.02549564153543,518,3,夫婦山・白山・観音山・国見山・城山・御勧請山,grounding_response_without_coordinate
2,観音山,summit-candidate:2ab43729f5e80cbe,0.45,grounding_unavailable,,,33.9003229,132.8034521,376.3033333333333,518,4,夫婦山・白山・観音山・国見山・城山・御勧請山,grounding_response_without_coordinate
