mountain_no,mountain_name,classification,summit_candidate_id,grounding_assisted_candidate_score,grounding_distance_m,grounding_match_status,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,track_name,grounding_reason_codes
1,関ヶ森,grounding_response_without_coordinate,summit-candidate:a0c35720552a78c8,0.57,,grounding_unavailable,33.8560644,132.8432176,573.7066666666666,592,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
2,観音山,grounding_response_without_coordinate,summit-candidate:cb62a56e70cedbce,0.57,,grounding_unavailable,33.8382073,132.8403915,495.64000000000004,518,関ヶ森・観音山・倉谷山・芝ヶ峠,grounding_response_without_coordinate
4,岩伽羅山,grounding_response_without_coordinate,summit-candidate:e7ae682a07af2e10,0.57,,grounding_unavailable,33.8423734,132.8811963,719.2533333333334,696,高森山・岩伽羅山・衣掛山・吉山(吉山城址),grounding_response_without_coordinate
5,衣掛山,grounding_response_without_coordinate,summit-candidate:d03c84134ca0989d,0.45,,grounding_unavailable,33.8192567,132.8731185,306.31,463,高森山・岩伽羅山・衣掛山・吉山(吉山城址),grounding_response_without_coordinate
6,吉山(吉山城址),grounding_response_without_coordinate,summit-candidate:d03c84134ca0989d,0.51,,grounding_unavailable,33.8192567,132.8731185,306.31,262,高森山・岩伽羅山・衣掛山・吉山(吉山城址),grounding_response_without_coordinate
7,尾ノ峰,grounding_response_without_coordinate,summit-candidate:36e3ac8003e8b5d0,0.63,,grounding_unavailable,33.9989521,132.785492,190.94333333333336,193,尾ノ峰・新城山・腰折山・恵良山,grounding_response_without_coordinate
8,新城山,grounding_response_without_coordinate,summit-candidate:ac7a1ebef52ea30c,0.63,,grounding_unavailable,33.9926561,132.7813592,156.4466666666667,161,尾ノ峰・新城山・腰折山・恵良山,grounding_response_without_coordinate
9,腰折山,grounding_response_without_coordinate,summit-candidate:d6b806525709cc22,0.63,,grounding_unavailable,33.9932805,132.7899177,206.86333333333332,213,尾ノ峰・新城山・腰折山・恵良山,grounding_response_without_coordinate
10,恵良山,grounding_response_without_coordinate,summit-candidate:40260be41579ab8f,0.63,,grounding_unavailable,33.9922702,132.7992645,299.12666666666667,302,尾ノ峰・新城山・腰折山・恵良山,grounding_response_without_coordinate
11,皿ヶ森,grounding_response_without_coordinate,summit-candidate:59c561a08189d6b9,0.63,,grounding_unavailable,33.8233656,132.9413939,630.2399999999999,633,皿ヶ森・経座ヶ森・ヨソ山,grounding_response_without_coordinate
12,経座ヶ森,grounding_response_without_coordinate,summit-candidate:59c561a08189d6b9,0.45,,grounding_unavailable,33.8233656,132.9413939,630.2399999999999,735,皿ヶ森・経座ヶ森・ヨソ山,grounding_response_without_coordinate
13,谷上山,grounding_response_without_coordinate,summit-candidate:0eff3d1ea2b48d73,0.63,,grounding_unavailable,33.7351844,132.7317786,456.90483803547824,455,谷上山・権現山・白滝山・障子山,grounding_response_without_coordinate
14,権現山,grounding_response_without_coordinate,summit-candidate:2c817617699a0a45,0.63,,grounding_unavailable,33.7235493,132.7563447,485.20803085647475,479,谷上山・権現山・白滝山・障子山,grounding_response_without_coordinate
15,白滝山,grounding_response_without_coordinate,summit-candidate:ea5f711625df386b,0.63,,grounding_unavailable,33.7190577,132.7591133,510.2597700981308,504,谷上山・権現山・白滝山・障子山,grounding_response_without_coordinate
16,障子山,grounding_response_without_coordinate,summit-candidate:a0ef25e9a532b62e,0.56,,grounding_unavailable,33.7052794,132.7652806,888.5027304594954,885,谷上山・権現山・白滝山・障子山,grounding_response_without_coordinate
17,伽藍山,grounding_response_without_coordinate,summit-candidate:da46e12c02d47edf,0.63,,grounding_unavailable,33.401877,132.1168226,413.7400702411658,414,佐田岬と伽藍山,grounding_response_without_coordinate
18,塩ヶ森,grounding_response_without_coordinate,summit-candidate:0c210f0edfbda06f,0.63,,grounding_unavailable,33.7794142,132.9091359,522.6766666666666,526,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,grounding_response_without_coordinate
19,番駄ヶ森,grounding_response_without_coordinate,summit-candidate:a637fbc518f58ac5,0.63,,grounding_unavailable,33.7736953,132.9019215,600.8033333333334,605,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,grounding_response_without_coordinate
20,ケタ山,grounding_response_without_coordinate,summit-candidate:24dc6cf37ce4e715,0.57,,grounding_unavailable,33.7661685,132.9049612,646.4833333333332,659,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,grounding_response_without_coordinate
21,大磨山,grounding_response_without_coordinate,summit-candidate:24dc6cf37ce4e715,0.63,,grounding_unavailable,33.7661685,132.9049612,646.4833333333332,648,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,grounding_response_without_coordinate
22,鍵山（象ヶ森）,grounding_response_without_coordinate,summit-candidate:c2491268ea5645b7,0.63,,grounding_unavailable,33.7502454,132.9097454,801.5633333333334,804,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,grounding_response_without_coordinate
23,天神山,grounding_response_without_coordinate,summit-candidate:543b4550a3ef3e87,0.63,,grounding_unavailable,33.8634835,132.7695824,195.11333333333334,200,天神山・御幸寺山,grounding_response_without_coordinate
24,御幸寺山,grounding_response_without_coordinate,summit-candidate:e4808690532bb46c,0.63,,grounding_unavailable,33.85598,132.7730493,158.70333333333335,165,天神山・御幸寺山,grounding_response_without_coordinate
25,愛宕山,grounding_response_without_coordinate,summit-candidate:d9391b001d4bc442,0.63,,grounding_unavailable,33.8494454,132.7983769,120.82333333333334,115,愛宕山・常光寺山,grounding_response_without_coordinate
26,常光寺山,grounding_response_without_coordinate,summit-candidate:d9391b001d4bc442,0.63,,grounding_unavailable,33.8494454,132.7983769,120.82333333333334,124,愛宕山・常光寺山,grounding_response_without_coordinate
27,杉立山,grounding_response_without_coordinate,summit-candidate:17c3649ad9b147ce,0.21,,grounding_unavailable,33.4376592,132.6335849,665.1833333333333,669,御在所山,grounding_response_without_coordinate
28,岩柄山,grounding_response_without_coordinate,summit-candidate:7d7066baad9d7077,0.28,,grounding_unavailable,33.8922068,132.8273765,505.77666666666664,507,奥之城山・ヌタノサコ,grounding_response_without_coordinate
29,高山,grounding_response_without_coordinate,summit-candidate:8ff6361109e5ed5c,0.45,,grounding_unavailable,33.9651048,132.6367544,121.16666666666667,463,高山・大里山・泰ノ山,grounding_response_without_coordinate
30,勝岡山,grounding_response_without_coordinate,summit-candidate:43911aa413390192,0.28,,grounding_unavailable,33.9200756,132.807533,449.0333333333333,453,横山(横山城址),grounding_response_without_coordinate
31,西山,grounding_response_without_coordinate,summit-candidate:bdfa250c89c1ca90,0.63,,grounding_unavailable,33.8865639,132.7116504,168.98333333333335,172,西山・経ヶ森・岩子山・護摩ヶ森,grounding_response_without_coordinate
32,岩子山,grounding_response_without_coordinate,summit-candidate:23c112538ef91e0d,0.57,,grounding_unavailable,33.8831745,132.7109537,195.95000000000002,181,西山・経ヶ森・岩子山・護摩ヶ森,grounding_response_without_coordinate
33,経ヶ森,grounding_response_without_coordinate,summit-candidate:23c112538ef91e0d,0.63,,grounding_unavailable,33.8831745,132.7109537,195.95000000000002,200,西山・経ヶ森・岩子山・護摩ヶ森,grounding_response_without_coordinate
34,護摩ヶ森,grounding_response_without_coordinate,summit-candidate:bdfa250c89c1ca90,0.63,,grounding_unavailable,33.8865639,132.7116504,168.98333333333335,170,西山・経ヶ森・岩子山・護摩ヶ森,grounding_response_without_coordinate
35,御岳山,grounding_response_without_coordinate,summit-candidate:54cf4155ab259d9d,0.63,,grounding_unavailable,33.7480679,132.8711955,430.59999999999997,438,御岳山,grounding_response_without_coordinate
36,石槌山,grounding_response_without_coordinate,summit-candidate:0cc40babcd0ce6bf,0.21,,grounding_unavailable,34.0273223,133.5919989,261.15000000000003,252,弥八山,grounding_response_without_coordinate
37,日王山,grounding_response_without_coordinate,summit-candidate:2011a6c909945d6f,0.28,,grounding_unavailable,33.8390197,132.7201785,102.87,109,権現山,grounding_response_without_coordinate
38,重茂山,grounding_response_without_coordinate,summit-candidate:468c5bbccd8aba53,0.28,,grounding_unavailable,34.212287,133.0867989,300.6033333333333,291,宝股山,grounding_response_without_coordinate
39,花木山,grounding_response_without_coordinate,summit-candidate:fbd725fc8006e2c8,0.63,,grounding_unavailable,34.0752611,132.9233053,50.49,53,花木山,grounding_response_without_coordinate
40,ヌタノサコ,grounding_response_without_coordinate,summit-candidate:7d7066baad9d7077,0.63,,grounding_unavailable,33.8922068,132.8273765,505.77666666666664,514,奥之城山・ヌタノサコ,grounding_response_without_coordinate
41,城山,grounding_response_without_coordinate,summit-candidate:c1f175d0616be696,0.63,,grounding_unavailable,33.6968367,132.7954997,589.8691282114027,592,城山・水梨山・向山,grounding_response_without_coordinate
42,水梨山,grounding_response_without_coordinate,summit-candidate:0a765b89058b256b,0.63,,grounding_unavailable,33.6808914,132.7938736,734.4240556679409,729,城山・水梨山・向山,grounding_response_without_coordinate
43,向山,grounding_response_without_coordinate,summit-candidate:07834c521328cc1d,0.57,,grounding_unavailable,33.6848511,132.7812374,707.7550916004999,683,城山・水梨山・向山,grounding_response_without_coordinate
44,稔山,grounding_response_without_coordinate,summit-candidate:622b899de76208ef,0.63,,grounding_unavailable,33.8609206,132.9700981,911.0766666666667,917,稔山,grounding_response_without_coordinate
45,菊ヶ森,grounding_response_without_coordinate,summit-candidate:ab8cf0f07d2a219d,0.63,,grounding_unavailable,33.859723,132.8152899,145.66,151,菊ヶ森,grounding_response_without_coordinate
