"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"49","大久保山","review_required_conflict","true","summit-candidate:5e94c87cc5fcc87b","0.504","summit-candidate:5aff666aa93b3a17","0","usable","true","false","20885.7","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5aff666aa93b3a17","false","9","0","0","stage21_stage23_top_candidate_disagreement",""
"50","八里ヶ峠","review_required_conflict","true","summit-candidate:5e94c87cc5fcc87b","0.504","summit-candidate:5aff666aa93b3a17","0","usable","true","false","16622.2","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5aff666aa93b3a17","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"58","ヨソ山","review_required_conflict","true","summit-candidate:7c532ef1be71a4d1","0.448","summit-candidate:555fd1e3be8780dd","0","usable","true","false","2775.7","grounding_contradicted_or_unrelated","","","","low","summit-candidate:555fd1e3be8780dd","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"82","陣ヶ森","review_required_conflict","true","summit-candidate:25e47e34740282d2","0.6","summit-candidate:e084389cc60ad329","0.15199999999999997","usable","true","false","218.7","weak_grounding_nearby","106.4","exact","exact","deprioritized","summit-candidate:e084389cc60ad329","false","4","0","1","stage21_stage23_top_candidate_disagreement",""
"83","寒川山","review_required_conflict","true","summit-candidate:eaabf45a5163fb65","0.36","summit-candidate:2f7dbee4c5bde53e","0","usable","true","false","4742.2","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:2f7dbee4c5bde53e","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"87","鋸山","review_required_conflict","true","summit-candidate:eaabf45a5163fb65","0.36","summit-candidate:2f7dbee4c5bde53e","0","usable","true","false","3161.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:2f7dbee4c5bde53e","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"88","翠波峰","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:2f7dbee4c5bde53e","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"89","平石山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:2f7dbee4c5bde53e","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"106","二ノ森","review_required_conflict","true","summit-candidate:bca203164e26ce6a","0.448","summit-candidate:fe43b0b6aa90cb8f","0","usable","true","false","4759","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:fe43b0b6aa90cb8f","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"116","北三方ヶ森","review_required_grounding_coordinate_conflict","true","summit-candidate:80368eea9aabeb96","0.5","summit-candidate:3111fcf6a23addd2","0.12","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:80368eea9aabeb96","true","15","0","0","coordinate_conflict",""
"117","大友山","review_required_grounding_coordinate_conflict","true","summit-candidate:2b56d4ad77a0c4b7","0.63","summit-candidate:9b4175d2d4104530","0.18","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:2b56d4ad77a0c4b7","true","31","0","0","coordinate_conflict",""
"118","湯築山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:452c10a1db199870","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"119","寒風山","review_required_grounding_coordinate_conflict","true","summit-candidate:23eea13de5db5c9f","0.56","summit-candidate:9a59c4b620ba3792","0.11000000000000004","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:23eea13de5db5c9f","true","7","0","0","coordinate_conflict",""
"120","ちち山","review_required_grounding_coordinate_conflict","true","summit-candidate:453327d51d16e202","0.63","summit-candidate:9a59c4b620ba3792","0","coordinate_conflict","true","true","","grounding_unavailable","","","","medium","summit-candidate:b87c90ebd1eb0d06","false","9","0","0","coordinate_conflict",""
"121","笹ヶ峰","review_required_grounding_coordinate_conflict","true","summit-candidate:453327d51d16e202","0.63","summit-candidate:9a59c4b620ba3792","0","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:b87c90ebd1eb0d06","false","15","0","0","coordinate_conflict",""
