"mountain_no","mountain_name","summit_candidate_id","candidate_rank","candidate_review_classification","grounding_assisted_candidate_score","grounding_match_status","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","source_gpx_basename","track_name","stage21_link_status","review_reason_codes","notes"
"1","関ヶ森","summit-candidate:a0c35720552a78c8","1","review_required_no_grounding","0.57","grounding_unavailable","","grounding_unavailable","","yamap_2022-01-15_08_17.gpx","関ヶ森・観音山・倉谷山・芝ヶ峠","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:a0c35720552a78c8; grounding_match=grounding_unavailable; score=0.57"
"1","関ヶ森","summit-candidate:c284068144ec2cfd","2","active_review_alternative","0.45","grounding_unavailable","","grounding_unavailable","","yamap_2022-01-15_08_17.gpx","関ヶ森・観音山・倉谷山・芝ヶ峠","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:c284068144ec2cfd; grounding_match=grounding_unavailable; score=0.45"
"1","関ヶ森","summit-candidate:cb62a56e70cedbce","3","active_review_alternative","0.45","grounding_unavailable","","grounding_unavailable","","yamap_2022-01-15_08_17.gpx","関ヶ森・観音山・倉谷山・芝ヶ峠","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:cb62a56e70cedbce; grounding_match=grounding_unavailable; score=0.45"
"1","関ヶ森","summit-candidate:feca346909b97b92","4","active_review_alternative","0.45","grounding_unavailable","","grounding_unavailable","","yamap_2022-01-15_08_17.gpx","関ヶ森・観音山・倉谷山・芝ヶ峠","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:feca346909b97b92; grounding_match=grounding_unavailable; score=0.45"
"1","関ヶ森","summit-candidate:6d533e458b56f1d6","5","active_review_alternative","0.28","grounding_unavailable","","grounding_unavailable","","yamap_2023-03-15_09_53.gpx","真城ヶ台","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:6d533e458b56f1d6; grounding_match=grounding_unavailable; score=0.28"
"1","関ヶ森","summit-candidate:192b785fe79890e5","6","active_review_alternative","0.21","grounding_unavailable","","grounding_unavailable","","yamap_2025-10-26_11_45.gpx","堂所山","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:192b785fe79890e5; grounding_match=grounding_unavailable; score=0.21"
"1","関ヶ森","summit-candidate:9cc74b44e1289236","7","active_review_alternative","0.21","grounding_unavailable","","grounding_unavailable","","yamap_2024-12-01_06_40.gpx","唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:9cc74b44e1289236; grounding_match=grounding_unavailable; score=0.21"
"1","関ヶ森","summit-candidate:a637fbc518f58ac5","8","active_review_alternative","0.21","grounding_unavailable","","grounding_unavailable","","yamap_2022-02-11_08_26.gpx","塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:a637fbc518f58ac5; grounding_match=grounding_unavailable; score=0.21"
"1","関ヶ森","summit-candidate:b6f296c230c1891d","9","active_review_alternative","0.21","grounding_unavailable","","grounding_unavailable","","yamap_2022-04-16_07_39.gpx","東三方ヶ森","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:b6f296c230c1891d; grounding_match=grounding_unavailable; score=0.21"
"1","関ヶ森","summit-candidate:c1f175d0616be696","10","active_review_alternative","0.21","grounding_unavailable","","grounding_unavailable","","yamap_2022-03-05_09_44.gpx","城山・水梨山・向山","not_in_stage21","grounding_response_without_coordinate","mountain=関ヶ森(#1); candidate=summit-candidate:c1f175d0616be696; grounding_match=grounding_unavailable; score=0.21"
