"mountain_no","mountain_name","summit_candidate_id","candidate_rank","candidate_review_classification","grounding_assisted_candidate_score","grounding_match_status","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","source_gpx_basename","track_name","stage21_link_status","review_reason_codes","notes"
"80","うなめご","summit-candidate:e7e4429a39f6359f","1","review_deferred_grounding_supported_top1","0.666","weak_grounding_nearby","101.7","weak_grounding_nearby","33.8","yamap_2022-05-05_13_29.gpx","陣ヶ森・前々司山・うなめご","not_in_stage21","","mountain=うなめご(#80); candidate=summit-candidate:e7e4429a39f6359f; grounding_match=weak_grounding_nearby; score=0.666"
"80","うなめご","summit-candidate:ea6bebee79234da7","2","deferred_alternative","0.448","grounding_contradicted_or_unrelated","636.3","grounding_contradicted_or_unrelated","","yamap_2022-05-05_13_29.gpx","陣ヶ森・前々司山・うなめご","not_in_stage21","grounding_far_from_candidate","mountain=うなめご(#80); candidate=summit-candidate:ea6bebee79234da7; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"80","うなめご","summit-candidate:e084389cc60ad329","3","deferred_alternative","0.304","grounding_contradicted_or_unrelated","1029.7","grounding_contradicted_or_unrelated","","yamap_2022-05-05_13_29.gpx","陣ヶ森・前々司山・うなめご","not_in_stage21","grounding_far_from_candidate","mountain=うなめご(#80); candidate=summit-candidate:e084389cc60ad329; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
"82","陣ヶ森","summit-candidate:25e47e34740282d2","1","review_deferred_grounding_supported_top1","0.6","weak_grounding_nearby","218.7","weak_grounding_nearby","106.4","yamap_2022-10-28_06_21.gpx","割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山","not_in_stage21","","mountain=陣ヶ森(#82); candidate=summit-candidate:25e47e34740282d2; grounding_match=weak_grounding_nearby; score=0.6"
"82","陣ヶ森","summit-candidate:e084389cc60ad329","2","deferred_alternative","0.448","grounding_contradicted_or_unrelated","3562.7","grounding_contradicted_or_unrelated","","yamap_2022-05-05_13_29.gpx","陣ヶ森・前々司山・うなめご","not_in_stage21","grounding_far_from_candidate","mountain=陣ヶ森(#82); candidate=summit-candidate:e084389cc60ad329; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"82","陣ヶ森","summit-candidate:e7e4429a39f6359f","3","deferred_alternative","0.408","grounding_contradicted_or_unrelated","2547.9","grounding_contradicted_or_unrelated","","yamap_2022-05-05_13_29.gpx","陣ヶ森・前々司山・うなめご","not_in_stage21","grounding_far_from_candidate","mountain=陣ヶ森(#82); candidate=summit-candidate:e7e4429a39f6359f; grounding_match=grounding_contradicted_or_unrelated; score=0.408"
"82","陣ヶ森","summit-candidate:ea6bebee79234da7","4","deferred_alternative","0.304","grounding_contradicted_or_unrelated","1921.5","grounding_contradicted_or_unrelated","","yamap_2022-05-05_13_29.gpx","陣ヶ森・前々司山・うなめご","not_in_stage21","grounding_far_from_candidate","mountain=陣ヶ森(#82); candidate=summit-candidate:ea6bebee79234da7; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
"185","岩子山","summit-candidate:45f49d8fd831427c","1","review_deferred_grounding_supported_top1","0.7","weak_grounding_nearby","237","weak_grounding_nearby","0.2","yamap_2023-01-06_11_33.gpx","岩子山・垣生山・津田山・弁天山","not_in_stage21","","mountain=岩子山(#185); candidate=summit-candidate:45f49d8fd831427c; grounding_match=weak_grounding_nearby; score=0.7"
"185","岩子山","summit-candidate:49cfd09def5fce03","2","deferred_alternative","0.504","grounding_contradicted_or_unrelated","1758.1","grounding_contradicted_or_unrelated","","yamap_2023-01-06_11_33.gpx","岩子山・垣生山・津田山・弁天山","not_in_stage21","grounding_far_from_candidate","mountain=岩子山(#185); candidate=summit-candidate:49cfd09def5fce03; grounding_match=grounding_contradicted_or_unrelated; score=0.504"
"185","岩子山","summit-candidate:8178723bbadb1c72","3","deferred_alternative","0.456","grounding_contradicted_or_unrelated","1126.7","grounding_contradicted_or_unrelated","","yamap_2023-01-06_11_33.gpx","岩子山・垣生山・津田山・弁天山","not_in_stage21","grounding_far_from_candidate","mountain=岩子山(#185); candidate=summit-candidate:8178723bbadb1c72; grounding_match=grounding_contradicted_or_unrelated; score=0.456"
"185","岩子山","summit-candidate:ea18d38abe59ed57","4","deferred_alternative","0.408","grounding_contradicted_or_unrelated","1828.3","grounding_contradicted_or_unrelated","","yamap_2023-01-06_11_33.gpx","岩子山・垣生山・津田山・弁天山","not_in_stage21","grounding_far_from_candidate","mountain=岩子山(#185); candidate=summit-candidate:ea18d38abe59ed57; grounding_match=grounding_contradicted_or_unrelated; score=0.408"
