"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"1","関ヶ森","review_required_no_grounding","true","summit-candidate:a0c35720552a78c8","0.57","summit-candidate:c284068144ec2cfd","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:a0c35720552a78c8","true","20","0","0","no_usable_coordinate",""
"2","観音山","review_required_no_grounding","true","summit-candidate:cb62a56e70cedbce","0.57","summit-candidate:0022a746b396d4c7","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:cb62a56e70cedbce","true","25","0","0","no_usable_coordinate",""
"4","岩伽羅山","review_required_no_grounding","true","summit-candidate:e7ae682a07af2e10","0.57","summit-candidate:d03c84134ca0989d","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:e7ae682a07af2e10","true","13","0","0","no_usable_coordinate",""
"5","衣掛山","review_required_no_grounding","true","summit-candidate:d03c84134ca0989d","0.45","summit-candidate:e7ae682a07af2e10","0","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:d03c84134ca0989d","true","16","0","0","no_usable_coordinate",""
"6","吉山(吉山城址)","review_required_no_grounding","true","summit-candidate:d03c84134ca0989d","0.51","summit-candidate:e7ae682a07af2e10","0.06","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:d03c84134ca0989d","true","32","0","0","no_usable_coordinate",""
"7","尾ノ峰","review_required_no_grounding","true","summit-candidate:36e3ac8003e8b5d0","0.63","summit-candidate:d6b806525709cc22","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:36e3ac8003e8b5d0","true","22","0","0","no_usable_coordinate",""
"8","新城山","review_required_no_grounding","true","summit-candidate:ac7a1ebef52ea30c","0.63","summit-candidate:36e3ac8003e8b5d0","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:ac7a1ebef52ea30c","true","18","0","0","no_usable_coordinate",""
"9","腰折山","review_required_no_grounding","true","summit-candidate:d6b806525709cc22","0.63","summit-candidate:36e3ac8003e8b5d0","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:d6b806525709cc22","true","24","0","0","no_usable_coordinate",""
"10","恵良山","review_required_no_grounding","true","summit-candidate:40260be41579ab8f","0.63","summit-candidate:36e3ac8003e8b5d0","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:40260be41579ab8f","true","28","0","0","no_usable_coordinate",""
"11","皿ヶ森","review_required_no_grounding","true","summit-candidate:59c561a08189d6b9","0.63","summit-candidate:7c532ef1be71a4d1","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:59c561a08189d6b9","true","21","0","0","no_usable_coordinate",""
"12","経座ヶ森","review_required_no_grounding","true","summit-candidate:59c561a08189d6b9","0.45","summit-candidate:7c532ef1be71a4d1","0","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:59c561a08189d6b9","true","14","0","0","no_usable_coordinate",""
