"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"80","うなめご","review_deferred_grounding_supported_top1","false","summit-candidate:e7e4429a39f6359f","0.666","summit-candidate:ea6bebee79234da7","0.21800000000000003","usable","true","false","101.7","weak_grounding_nearby","33.8","exact","exact","low","summit-candidate:e7e4429a39f6359f","true","3","0","1","",""
"82","陣ヶ森","review_deferred_grounding_supported_top1","false","summit-candidate:25e47e34740282d2","0.6","summit-candidate:e084389cc60ad329","0.15199999999999997","usable","true","false","218.7","weak_grounding_nearby","106.4","exact","exact","deprioritized","summit-candidate:e084389cc60ad329","false","4","0","1","",""
"185","岩子山","review_deferred_grounding_supported_top1","false","summit-candidate:45f49d8fd831427c","0.7","summit-candidate:49cfd09def5fce03","0.19599999999999995","usable","true","false","237","weak_grounding_nearby","0.2","exact","exact","low","summit-candidate:45f49d8fd831427c","true","6","0","1","",""
"199","遠見山","review_deferred_grounding_supported_top1","false","summit-candidate:40d5b4863907057a","0.6","summit-candidate:e55456349660bd14","0.296","usable","true","false","248.8","weak_grounding_nearby","79.5","exact","exact","deprioritized","summit-candidate:47129c06b82cf694","false","2","0","1","",""
"210","福見山","review_deferred_grounding_supported_top1","false","summit-candidate:d03c84134ca0989d","0.6","summit-candidate:446b5fe1e7a8b2fd","0.15199999999999997","usable","true","false","203.6","weak_grounding_nearby","744.7","exact","exact","deprioritized","summit-candidate:446b5fe1e7a8b2fd","false","10","0","1","",""
"223","物住頭","review_deferred_grounding_supported_top1","false","summit-candidate:53d0e375c60814f6","0.6","summit-candidate:a6379cb2ebc004fb","0.09599999999999997","usable","true","false","238","weak_grounding_nearby","177","exact","exact","deprioritized","summit-candidate:473a62086144ac33","false","9","0","1","",""
"234","石鎚山","review_deferred_grounding_supported_top1","false","summit-candidate:22e40e9eb117a033","0.6","summit-candidate:3b98b67bbe0fe0f9","0.15199999999999997","usable","true","false","129.4","weak_grounding_nearby","452.1","exact","exact","high","summit-candidate:19713e48698f3e2a","false","8","0","1","",""
"244","二ノ岳","review_deferred_stage21_supported_top_agrees","false","summit-candidate:b58470f57bb41331","0.448","summit-candidate:a61fd78e4e062683","0.14400000000000002","usable","true","false","26102.8","grounding_contradicted_or_unrelated","","","","low","summit-candidate:b58470f57bb41331","true","3","0","0","stage21_carry_forward",""
"341","秋葉山","review_deferred_grounding_supported_top1","false","summit-candidate:61304308f9a58d0d","0.6","summit-candidate:23316af255d30882","0.09599999999999997","usable","true","false","236.3","weak_grounding_nearby","63.4","exact","exact","deprioritized","summit-candidate:0bd3d051cdb972fd","false","4","0","1","",""
"375","大頭山","review_deferred_grounding_supported_top1","false","summit-candidate:d456af62868c5044","0.645","summit-candidate:afc2e407c1d6b464","0.197","usable","true","false","137.5","weak_grounding_nearby","4.6","exact","mismatch","deprioritized","summit-candidate:d456af62868c5044","true","2","0","1","",""
"392","高山","review_deferred_grounding_supported_top1","false","summit-candidate:c9aa57cdeb1b49fa","0.656","summit-candidate:8ff6361109e5ed5c","0.256","usable","true","false","186.5","weak_grounding_nearby","43.7","exact","mismatch","low","summit-candidate:c9aa57cdeb1b49fa","true","5","0","1","",""
