"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"88","翠波峰","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:2f7dbee4c5bde53e","false","1","0","0","stage21_supported_candidate_missing",""
"89","平石山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:2f7dbee4c5bde53e","false","1","0","0","stage21_supported_candidate_missing",""
"118","湯築山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:452c10a1db199870","false","1","0","0","stage21_supported_candidate_missing",""
"126","石灰山","review_required_stage21_supported_candidate_missing","true","summit-candidate:4d0f5f75da9165b8","0.38","summit-candidate:45439217573adfc4","0.17","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:35b464661fa62df9","false","25","0","0","stage21_supported_candidate_missing",""
"128","狩江権現山","review_required_stage21_supported_candidate_missing","true","summit-candidate:32bb5e7e1071e808","0.37","summit-candidate:84f974876f397da1","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:ef5127a689eaf48a","false","19","0","0","stage21_supported_candidate_missing",""
"137","東山","review_required_stage21_supported_candidate_missing","true","summit-candidate:124ae25a51aa9a64","0.38","summit-candidate:242762a3c600ff91","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:5c9365b2a5a9c97f","false","22","0","0","stage21_supported_candidate_missing",""
"149","すくも山","review_required_stage21_supported_candidate_missing","true","summit-candidate:40d5b4863907057a","0.21","summit-candidate:5f001ac124f82ef6","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:f676e5a22f523492","false","13","0","0","stage21_supported_candidate_missing",""
"171","塔ノ峰","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:101c1b0635c0bec0","false","1","0","0","stage21_supported_candidate_missing",""
"172","海山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:101c1b0635c0bec0","false","1","0","0","stage21_supported_candidate_missing",""
"176","永納山(永納山城址)","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:101c1b0635c0bec0","false","1","0","0","stage21_supported_candidate_missing",""
"177","佐々久山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:1ed32ce6414c2781","false","1","0","0","stage21_supported_candidate_missing",""
"178","土亀山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:5c9365b2a5a9c97f","false","1","0","0","stage21_supported_candidate_missing",""
"196","大森山","review_required_stage21_supported_candidate_missing","true","summit-candidate:830c63408bf56cc5","0.504","summit-candidate:b3cf76c035511afe","0.2","usable","true","false","15631.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:47129c06b82cf694","false","4","0","0","stage21_supported_candidate_missing",""
"197","見晴山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:47129c06b82cf694","false","1","0","0","stage21_supported_candidate_missing",""
"199","遠見山","review_required_stage21_supported_candidate_missing","true","summit-candidate:40d5b4863907057a","0.6","summit-candidate:e55456349660bd14","0.296","usable","true","false","248.8","weak_grounding_nearby","79.5","exact","exact","deprioritized","summit-candidate:47129c06b82cf694","false","2","0","1","stage21_supported_candidate_missing",""
"203","谷田山","review_required_stage21_supported_candidate_missing","true","summit-candidate:ab7edbc3a52d24bf","0.456","","","usable","true","false","5477.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5b7c833ac0535534","false","1","0","0","stage21_supported_candidate_missing",""
