"mountain_no","mountain_name","top_candidate","grounding_distance_m","score_gap"
"3","","summit-candidate:e7ae682a07af2e10","0","1"
"80","","summit-candidate:e7e4429a39f6359f","101.7","0.21800000000000003"
"82","","summit-candidate:25e47e34740282d2","218.7","0.15199999999999997"
"185","","summit-candidate:45f49d8fd831427c","237","0.19599999999999995"
"199","","summit-candidate:40d5b4863907057a","248.8","0.296"
"210","","summit-candidate:d03c84134ca0989d","203.6","0.15199999999999997"
"223","","summit-candidate:53d0e375c60814f6","238","0.09599999999999997"
"234","","summit-candidate:22e40e9eb117a033","129.4","0.15199999999999997"
"341","","summit-candidate:61304308f9a58d0d","236.3","0.09599999999999997"
"375","","summit-candidate:d456af62868c5044","137.5","0.197"
"392","","summit-candidate:c9aa57cdeb1b49fa","186.5","0.256"
