"mountain_no","mountain_name","stage21_supported","stage21_top_candidate","stage23_top_candidate","stage25_active","is_marker","diagnostic_category","stage21_rank_in_stage23"
"49","","true","summit-candidate:5aff666aa93b3a17","summit-candidate:5e94c87cc5fcc87b","false","false","stage21_supported_top_candidate_disagrees","2"
"50","","true","summit-candidate:5aff666aa93b3a17","summit-candidate:5e94c87cc5fcc87b","false","false","stage21_supported_top_candidate_disagrees","2"
"58","","true","summit-candidate:555fd1e3be8780dd","summit-candidate:7c532ef1be71a4d1","false","false","stage21_supported_top_candidate_disagrees","2"
"82","","true","summit-candidate:e084389cc60ad329","summit-candidate:25e47e34740282d2","false","false","stage21_supported_top_candidate_disagrees","2"
"83","","true","summit-candidate:2f7dbee4c5bde53e","summit-candidate:eaabf45a5163fb65","false","false","stage21_supported_top_candidate_disagrees","2"
"87","","true","summit-candidate:2f7dbee4c5bde53e","summit-candidate:eaabf45a5163fb65","false","false","stage21_supported_top_candidate_disagrees","2"
"106","","true","summit-candidate:fe43b0b6aa90cb8f","summit-candidate:bca203164e26ce6a","false","false","stage21_supported_top_candidate_disagrees","2"
"153","","true","summit-candidate:c2fc382b492cfde4","summit-candidate:9f01494435790d72","false","false","stage21_supported_top_candidate_disagrees","6"
"155","","true","summit-candidate:c2fc382b492cfde4","summit-candidate:5cb1fa3d9dcf60f5","false","false","stage21_supported_top_candidate_disagrees","5"
"180","","true","summit-candidate:5104c47f17101d63","summit-candidate:2b7cce23b57844a5","false","false","stage21_supported_top_candidate_disagrees","3"
"183","","true","summit-candidate:74dd1729abbd7bb5","summit-candidate:f2aae42aff3dea24","false","false","stage21_supported_top_candidate_disagrees","2"
"184","","true","summit-candidate:74dd1729abbd7bb5","summit-candidate:f2aae42aff3dea24","false","false","stage21_supported_top_candidate_disagrees","2"
"198","","true","summit-candidate:047b9599ec28c6ad","summit-candidate:c94d8d76133fda1a","false","false","stage21_supported_top_candidate_disagrees","2"
"202","","true","summit-candidate:5b7c833ac0535534","summit-candidate:c7de309bf838af87","false","false","stage21_supported_top_candidate_disagrees","2"
"208","","true","summit-candidate:b9e78d4a587ceaa0","summit-candidate:d43fade4de3e33c8","false","false","stage21_supported_top_candidate_disagrees","2"
"210","","true","summit-candidate:446b5fe1e7a8b2fd","summit-candidate:d03c84134ca0989d","false","false","stage21_supported_top_candidate_disagrees","2"
"222","","true","summit-candidate:473a62086144ac33","summit-candidate:5104c47f17101d63","false","false","stage21_supported_top_candidate_disagrees","2"
"223","","true","summit-candidate:473a62086144ac33","summit-candidate:53d0e375c60814f6","false","false","stage21_supported_top_candidate_disagrees","5"
"224","","true","summit-candidate:339138a4e53293da","summit-candidate:473a62086144ac33","false","false","stage21_supported_top_candidate_disagrees","2"
