"mountain_no","mountain_name","stage21_supported","stage21_top_candidate","stage23_top_candidate","stage25_active","is_marker","diagnostic_category"
"88","","true","summit-candidate:2f7dbee4c5bde53e","","false","false","stage21_supported_candidate_missing_from_stage23"
"89","","true","summit-candidate:2f7dbee4c5bde53e","","false","false","stage21_supported_candidate_missing_from_stage23"
"118","","true","summit-candidate:452c10a1db199870","","false","false","stage21_supported_candidate_missing_from_stage23"
"126","","true","summit-candidate:35b464661fa62df9","summit-candidate:4d0f5f75da9165b8","false","false","stage21_supported_candidate_missing_from_stage23"
"128","","true","summit-candidate:ef5127a689eaf48a","summit-candidate:32bb5e7e1071e808","false","false","stage21_supported_candidate_missing_from_stage23"
"137","","true","summit-candidate:5c9365b2a5a9c97f","summit-candidate:124ae25a51aa9a64","false","false","stage21_supported_candidate_missing_from_stage23"
"149","","true","summit-candidate:f676e5a22f523492","summit-candidate:40d5b4863907057a","false","false","stage21_supported_candidate_missing_from_stage23"
"171","","true","summit-candidate:101c1b0635c0bec0","","false","false","stage21_supported_candidate_missing_from_stage23"
"172","","true","summit-candidate:101c1b0635c0bec0","","false","false","stage21_supported_candidate_missing_from_stage23"
"176","","true","summit-candidate:101c1b0635c0bec0","","false","false","stage21_supported_candidate_missing_from_stage23"
"177","","true","summit-candidate:1ed32ce6414c2781","","false","false","stage21_supported_candidate_missing_from_stage23"
"178","","true","summit-candidate:5c9365b2a5a9c97f","","false","false","stage21_supported_candidate_missing_from_stage23"
"196","","true","summit-candidate:47129c06b82cf694","summit-candidate:830c63408bf56cc5","false","false","stage21_supported_candidate_missing_from_stage23"
"197","","true","summit-candidate:47129c06b82cf694","","false","false","stage21_supported_candidate_missing_from_stage23"
"199","","true","summit-candidate:47129c06b82cf694","summit-candidate:40d5b4863907057a","false","false","stage21_supported_candidate_missing_from_stage23"
"203","","true","summit-candidate:5b7c833ac0535534","summit-candidate:ab7edbc3a52d24bf","false","false","stage21_supported_candidate_missing_from_stage23"
"205","","true","summit-candidate:5b7c833ac0535534","summit-candidate:cf6802c2dafdbf46","false","false","stage21_supported_candidate_missing_from_stage23"
"253","","true","summit-candidate:1d97e1955af85092","","false","false","stage21_supported_candidate_missing_from_stage23"
"260","","true","summit-candidate:02d59cd1260af017","","false","false","stage21_supported_candidate_missing_from_stage23"
"282","","true","summit-candidate:3c28b6ebd5a97155","summit-candidate:b49681fa67b2b53e","false","false","stage21_supported_candidate_missing_from_stage23"
"304","","true","summit-candidate:588c967023117267","summit-candidate:94e96018c0a5450d","false","false","stage21_supported_candidate_missing_from_stage23"
"339","","true","summit-candidate:edac81b361bdc70c","summit-candidate:7d7066baad9d7077","false","false","stage21_supported_candidate_missing_from_stage23"
