mountain_no,mountain_name,category,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_match_status,top_candidate_generation_strategy,top_source_gpx_basename,top_track_name,top_candidate_lat,top_candidate_lon,top_candidate_ele_m,mountain_csv_lat,mountain_csv_lon,mountain_elevation_m,grounding_status,grounding_distance_m,grounding_municipality,candidate_municipality,municipality_compatibility,name_evidence_tier,elevation_diff_m,csv_coordinate_distance_m,activity_link_summary,needs_human_review,review_reason_codes,notes
27,杉立山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,669,,,,,,,,,,,,
28,岩柄山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,507,,,,,,,,,,,,
30,勝岡山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,453,,,,,,,,,,,,
36,石槌山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,252,,,,,,,,,,,,
37,日王山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,109,,,,,,,,,,,,
38,重茂山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,291,,,,,,,,,,,,
88,翠波峰,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,891,,,,,,,,,,,,
89,平石山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,826,,,,,,,,,,,,
111,龍石山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,32,,,,,,,,,,,,
118,湯築山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,71,,,,,,,,,,,,
122,松軒山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,190,,,,,,,,,,,,
128,狩江権現山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,464,,,,,,,,,,,,
149,すくも山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,41,,,,,,,,,,,,
171,塔ノ峰,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,150,,,,,,,,,,,,
172,海山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,155,,,,,,,,,,,,
176,永納山(永納山城址),no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,132,,,,,,,,,,,,
177,佐々久山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,56,,,,,,,,,,,,
178,土亀山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,50,,,,,,,,,,,,
194,我合山（我合城址）,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,350,,,,,,,,,,,,
197,見晴山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,395,,,,,,,,,,,,
253,秦皇山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,874,,,,,,,,,,,,
260,開山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,149,,,,,,,,,,,,
372,亀老山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,301,,,,,,,,,,,,
373,カレイ山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,232,,,,,,,,,,,,
382,若いもん山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,127,,,,,,,,,,,,
400,愛の森,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,466,,,,,,,,,,,,
403,船山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,910,,,,,,,,,,,,
424,千秋寺山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,157,,,,,,,,,,,,
435,東ノ冠岳,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,1920,,,,,,,,,,,,
439,天満山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,1360,,,,,,,,,,,,
464,飯之山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,320,,,,,,,,,,,,
471,花見山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,23,,,,,,,,,,,,
478,尻割山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,980,,,,,,,,,,,,
479,四本松,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,,,721,,,,,,,,,,,,
502,うつむき山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.568889,132.755111,535,,,,,,,,,,,,
503,妙見山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.559167,132.600056,535,,,,,,,,,,,,
504,鉢が森,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.399236,132.615513,552,,,,,,,,,,,,
505,高山寺山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.522925,132.510191,561,,,,,,,,,,,,
507,牛ヶ首,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.92209,133.35514,584,,,,,,,,,,,,
508,三石山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.568778,132.856417,616,,,,,,,,,,,,
509,感応寺山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.561222,132.579639,688,,,,,,,,,,,,
510,水無権現,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.612515,132.72112,703,,,,,,,,,,,,
514,棟山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.622639,132.6035,808,,,,,,,,,,,,
515,星ヶ森,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.835478,133.107797,820,,,,,,,,,,,,
516,草屋敷,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.606248,132.614092,824,,,,,,,,,,,,
517,大熊山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.767056,132.938056,856,,,,,,,,,,,,
519,蒲山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.645583,132.76275,873,,,,,,,,,,,,
520,牛ノ峯,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.656753,132.649133,895,,,,,,,,,,,,
521,小森,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.791278,133.154833,932,,,,,,,,,,,,
522,辻ヶ峰,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.891811,133.292249,957,,,,,,,,,,,,
523,常住,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.781833,133.169194,984,,,,,,,,,,,,
524,熊鷹山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.910568,133.401798,1095,,,,,,,,,,,,
525,櫛ヶ峰,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.867577,133.222072,1112,,,,,,,,,,,,
526,大旗山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.507467,132.828131,1184,,,,,,,,,,,,
527,兵庫山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.84801,133.50827,1303,,,,,,,,,,,,
528,生之越,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.466177,132.958796,1310,,,,,,,,,,,,
529,玉取山,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.863523,133.526051,1330,,,,,,,,,,,,
530,三ヶ森,no_candidate,0,,,,v3_no_candidate,no_candidate_marker,,,,,,33.803672,133.06812,1377,,,,,,,,,,,,
