mountain_no,mountain_name,category,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_match_status,top_candidate_generation_strategy,top_source_gpx_basename,top_track_name,top_candidate_lat,top_candidate_lon,top_candidate_ele_m,mountain_csv_lat,mountain_csv_lon,mountain_elevation_m,grounding_status,grounding_distance_m,grounding_municipality,candidate_municipality,municipality_compatibility,name_evidence_tier,elevation_diff_m,csv_coordinate_distance_m,activity_link_summary,needs_human_review,review_reason_codes,notes
39,花木山,v3_candidate_review_required,1,summit-candidate:fbd725fc8006e2c8,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-02-28_13_13.gpx,花木山,NaN,NaN,,,,53,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
46,道後山,v3_candidate_review_required,1,summit-candidate:7c680b0eed0187fa,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-03-12_09_19.gpx,道後山,NaN,NaN,,,,224,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
59,忽那山,v3_candidate_review_required,1,summit-candidate:daa8d4127fc92552,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-04-06_09_25.gpx,忽那山,NaN,NaN,,,,45,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
67,甲が森,v3_candidate_review_required,1,summit-candidate:50d68ea03af3c4ff,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-04-22_11_13.gpx,甲が森,NaN,NaN,,,,451,,,,西予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
69,雨包山,v3_candidate_review_required,1,summit-candidate:6198ad7009d86ec2,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-04-22_14_13.gpx,雨包山,NaN,NaN,,,,1111,,,,西予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
70,源氏ヶ駄場（薊野峰）,v3_candidate_review_required,1,summit-candidate:e85b9bd32eb5e6f1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-04-22_16_48.gpx,源氏ヶ駄場（薊野峰）,NaN,NaN,,,,1403,,,,西予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_sensitive_activity_link,
71,碁石ヶ森,v3_candidate_review_required,1,summit-candidate:ee9d736a090185dd,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-04-22_17_29.gpx,碁石ヶ森,NaN,NaN,,,,1183,,NaN,西予市,西予市,compatible,strong,,,,true,missing_csv_coordinate;timezone_sensitive_activity_link,
94,自念子ノ頭,v3_candidate_review_required,1,summit-candidate:6b5100f449c22108,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-05-25_09_48.gpx,自念子ノ頭,NaN,NaN,,,,1702,,,,西条市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
96,姫草,v3_candidate_review_required,1,summit-candidate:dc456a72b89d4d52,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-06-16_16_00.gpx,姫草,NaN,NaN,,,,1274,,NaN,西予市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_sensitive_activity_link,
98,積善山,v3_candidate_review_required,1,summit-candidate:76a5e492c9dcf980,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-06-18_11_15.gpx,積善山,NaN,NaN,,,,370,,,,上島町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
