mountain_no,count
1,18
2,66
47,32
48,32
272,66
277,66
3,40
4,10
5,10
6,10
245,40
390,40
459,40
467,40
7,14
8,16
9,14
10,14
41,94
279,94
339,94
11,10
12,10
58,14
13,18
14,88
15,18
16,18
159,88
189,88
198,88
263,88
354,56
465,88
480,88
494,88
17,8
18,10
19,10
20,10
21,10
22,10
23,24
24,8
52,24
25,8
26,4
476,8
31,40
32,22
33,12
34,20
185,22
321,40
35,8
398,8
37,2
39,2
40,10
232,12
42,12
43,12
44,6
45,12
227,12
46,2
208,18
209,18
49,38
50,16
51,16
53,16
54,20
56,20
63,38
55,46
343,46
57,4
59,2
60,24
61,22
62,22
270,46
286,40
287,40
409,52
64,4
316,6
65,10
217,10
66,14
67,2
68,2
69,2
70,2
71,2
72,8
214,26
73,8
449,8
74,14
75,14
76,14
512,30
77,10
78,10
79,10
80,10
81,10
82,10
506,10
83,18
84,18
85,18
86,18
87,18
89,2
90,20
91,18
92,18
137,42
180,42
93,2
233,34
234,36
94,8
95,6
359,6
96,2
97,4
419,4
98,2
99,2
100,2
101,8
102,8
103,12
362,12
104,2
105,18
106,18
107,26
108,22
238,22
244,24
300,26
109,18
226,62
306,62
312,22
313,22
498,62
110,2
111,2
112,6
113,4
436,4
114,10
115,10
518,10
116,10
117,6
118,2
119,10
120,18
121,32
328,32
122,2
123,2
124,2
125,2
126,4
127,4
128,22
129,2
130,2
131,2
132,2
133,2
134,4
135,4
136,2
138,22
222,36
223,36
239,22
240,22
139,4
140,2
141,2
142,4
143,24
144,44
145,24
146,6
147,8
148,6
243,16
500,16
150,2
151,2
152,24
153,24
154,24
155,24
156,24
157,24
158,24
160,18
161,18
162,18
163,4
164,2
165,20
166,20
167,20
309,26
320,28
168,4
169,2
531,2
29,14
170,14
392,14
505,2
171,2
172,2
173,2
174,2
175,4
177,2
178,2
179,14
188,12
383,4
181,2
182,16
183,16
184,16
210,34
186,12
187,10
369,12
252,22
311,24
510,20
190,8
192,8
193,8
195,10
196,16
433,16
466,16
501,16
197,2
199,4
458,4
200,6
201,6
202,2
203,6
204,6
205,2
206,8
207,6
211,18
212,18
213,18
215,4
216,10
218,14
219,14
220,14
221,14
224,14
225,14
248,32
417,8
228,10
229,4
230,2
231,2
235,2
236,2
237,6
435,4
241,6
242,6
246,12
247,12
249,26
250,28
251,26
254,2
255,6
256,16
264,16
257,2
258,2
259,2
261,6
262,2
265,10
266,24
267,24
268,24
269,24
271,2
273,2
274,4
275,20
276,20
278,20
280,20
281,8
282,8
283,8
284,2
285,18
288,18
289,18
290,18
291,16
292,16
293,8
294,8
295,8
296,6
297,4
298,8
299,8
301,8
302,2
303,2
304,8
308,14
305,10
307,6
310,2
314,2
315,2
317,12
318,10
319,10
322,8
323,8
324,8
325,12
326,12
327,12
355,38
329,2
330,2
331,28
332,28
333,28
334,28
335,28
336,28
337,28
338,28
446,4
475,6
340,14
341,14
342,14
511,14
344,22
345,20
346,20
347,20
348,20
451,22
349,6
350,6
351,6
352,2
353,14
356,14
357,8
358,8
360,10
361,10
363,12
364,12
365,12
366,2
367,2
368,6
370,2
371,2
373,2
374,2
375,4
376,2
377,2
378,2
379,4
380,2
381,2
384,10
385,10
386,2
387,2
388,2
389,8
391,2
393,12
394,12
395,6
396,6
397,4
454,4
399,2
401,6
402,6
404,2
405,24
406,8
407,8
408,6
410,12
411,12
412,14
413,12
452,14
513,12
414,6
415,6
416,2
418,2
422,4
421,4
420,2
423,8
425,8
426,8
427,8
428,14
429,14
430,24
431,24
432,12
434,12
437,2
438,2
440,12
441,12
442,2
444,4
445,4
443,2
448,4
447,2
450,2
453,2
455,8
456,8
457,4
460,8
461,8
462,2
463,2
468,18
469,18
470,18
472,24
473,24
474,24
477,6
478,2
479,2
481,2
482,6
483,2
484,2
485,2
486,4
487,2
488,6
489,16
490,14
495,16
503,14
491,2
492,2
493,4
496,2
497,10
499,6
