mountain_no,mountain_name,supplemental_candidate_id,source_gpx_basename,nearest_trackpoint_lat,nearest_trackpoint_lon,nearest_trackpoint_ele_m,nearest_trackpoint_time,distance_gemini_to_trackpoint_m,existing_nearest_summit_candidate_id,distance_to_existing_nearest_candidate_m,local_peak_like_score,needs_human_review,review_reason_codes,candidate_generation_reason_codes,notes
3,高森山,supplemental-candidate:e7d693c1834f9669,yamap_2022-01-22_09_04.gpx,33.8423734,132.8811963,719.2533333333334,2022-01-22T01:49:55Z,0,summit-candidate:e7ae682a07af2e10,0,1,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 0.0m).
75,筒上山,supplemental-candidate:68ebe8346dd2c39f,yamap_2024-05-03_08_45.gpx,33.7433524,133.1127696,1246.0466666666669,2024-05-03T03:32:28Z,81.573,summit-candidate:22e40e9eb117a033,892.425,0.4752,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 81.6m).
80,うなめご,supplemental-candidate:6f7b58fbd0e8a863,yamap_2022-05-05_13_29.gpx,33.730385,132.9234645,1248.7033333333334,2022-05-05T05:24:47Z,83.523,summit-candidate:e7e4429a39f6359f,40.985,0.9528,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 83.5m).
82,陣ヶ森,supplemental-candidate:5e525c75552fd554,yamap_2022-10-28_06_21.gpx,33.7335581,132.9533171,1312.5166666666667,2022-10-28T01:44:37Z,204.089,summit-candidate:25e47e34740282d2,20.025,0.9303,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 204.1m).
101,鷲ヶ頭山,supplemental-candidate:8b12fdde19c483d3,yamap_2022-06-20_12_02.gpx,34.239642,133.0169478,317.93458804620576,2022-06-20T04:30:33Z,297.699,summit-candidate:159deb385560c198,370.915,0.6038,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 297.7m).
106,二ノ森,supplemental-candidate:4b93636d7f5f30bf,yamap_2022-05-15_06_10.gpx,33.7519483,133.0447628,1005.4500000000002,2022-05-15T03:11:24Z,280.868,summit-candidate:124ae25a51aa9a64,779.251,0.5248,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 280.9m).
115,笠松山,supplemental-candidate:56ce42e5a0215d67,yamap_2022-12-25_13_36.gpx,33.9799769,133.0521584,45.03,2022-12-25T04:36:19Z,246.614,summit-candidate:1ed32ce6414c2781,127.829,0,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 246.6m).
185,岩子山,supplemental-candidate:4bb36093640c5344,yamap_2023-01-06_11_33.gpx,33.8362547,132.7147629,110.77666666666669,2023-01-06T03:41:19Z,236.967,summit-candidate:45f49d8fd831427c,0,0.9784,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;shared_candidate_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 237.0m).
199,遠見山,supplemental-candidate:a0ef76476aafffba,yamap_2022-02-09_10_01.gpx,33.3444401,132.0137458,2.2162921478872355,2022-02-09T02:02:32Z,12.529,summit-candidate:40d5b4863907057a,236.847,0.1357,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 12.5m).
202,鳥越山,supplemental-candidate:189f1381363ed8d5,yamap_2022-10-14_13_42.gpx,33.9141671,132.6846951,96.28666666666668,2022-10-14T05:03:32Z,57.715,summit-candidate:c7de309bf838af87,403.582,0.9604,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 57.7m).
208,宝ヶ峯,supplemental-candidate:5bbd3ae31740d9db,yamap_2023-03-05_11_09.gpx,33.8342694,132.812746,274.61999999999995,2023-03-05T02:47:03Z,49.72,summit-candidate:d43fade4de3e33c8,39.873,0.4917,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;shared_candidate_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 49.7m).
209,淡路ヶ峠,supplemental-candidate:204ea99758e2d9de,yamap_2023-03-05_11_09.gpx,33.8309125,132.8092252,263.2966666666667,2023-03-05T03:01:25Z,174.274,summit-candidate:d43fade4de3e33c8,518.563,0.571,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;shared_candidate_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 174.3m).
210,福見山,supplemental-candidate:c91c3590c6409347,yamap_2022-01-22_09_04.gpx,33.818582,132.8750778,283.7033333333333,2022-01-22T05:11:47Z,38.825,summit-candidate:d03c84134ca0989d,195.934,0.0626,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 38.8m).
217,皿ヶ嶺,supplemental-candidate:5fbcb8d550bfe679,yamap_2022-04-15_11_52.gpx,33.7224589,132.894524,1157.2994244113324,2022-04-15T04:19:01Z,20.226,summit-candidate:7a1f0e8b5f9e5cc2,753.885,0.169,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 20.2m).
223,物住頭,supplemental-candidate:58e23f6cca1cff32,yamap_2022-11-26_04_41.gpx,33.8519092,133.3213285,1392.67,2022-11-25T22:03:36Z,6.796,summit-candidate:53d0e375c60814f6,238.044,0.2044,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 6.8m).
233,天狗岳,supplemental-candidate:dc587af2e0106710,yamap_2024-05-03_08_45.gpx,33.750932,133.1127594,1488.5266666666666,2024-05-03T02:05:23Z,295.68,summit-candidate:22e40e9eb117a033,115.696,0.2323,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 295.7m).
234,石鎚山,supplemental-candidate:740e3fed01561c34,yamap_2024-05-03_08_45.gpx,33.7512778,133.1120888,1501.4666666666665,2024-05-03T02:47:31Z,97.712,summit-candidate:22e40e9eb117a033,45.632,0.4717,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 97.7m).
266,郭公岳,supplemental-candidate:df97930b130dcf66,yamap_2022-04-08_09_33.gpx,33.1823672,132.6216458,1096.4993862966533,2022-04-08T03:44:22Z,121.27,summit-candidate:27c1036d4aa2230e,237.612,0.3645,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 121.3m).
267,東高月山,supplemental-candidate:1f771f710ee44dda,yamap_2024-03-30_07_11.gpx,33.1718706,132.6469429,1150.1499999999999,2024-03-30T01:46:54Z,53.552,summit-candidate:9186201ca03b041d,639.562,0.9715,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 53.6m).
279,城山,supplemental-candidate:fabdccc87e0a86da,yamap_2022-06-04_14_13.gpx,33.8420447,132.7648799,20.900757037468935,2022-06-04T05:43:02Z,95.995,summit-candidate:91cacd7deced8470,304.691,1,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 96.0m).
287,小屋ヶ森,supplemental-candidate:4e63ff270220efc1,yamap_2022-04-08_09_33.gpx,33.1830013,132.6231666,1092.240348785512,2022-04-08T01:41:55Z,182.927,summit-candidate:27c1036d4aa2230e,395.549,0.9529,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;shared_candidate_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 182.9m).
