gpx_path,trackpoint_count,valid_elevation_point_count,first_time_utc,last_time_utc,track_name,candidate_count_default,max_elevation,min_elevation,elevation_range,has_missing_elevation,notes
gpx/raw/yamap_2024-06-14_06_46.gpx,175,175,2024-06-13T21:46:43Z,2024-06-14T01:10:35Z,二反山,1,391.75,100.83,290.92,False,
gpx/raw/yamap_2023-01-06_11_33.gpx,360,360,2023-01-06T02:33:14Z,2023-01-06T04:49:34Z,岩子山・垣生山・津田山・弁天山,4,123.67,5.72,117.95,False,
gpx/raw/yamap_2024-10-20_06_42.gpx,302,302,2024-10-19T21:42:29Z,2024-10-20T01:16:44Z,ハネズル山,1,1291.87,465.47,826.4,False,
gpx/raw/yamap_2022-11-14_13_02.gpx,51,51,2022-11-14T04:02:59Z,2022-11-14T04:24:46Z,出石山,1,822.64,765.6,57.04,False,
gpx/raw/yamap_2024-09-23_07_35.gpx,519,519,2024-09-22T22:35:12Z,2024-09-23T03:56:26Z,中津山(明神山)・猿越山,4,1539.53,836.82,702.71,False,
gpx/raw/yamap_2025-01-24_13_34.gpx,366,366,2025-01-24T04:34:01Z,2025-01-24T07:18:41Z,御篠山・松葉山（松葉城址）・烏殿,3,583.88,209.85,374.03,False,
gpx/raw/yamap_2022-04-08_09_33.gpx,583,583,2022-04-08T00:33:28Z,2022-04-08T05:40:09Z,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,5,1222.49,1003.92,218.57,False,
gpx/raw/yamap_2022-09-15_11_02.gpx,46,46,2022-09-15T02:02:04Z,2022-09-15T02:28:19Z,伊勢山,1,52.94,0.4,52.54,False,
gpx/raw/yamap_2025-01-30_13_18.gpx,115,115,2025-01-30T04:18:31Z,2025-01-30T05:06:14Z,金子山,1,150.38,15.49,134.89,False,
gpx/raw/yamap_2024-07-06_10_01.gpx,198,198,2024-07-06T01:01:08Z,2024-07-06T04:25:31Z,子持権現山・男山・瓶ヶ森,2,1892.49,1602.29,290.21,False,
gpx/raw/yamap_2022-09-20_13_59.gpx,44,44,2022-09-20T04:59:13Z,2022-09-20T05:17:00Z,狩江権現山,0,461.55,428.54,33.01,False,
gpx/raw/yamap_2024-06-15_08_50.gpx,352,352,2024-06-14T23:50:08Z,2024-06-15T05:36:56Z,平家平,1,1691.37,1140.19,551.18,False,
gpx/raw/yamap_2024-01-27_13_31.gpx,30,30,2024-01-27T04:31:52Z,2024-01-27T04:58:45Z,宝股山,1,301.26,195.42,105.84,False,
gpx/raw/yamap_2022-06-23_13_59.gpx,100,100,2022-06-23T04:59:29Z,2022-06-23T05:59:01Z,篠山,1,1062.97,794.73,268.24,False,
gpx/raw/yamap_2022-05-02_09_06.gpx,311,311,2022-05-02T00:06:01Z,2022-05-02T02:10:08Z,大川嶺・笠取山・ウバホド山,2,1568.0,1463.84,104.16,False,
gpx/raw/yamap_2022-10-21_09_17.gpx,32,32,2022-10-21T00:17:44Z,2022-10-21T00:33:18Z,すくも山,0,34.92,22.66,12.26,False,
gpx/raw/yamap_2024-03-16_13_58.gpx,224,224,2024-03-16T04:58:32Z,2024-03-16T06:11:58Z,斎藤山,1,472.84,230.7,242.14,False,
